#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#title_name;Title Name;;;;;;;;;;;;;x
#title_name_desc;What Title Is;;;;;;;;;;;;;x

cheat_title_chosen_one;Chosen One;;;;;;;;;;;;;x
cheat_title_chosen_one_desc;You are the Chosen One.;;;;;;;;;;;;;x

cheat_title_cursed;Cursed;;;;;;;;;;;;;x
cheat_title_cursed_desc;You are Cursed.;;;;;;;;;;;;;x

cheat_title_disinherited_blood;Disinherited Blood;;;;;;;;;;;;;x
cheat_title_disinherited_blood_desc;Your bloodline is Disinherited.;;;;;;;;;;;;;x

cheat_title_enemy;Enemy;;;;;;;;;;;;;x
cheat_title_enemy_desc;You are my sworn enemy.;;;;;;;;;;;;;x

cheat_title_forbidden_marriage;Forbidden to Wed;;;;;;;;;;;;;x
cheat_title_forbidden_marriage_desc;You will never be married.;;;;;;;;;;;;;x

cheat_title_forsaken_blood;Forsaken Blood;;;;;;;;;;;;;x
cheat_title_forsaken_blood_desc;Your line is Forsaken.;;;;;;;;;;;;;x

cheat_title_friend;Good buddy;;;;;;;;;;;;;x
cheat_title_friend_desc;You are my friend.;;;;;;;;;;;;;x

cheat_title_loyalist;Loyalist;;;;;;;;;;;;;x
cheat_title_loyalist_desc;You are Loyal to your Liege.;;;;;;;;;;;;;x

cheat_title_ninja;Ninja;;;;;;;;;;;;;x
cheat_title_ninja_desc;You will be my Ninja.;;;;;;;;;;;;;x

cheat_title_prophet_blooded;Prophet Blooded;;;;;;;;;;;;;x
cheat_title_prophet_blooded_desc;Your blood is blessed by the prophets.;;;;;;;;;;;;;x

cheat_title_puppykicker;Puppykicker;;;;;;;;;;;;;x
cheat_title_puppykicker_desc;You kick Puppies! You set a basket of Kittens on fire! YOU WILL BURN IN HELL!!;;;;;;;;;;;;;x

cheat_title_treacherous;Treacherous;;;;;;;;;;;;;x
cheat_title_treacherous_desc;You are a treacherous betrayer.;;;;;;;;;;;;;x

cheat_title_warpriest;Warpriest;;;;;;;;;;;;;x
cheat_title_warpriest_desc;You will conquer my enemies!;;;;;;;;;;;;;x
