#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###Traits
#traitname;Trait Name;;;;;;;;;;;;;x
#traitname_desc;Trait Description;;;;;;;;;;;;;x
cheat_trait_babyface;Babyface;;;;;;;;;;;;;x
cheat_trait_babyface_desc;Well Loved.;;;;;;;;;;;;;x
cheat_trait_babymaker;Babymaker;;;;;;;;;;;;;x
cheat_trait_babymaker_desc;One of the most Fertile people in the realm;;;;;;;;;;;;;x
cheat_trait_builder;Builder;;;;;;;;;;;;;x
cheat_trait_builder_desc;Become A Builder;;;;;;;;;;;;;x
cheat_trait_chosen_one;Chosen One;;;;;;;;;;;;;x
cheat_trait_chosen_one_desc;The Chosen One is destined for greatness.;;;;;;;;;;;;;x
cheat_trait_cursed;Cursed;;;;;;;;;;;;;x
cheat_trait_cursed_desc;You are cursed!;;;;;;;;;;;;;x
cheat_trait_disinherited_blood;Disinherited;;;;;;;;;;;;;x
cheat_trait_disinherited_blood_desc;Disinherited;;;;;;;;;;;;;x
cheat_trait_forbidden_marriage;Cannot Wed;;;;;;;;;;;;;x
cheat_trait_forbidden_marriage_desc;Forbidden to be married;;;;;;;;;;;;;x
cheat_trait_forsaken_blood;Forsaken;;;;;;;;;;;;;x
cheat_trait_forsaken_blood_desc;Forsaken;;;;;;;;;;;;;x
cheat_trait_immortal;Immortal;;;;;;;;;;;;;x
cheat_trait_immortal_desc;Are you afraid to die, or do you want to live forever?;;;;;;;;;;;;;x
cheat_trait_infertile;Infertile;;;;;;;;;;;;;x
cheat_trait_infertile_desc;This person is infertile;;;;;;;;;;;;;x
cheat_trait_loyalist;Loyalist;;;;;;;;;;;;;x
cheat_trait_loyalist_desc;One of the most loyal people in the realm.;;;;;;;;;;;;;x
cheat_trait_money_hands;Money Hands;;;;;;;;;;;;;x
cheat_trait_money_hands_desc;Great at taxes, Loved by Liege, despised by Vassals.;;;;;;;;;;;;;x
cheat_trait_ninja;Ninja;;;;;;;;;;;;;x
cheat_trait_ninja_desc;Become a Ninja;;;;;;;;;;;;;x
cheat_trait_prophet_blooded;Blood of the Prophets;;;;;;;;;;;;;x
cheat_trait_prophet_blooded_desc;This bloodline is blessed by Allah and does not accumulate Decadence.;;;;;;;;;;;;;x
cheat_trait_puppykicker;Puppykicker;;;;;;;;;;;;;x
cheat_trait_puppykicker_desc;Well Despised;;;;;;;;;;;;;x
cheat_trait_terrain_master;Terrain Master;;;;;;;;;;;;;x
cheat_trait_terrain_master_desc;Expert of all Terrains;;;;;;;;;;;;;x
cheat_trait_terror;Terror;;;;;;;;;;;;;x
cheat_trait_terror_desc;Become A Terror;;;;;;;;;;;;;x
cheat_trait_treacherous;Treacherous;;;;;;;;;;;;;x
cheat_trait_treacherous_desc;Disloyal and Treacherous.;;;;;;;;;;;;;x
cheat_trait_warpriest;Warpriest;;;;;;;;;;;;;x
cheat_trait_warpriest_desc;Preacher of one faith: War.;;;;;;;;;;;;;x
