#		Crusader Kings 2 : Advanced Medieval Desires

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;


#AMD_EV_DESC_LENGTH;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;	«È©¸ÌïŒ ®³Ý 1 line ¬¸²³Ì «µÉ 70byte

#«È©¸ÌïŒEvents;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;



#	èˆæŒ «³Ð¦ÈØ, èˆæŒ ë»Ùª¹Ì;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;

AMD_EV_TITLE_10011;Advanced Medieval Desires;;;;;;;;;;;;x;
AMD_EV_DESC_10011;«È èˆæŒåÆÌ ¨Èª·Ý¢¹Ì¬³ùÇ ¡³®Èò¼Ì ²¹Ýª·Ý«¸ ªÈØ¡³É²³Ì «³É«¹Ý²µÝëÆÐ ìÁÐ êŠ «ÈÜåÆÌ åˆä»Ð¬·É, ð»É¦¹É¬·É«È¨¹ ò¼²³É¬·É, ¬·Ý®È¬·ÉëŒçˆ ë»Ð©³çŒ¬È «³ÎëÆÌ ª·Ý¬·Éè‰ª³çÆÐ ¥´¦µÝ ðˆ²³Ø²³äˆ «ÈÜêÆÙ¢È¥³. ¨³Ì«µÉ ¥³ÝªÈÌ«È «È¦·Ì ðˆçŒåˆäŒ¦³±ÈçÆÐ «ÈëÀÝ²³åÆÌ ¡·Û«È ²³Ù©·Ù«È «³¢È¦³¨¹Ì ìÆÉ¡³É «ÈëÀÝëÆÐ ìÁÝ¬È²³ªÈÙªÈëˆ. ¡¸«ÈØ ¢´ èˆæÆÌ ª³¡·Ì, «ÈÌèÁÐ, ¬³Ýêˆ, ì»Ýä‰ æÆÝëÆÌ ªÈÐ¬¸ ²´ÝùÄ¢³ ¡Èç»ÉëÆÐ ¥´©¹Ì²³¡·¢³ è‰ª³²³¡È ùÄ²³Ì ¡·Û«È «³¢ÈÙ¢È¥³. ¡´©³Ð¬³åÆÌ ¡¸«ÈØ ¢´«¸ª· è‰ª³ô¿Ì ²´ÝùÄùÇ êÆÝ«ÈÌ, èÁÉ«ÈÌ, –ˆåÆÌ ®³Ø«¹çÆÐ òÂÌ²³¬È «³ÎêÆÙ¢È¥³. ²¹ÌªÈÐ«¸ª· ë‹ª³²³Ì ²´ÝùÄçÆÐ ªÈæˆ²³¨¹Ì ©·ÙùÇ ®·©·Ðò¼ ¬È«¹Éª³ÿ¿ùÇ ¡³ñ»É²³Ì éˆé»É«È ‘³çÆÐ ¡·Û«ÈÙ¢È¥³. ¡´©³Ð¬³åÆÌ ¥³ÝªÈÌùÇ ùÄ©·Ù²´ÝùÄ«¸ ¥´²³Ì «·‘·Ì ®´É«ÈØæˆ ¬È¬È «³ÎêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_EV_String_Pansanim;±³Ìª³¢ÈØ! ¬·åÆÌ «È èˆæŒçÆÐ ¨³ÌæÆÐ¬È «³Î«³ÜêÆÙ¢È¥³. ¬·ÌéŠ ë»Ì¥ÈêŒîŒ «·Ùçˆ¥·¡³ ¨³ÌæÆÌ ¡·Û«ÈÙ¢È¥³! äŒå»ØëÆÐ ¬³Ù«³¡³ªÈÙªÈëˆ!;;;;;;;;;;;;x;

AMD_EV_TITLE_1001;AMD Mod Option;;;;;;;;;;;;x;
AMD_EV_DESC_1001;¥³ÝªÈÌùÇ ûÄ²µÝ«¸ ‘³¦³ «È èˆæŒùÇ «ÈÐéŠ «È©¸ÌïŒçÆÐ ¬¸²³Ì²³Ð êŠ «ÈÜêÆÙ¢È¥³. «È ª·Ð¬·ÝæÆÐëÆÌ «·Ì¬¸æÆÌ¬È ©¹Ì¡¹Ý ¡³åÆÝ²³Ù¢È¥³.;;;;;;;;;;;;x;

AMD_EV_OPT_ModOption_ACB_ON;«³®·Ý©·Ù ¬·ÉëÀÝ²³¡È;;;;;;;;;;;;x;
AMD_EV_OPT_ModOption_ACB_OFF;«³®·Ý©·Ù ²´¬¸²³¡È;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_ACB_ON;¡¹Ðñ»Ì¡³åÆÝ²³Ì ¢³«È¡³ ô¿¡È ¬·Ì«¸åÆÌ AMD èˆæŒùÇ ìŠë‰ «È©¸ÌïŒçÆÐ ª³ëÀÝ²³Ð êŠ «·ÚêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_ACB_OFF;(¡Èé»Ì)ªº«ÈÉêŒ±È«·ùÇ 'çˆ¨Èëˆù¼ ìÁÐ¦È«¸Û'ùÇ ¬·Ì¦ºçÆÐ ‘³¦³, 12ª¸éŠ°· ìŠë‰ «È©¸ÌïŒçÆÐ ª³ëÀÝ²³Ð êŠ «ÈÜêÆÙ¢È¥³.;;;;;;;;;;;;x;

AMD_EV_OPT_ModOption_PC_PROTECTION_ON;ðÆÐ¦¸«È«· éˆ‡ˆ ª·Ð¬·Ý;;;;;;;;;;;;x;
AMD_EV_OPT_ModOption_PC_PROTECTION_OFF;ðÆÐ¦¸«È«· éˆ‡ˆ ²´¬¸;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_PC_PROTECTION_ON;ðÆÐ¦¸«È«· ¯´¦ÈÉ°·«¸¡¸ ì»ã¬È «³ÎëÆÌ AMD èˆæŒùÇ ¨¹ß¨¹ß «È©¸ÌïŒ¡³ ©Èÿ¼Ðª·Ýÿ¼ô¿Ù¢È¥³.;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_PC_PROTECTION_OFF;(¡Èé»Ì)ðÆÐ¦¸«È«· ¯´¦ÈÉ°·«¸¡¸ äˆï»ÝëÆÐ ìŠåÆÌ AMD èˆæŒùÇ «È©¸ÌïŒçÆÐ ¨³É¬È «³ÎêÆÙ¢È¥³.;;;;;;;;;;;;x;

AMD_EV_OPT_ModOption_NTR_ON;NTR «È©¸ÌïŒ ª·Ð¬·Ý;;;;;;;;;;;;x;
AMD_EV_OPT_ModOption_NTR_OFF;NTR «È©¸ÌïŒ ²´¬¸;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_NTR_ON;ðÆÐ¦¸«È«·ùÇ ©´ëŠ¬³, ®·Ù, «¹Ì«ÈÌ, ¬³¢¹, ²¹Ý¬¸¬³¨´ æÆÝò¼ ò¼Ì¦¹Ìô¿Ì NTR «È©¸ÌïŒ¡³ ©³Ðª´Ý²³¬È «³ÎêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_NTR_OFF;(¡Èé»Ì)ðÆÐ¦¸«È«·ùÇ ©´ëŠ¬³, ®·Ù, «¹Ì«ÈÌ, ¬³¢¹, ²¹Ý¬¸¬³¨´ æÆÝò¼ ò¼Ì¦¹Ìô¿Ì NTR «È©¸ÌïŒ¡³ ©³Ðª´Ý²³¬È «³ÎêÆÙ¢È¥³.;;;;;;;;;;;;x;

AMD_EV_OPT_ModOption_CBR_LIMIT_ON;«Èì»Ý ¬¸²³Ì;;;;;;;;;;;;x;
AMD_EV_OPT_ModOption_CBR_LIMIT_OFF;«Èì»Ý ¬¸²³Ì ²´¬¸;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_CBR_LIMIT_ON;ì»Ýì»É«È ¥³çÆÌ ª³Ý¥´ù¼ ä‰ç‹²³Ð êŠ «·ÚêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_CBR_LIMIT_OFF;(¡Èé»Ì) «ÈÌ¡³Ì, ¨³Ð, ä»Ø, äˆ«µÝ«È æÆÝ «¹¦· ì»Ýì»ÉæÆÐ«È ¬¸²³Ì «·Ú«È ä‰ç‹²³Ð êŠ «ÈÜêÆÙ¢È¥³.;;;;;;;;;;;;x;

AMD_EV_OPT_ModOption_SFW_LIMIT_ON;¡·Ø«¹Ðª³É¬¸ ÿ¼Ðª·Ýÿ¼;;;;;;;;;;;;x;
AMD_EV_OPT_ModOption_SFW_LIMIT_OFF;¡·Ø«¹Ðª³É¬¸ ©Èÿ¼Ðª·Ýÿ¼;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_SFW_LIMIT_ON;èˆæÆÌ åˆä»Ð¬·É«ÈÌ ª·Ý¬·É ²´ÝùÄ ¯·Ì°¸Ì†Œ¡³ ¡·Ø«¹Ðô¿«· ©Èä‰¬·É ¡·Ì¬·Ì²³Ì ²¹Ý°´çˆ ð‰ªÈô¿Ù¢È¥³.;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_SFW_LIMIT_OFF;(¡Èé»Ì) èˆæÆÌ åˆä»Ð¬·É«ÈÌ ª·Ý¬·É ²´ÝùÄ ¯·Ì°¸Ì†Œ¡³ ¬·Ýª³Ý¬·ÉëŒçˆ ð‰ªÈô¿Ù¢È¥³.;;;;;;;;;;;;x;



AMD_EV_OPT_ReturnToModOption;èˆæŒ ª·Ð¬·Ý «È©¸ÌïŒçˆ æ»Ð«³¡³¡È;;;;;;;;;;;;x;


AMD_EV_OPT_OK;«³Ð¡¸Ü¥³.;;;;;;;;;;;;x;
