#		Crusader Kings 2 : Advanced Medieval Desires

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;

#		??;??;;;;;;;;;;;;x;


#		#		Character Modifiers
AMD_CMF_first_blood;±·êŒïŒ éÆÐ¦·æŒ;;;;;;;;;;;;x;
AMD_CMF_first_blood_desc;ëˆåÆÐ «·çÆÌùÇ ¡º¥³ÌëÆÐ ë»Ð¦³ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_CMF_party_invited;±³°È †ˆ¥´¬³Ý;;;;;;;;;;;;x;
AMD_CMF_party_invited_desc;ªÈä»ÝùÇ ð»ÉðÁÝëŒçˆ †ˆ¥´©³Ï«³ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;

AMD_CM_cooldown;²¹Ì¬³ùÇ ªÈ¡³Ì;;;;;;;;;;;;x;
AMD_CM_cooldown_desc;ïÆÉ©¹Ð²³Ì ÿ¼Ðæ»Ý ôÄ«¸åÆÌ ¬³ØªÈ ‡‹ªÈÉ«È ±ÈÐë‰²³Ù¢È¥³.;;;;;;;;;;;;x;
AMD_CM_sex_study;«µ²³É;;;;;;;;;;;;x;
AMD_CM_sex_study_desc;ª³¦³ÝùÇ ¥· å»âëÆÌ ¡¹Ý¬È«¸ æˆ¥³Ð²³¡È ùÄ²´ ©³Ø¢³Þ«·Ú«È êŠ¦¹Ì«¸ ¨´¬ÈÌ²³äˆ «ÈÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_CM_xp_skill;«µ²³É : ¡¹Ý²·ØåŠ¬·É;;;;;;;;;;;;x;
AMD_CM_xp_skill_desc;©³Ø¡ÈêÁÐëÆÐ «¹Ì¨³²³¨¹ ¡¹Ý²·ØëÆÐ “³ã«³ÜêÆÙ¢È¥³. ¥· å»âëÆÌ ¡¹Ý¬È«¸ ë»Ð¦³¡³åÆÌ ¥¸ æˆëÁØ«È ô¿Ð ¡·Û«ÈÙ¢È¥³...;;;;;;;;;;;;x;


AMD_CM_drug_aphrodisiac;û¿ëÆØ;;;;;;;;;;;;x;
AMD_CM_drug_aphrodisiac_desc;ª·Ý¡³Øò¼ ü¾¦³É«È ª³ÝêÆÝ²³Ì ª·Ý¬·É ñÆÝéÁÌª³Ý°´«ÈÙ¢È¥³.;;;;;;;;;;;;x;
AMD_CM_drug_contraceptive;±È«ÈØ;;;;;;;;;;;;x;
AMD_CM_drug_contraceptive_desc;«ÈØªÈÌ ¡³åÆÝª·Ý«È îŒ¡¸ ¡³Øêˆ²³Ù¢È¥³.;;;;;;;;;;;;x;
AMD_CM_drug_fertilizer;«ÈØªÈÌí»É¬ÈÌ;;;;;;;;;;;;x;
AMD_CM_drug_fertilizer_desc;«ÈØªÈÌ ¡³åÆÝª·Ý«È ª³ÝêÆÝ²³Ù¢È¥³.;;;;;;;;;;;;x;
AMD_CM_drug_enlarger;ª·Ý¬³Ýí»É¬ÈÌ;;;;;;;;;;;;x;
AMD_CM_drug_enlarger_desc;ìÁÝë‰ ªÈÌ®¸éŠùÄ¡³ ª·Ý¬³Ý²³äˆ «ÈÜêÆÙ¢È¥³.;;;;;;;;;;;;x;

AMD_CM_first_happy;«ÈÌ¬·Ðê»Ì;;;;;;;;;;;;x;
AMD_CM_first_happy_desc;«È¦·ã¡¸ ¡ÈéÁÌì»ãëÆÌ ¡·Ð è»Ð¦³Ü¥³¢È, «ÈÌª´ÝùÇ ¬·Ð©³Ì ê»Ì²´÷¼Ü«·ë‰!;;;;;;;;;;;;x;
AMD_CM_first_common;ï»Ýò¼ùÇ¦º;;;;;;;;;;;;x;
AMD_CM_first_common_desc;¡³èÁÌëÆÐ «È«·¡³¦¹åÆÌ òÄì»É«È¦³¨¹Ì åŠäŠ¢³ ²³åÆÌ ¡¹Ý²·ØëÆÐ ²´ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_CM_first_bad;ªÈÐ¨³Ý;;;;;;;;;;;;x;
AMD_CM_first_bad_desc;®·ëÆØ ¡¹Ý²·Ø²³Ì ©³Øå»Ð«ÈåÆÌ ©¹Ðçˆ ìÆÐ¡·Ù¬È «³Î«³ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_CM_first_raped;¬ÈÛ©³Ó²ÈÌ •»ß;;;;;;;;;;;;x;
AMD_CM_first_raped_desc;¡³Ý¬¸çˆ [Root.GetVirginCherry]çÆÐ(ëÆÐ) ’´«³Û¡¹ÜêÆÙ¢È¥³. «È íÁÝ¡¹ÉëÆÌ ªÈ¡³Ì¨³Ì«È ®Èë‹²´ ìÁÐ êŠ «ÈÜëÆÐ ¡·Ù¢È¥³...;;;;;;;;;;;;x;

AMD_CM_after_good_norm;«¹Ì«ÈÌùÇ ùÄ«³Ì;;;;;;;;;;;;x;
AMD_CM_after_good_norm_desc;íÁÝªÈÐ²³äˆ ìÆÐ¡·ëÁÌ ªÈ¡³ÌëÆÐ éˆ¢´Ì ¥·ÉéÁÌ«¸ ªÈØªÈÌùÇ ±¹Ýÿ¼çÆÐ «·Ï«·ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_CM_after_good_gay;ª·É«µÝùÇ ¡·ØïŠª³;;;;;;;;;;;;x;
AMD_CM_after_good_gay_desc;ª³¢³«È¥³Ù¡¸ ¡·ØëÆÐ ¡¹çŠåÆÌ –Œ¡·ëÁÌ ªÈ¡³ÌëÆÐ éˆ¢´ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_CM_after_good_les;©´É²³ÙùÇ ²µÝ¡È;;;;;;;;;;;;x;
AMD_CM_after_good_les_desc;¥³ÝªÈÌëÆÌ ¨·Ð¦Èª· ¨ÈÌ¥³Ð±´Ý«È¡³ éÁÌåˆçˆ ëÁÐéŠ¬ÈÞåÆÌ êˆ¦ÈçÆÐ æÆÐ«·ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_CM_after_good_raper;«µÉ°³Ð¬³ùÇ ¬·Ì¦ÈðÁØ;;;;;;;;;;;;x;
AMD_CM_after_good_raper_desc;¡³Ý¡³ÌëÆÌ ©·Øú¿«ÈÙ¢È¥³. ²¹ÌªÈÐ«¸ª· ªÈæˆ²³Ð ¡¹ÝëŠ ©·ÙùÇ ®·©·ÐëÆÐ ©³ÏêÆÙ¢È¥³.;;;;;;;;;;;;x;
AMD_CM_after_good_raped;«ÈÌ¬·Ý²³Ð êŠ «·ÚåÆÌ ü¾¦³É;;;;;;;;;;;;x;
AMD_CM_after_good_raped_desc;éÁÌ²³¥³... ²³¬È¨³Ì... åŒŽ¹©·¦¹...;;;;;;;;;;;;x;
AMD_CM_after_good_trade;ä»Ý¬·Ý¡·¦´;;;;;;;;;;;;x;
AMD_CM_after_good_trade_desc;ì»ãëÆÌ ¡·¦´çÆÐ ²³¨¹Ì ¡ÈéÁÌæˆ ì»ã«³¬ÈÙ¢È¥³.;;;;;;;;;;;;x;

AMD_CM_after_good_human;«ÈÌç‹«´;;;;;;;;;;;;x;
