#CODE;ENGLISH;;;;;;;;;;;;;x
# Tooltips related to Decisions

# Decisions
create_lilitu_papacy;¦ÈĞ¦Èä‰ ä‰ÿ¼İ®·İ ¨³ÌæÆĞ¡È;;;;;;;;;;;;;x
create_lilitu_papacy_desc;ëŠ¦ÈùÇ ï»İ¬¸²³«¸ çˆ¨³çÆĞ «·Ïäˆ, ¡·¬ÈÛ ä‰ÿ¼İëÆĞ ¦ÈĞ¦ÈêŒùÇ ²³«ÈÌëŒçˆ ¨³ÌæÆÌ¥³.;;;;;;;;;;;;;x
introduce_pagan_lilith;Make Lilith our Goddess;;;;;;;;;;;;;x
introduce_pagan_lilith_desc;Now that we have reformed our religion in Lilith's preferred form, we can present her to our people as their true goddess.;;;;;;;;;;;;;x
create_orthlili_patriarchy;Create the Reversionist Hierarchy;;;;;;;;;;;;;x
create_orthlili_patriarchy_desc;As part of our quest to replace and revert the corrupt Orthodox church, we should replace the Patriarchy with a more egalitarian Hierarchy, in Lilith's name.;;;;;;;;;;;;;x
dwbh_angel_minor_heal;Lesser Restoration;;;;;;;;;;;;;x
dwbh_angel_minor_heal_desc;As an Angel, I can call upon divine energy to heal myself or others of lesser afflictions that may torment or trouble them.;;;;;;;;;;;;;x
dwbh_angel_moderate_heal;Moderate Restoration;;;;;;;;;;;;;x
dwbh_angel_moderate_heal_desc;As an Angel, I can call upon divine energy to heal myself or others of moderate afflictions that may torment or trouble them.;;;;;;;;;;;;;x
dwbh_angel_major_heal;Greater Restoration;;;;;;;;;;;;;x
dwbh_angel_major_heal_desc;As an Angel, I can call upon divine energy to heal myself or others of even the greatest of the afflictions that may torment or trouble them.;;;;;;;;;;;;;x
dwbhangel_smite_wicked;Smite the Wicked;;;;;;;;;;;;;x
dwbhangel_smite_wicked_desc;By offering up prayers, I can call upon the retribution of the divine against the wicked and sinful, those who have invited the judgment of Heaven.;;;;;;;;;;;;;x
dwbhangel_inspire;Inspire Soldiers;;;;;;;;;;;;;x
dwbhangel_inspire_desc;Those that I lead in battle shall know no fear, for they ride with the power of the divine at their side.;;;;;;;;;;;;;x
dwbh_birth_divine_heir;Divine Conception;;;;;;;;;;;;;x
dwbh_birth_divine_heir_desc;As a truly devout angel, I can call upon the power of the divine to grant me a child of heavenly origin through immaculate conception, who will be born strong, beautiful, healthy, and smart.;;;;;;;;;;;;;x
dwbhangel_blessing;Request Divine Blessing;;;;;;;;;;;;;x
dwbhangel_blessing_desc;As I am pure from any of the seven major sins, I can beseech the heavens to grant me further blessings. The grace of the divine will strengthen me with greater knowledge, intelligence, strength, or beauty.;;;;;;;;;;;;;x
dwbhangel_atonement;Seek Atonement and Purification;;;;;;;;;;;;;x
