#CODE;ENGLISH;;;;;;;;;;;;;x
# Tooltips related to Decisions

# Decisions
dwsu_slave_shopping;Purchase a Slave;;;;;;;;;;;;;x
dwsu_slave_shopping_desc;Visit the Slavers' Guild to purchase a slave.;;;;;;;;;;;;;x
dwsu_use_slave;Use Slave for Sex;;;;;;;;;;;;;x
dwsu_use_slave_desc;Slaves cannot refuse demands from their owner, even for sex.;;;;;;;;;;;;;x
dwsu_use_bitch;Use a Werewolf Bitch;;;;;;;;;;;;;x
dwsu_use_bitch;I don't just have to wait to hunt to enjoy one of my bitches...;;;;;;;;;;;;;x

dwsu_slavebuy_recovery;Waiting time before buying another slave.;;;;;;;;;;;;;x

#Rules

DWSU_RULE_NPCSEEDING;Additional Mythical NPC Seeding;;;;;;;;;;;;;x
DWSU_RULE_NO_SEEDING;None;;;;;;;;;;;;;x
DWSU_RULE_NO_SEEDING_DESC;No additional Mythical NPCs will be placed into the world over a normal DW campaign.;;;;;;;;;;;;;x
DWSU_RULE_SLAVE_BUY_ONLY;Slave purchase only;;;;;;;;;;;;;x
DWSU_RULE_SLAVE_BUY_ONLY_DESC;Mythical NPCs may be purchased from the Slavers' guild, but no random placement.;;;;;;;;;;;;;x
DWSU_RULE_ADDITIONAL_SEEDING;Full Seeding;;;;;;;;;;;;;x
DWSU_RULE_ADDITIONAL_SEEDING_DESC;Random Mythical NPCs will be placed into the world over a normal DW campaign.;;;;;;;;;;;;;x
DWBH_ORC_INVASION;Orcish Hordes Invasion;;;;;;;;;;;;;x
DWBH_RULE_ORC_INVASION;Orcish Invasions;;;;;;;;;;;;;x
DWBH_RULE_ORC_INVASION_DESC;Orcish invasions can occur at any time in the game.;;;;;;;;;;;;;x
DWBH_RULE_NO_ORC_INVASION;None;;;;;;;;;;;;;x
DWBH_RULE_NO_ORC_INVASION_DESC;No Orcish invasions will occur.;;;;;;;;;;;;;x
DWBH_RULE_DELAY_ORC_INVASION;Delayed;;;;;;;;;;;;;x
DWBH_RULE_DELAY_ORC_INVASION_DESC;No Orcish invasions will occur before 1000 AD.;;;;;;;;;;;;;x


#Misc
orcish_group;Orcs;;;;;;;;;;;;;;x
orc;Orc;;;;;;;;;;;;;;x
orcish;Orc;;;;;;;;;;;;;;x
orc_adj;Orcish;;;;;;;;;;;;;;x
orcish_desc;Brutish and barbaric, the orcs are a strong race that some say came from beyond this world. Despite their barbaric origins though, they possess their own codes of honor and are fierce fighters.;;;;;;;;;;;;;;x
elven_group;Elves;;;;;;;;;;;;;;x
elf;Elf;;;;;;;;;;;;;;x
elven;Elven;;;;;;;;;;;;;;x
elf_adj;Elven;;;;;;;;;;;;;;x
elven_desc;Elegant, graceful, and often ethereal, the elves are race of beings that are more than human, whose origins hail back to the very dawn of the world. Once long-lived, their lifespans have grown shorter as time has passed, until those few who remain are as mortal as humankind.;;;;;;;;;;;;;;x
# Events
DWBHE300;When you arrive at the local Slavers' Guild, the slavemaster quickly calls out for an array of the best slaves. He assures you that you will be offered only the highest quality slaves, and inquire as to what sort of slave you was interested in purchasing, and assures me that they have just the sort that will suit my needs. All the slaves are trained for a purpose, he notes, adding hastily that, "Of course, you can use them for whatever purpose you desire once purchased." You consider, and ask to see...;;;;;;;;;;;;;x
dwsu_slave_buying;Reviewing the slaves for sale;;;;;;;;;;;;;x
DWBHE300A;A strong male trained as a bodyguard.;;;;;;;;;;;;;x
DWBHE300B;A pretty female trained as a handmaiden.;;;;;;;;;;;;;x
DWBHE300C;Ask about truly exotic slaves.;;;;;;;;;;;;;x
DWBHE300D;Nothing catches my interest for now.;;;;;;;;;;;;;x
dwsu_slavebodyguard;A Slave Warrior;;;;;;;;;;;;;x
DWBHE301;The slavemaster brings out a strapping fellow, perhaps formerly a barbarian warrior of some sort. The slave is certainly strong, and his shirtless chest is rippling with muscles. He could be quite useful in a fight, whether in my defense, in the arena, or perhaps in other ways...;;;;;;;;;;;;;x
DWBHE301A;I'll take him.;;;;;;;;;;;;;x
DWBHE301B;Let me see some of the other options.;;;;;;;;;;;;;x
dwsu_sexslave;A Pretty Slave Girl;;;;;;;;;;;;;x
DWBHE302;The slavemaster brings out a pretty girl, young and fresh, and certainly not too ill-used. She remains calm as you inspect her, keeping her eyes downcast. Her chest is of moderate size, but her looks are certainly pleasing overall...;;;;;;;;;;;;;x
DWBHE302A;I'll take her.;;;;;;;;;;;;;x
DWBHE302B;Let me see some of the other options.;;;;;;;;;;;;;x
DWBHE303;The slavemaster nods furiously, and yells out for his workers and guards to bring up the special slaves. "These are truly unusual specimens, all very, very rare, from the far corners of the globe. Many have been thought to be but myth or legend, yet here they are..." He pauses, licking his lips a little nervously, before continuing. "Of course, the prices are commensurately high... but I'm sure you'll agree, they are quite reasonable nonetheless...";;;;;;;;;;;;;x
DWBHE303A; Peruse the first exotic slave.;;;;;;;;;;;;;x
DWBHE304;The slavemaster yells at his workers and guards to bring up the next special slave. "Apologies, but perhaps the next one will be more to your liking....";;;;;;;;;;;;;x
DWBHE304A; Peruse the next exotic slave.;;;;;;;;;;;;;x
DWBHE304B; I think I'm done looking.;;;;;;;;;;;;;x
DWBHE305;Word arrives from the local slavers' guildmaster. Business has been booming, and they have received a special shipment of slaves, including some truly rare ones, thanks to your skilled management and oversight of the realm's economy. The messenger informs you that the guild has sent your share of the expected profits; or if you prefer, you can opt to take first pick of the slaves instead.;;;;;;;;;;;;;x
dwbh_slave_buying;Boom times in the Slave Trade;;;;;;;;;;;;;x
DWBHE305A;I'll come take a look at the slaves.;;;;;;;;;;;;;x
DWBHE305B;Not this time, just the gold.;;;;;;;;;;;;;x
dwbh_kitsuneslave;A Mystical Kitsune;;;;;;;;;;;;;x
DWBHE306;The slavers bring out an exotic woman who seems almost human, save for her fox ears, and several foxtails extending behind her. She possesses a strange, mystical sense about her. "This one is called a Kitsune. A fox spirit, she was a rather tricky one to catch, but well worth it," remarks the slavemaster.;;;;;;;;;;;;;x
DWBHE306A; I'll take her.;;;;;;;;;;;;;x
DWBHE306B; Not interested - Next.;;;;;;;;;;;;;x
DWBHE306C; I'll just take my gold instead.;;;;;;;;;;;;;x
dwbh_orcslave;A Brawny Orc;;;;;;;;;;;;;x
DWBHE307;The slavers bring out an green-skinned woman with small tusks jutting from her lips, and massive bulging muscles. She looks like she's strong enough to pull a full cart, or perhaps break one in two. "An orc, one of a fabled race from another world, stronger than a bull, even," announces the slavemaster.;;;;;;;;;;;;;x
DWBHE307A; I'll take her.;;;;;;;;;;;;;x
DWBHE307B; Not interested - Next.;;;;;;;;;;;;;x
dwbh_nekoslave;A Whimsical Neko;;;;;;;;;;;;;x
