#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DWTLilith.001;You dream of a dark room, full of writhing bodies. You're naked and feel eyes following your every move. Before you, lounging upon a stone altar is a woman unlike any other you've seen. Beautiful, smooth skin, a pair of horns curling from her forehead, and a tail that lazily flips back and forth. She smiles at you and licks her lips. Instead of fear, you feel a wave of arousal wash over you.;;;;;;;;;;;;;x
DWTLilith001;"Who are you?";;;;;;;;;;;;;x
DWTLilithNope;You feel this is wrong and scream yourself awake.;;;;;;;;;;;;;x
DWTLilith.002;"I'm called Lilith my dear, and you're here because my blood flows within you. Embrace me and I will share with you the secrets to power." Lilith sits upright on the altar and spreads her arms and legs open to greet you.;;;;;;;;;;;;;x
DWTLilith002;You walk forth and embrace Lilith, accepting her flesh against your own.;;;;;;;;;;;;;x
DWTFuta1;A caravan led by a portly merchant stops along its travels to do business. The merchant himself offers to share tales he has heard during his travels, in return for an evening of hospitality.;;;;;;;;;;;;;x
DWTFuta2;That evening over drink, the merchant offers to share a tales of his travels, as well as legends and experiences of his own that he's learned of both an exotic and erotic nature.;;;;;;;;;;;;;x
DWTFuta2A;Very intriguing and somewhat arousing, tell me more.;;;;;;;;;;;;;x
DWTFuta2B;I appreciate the offer, but I must decline at this time.;;;;;;;;;;;;;x
DWTFuta_offer;The merchant smiles broadly and leans forward as his tales continue.;;;;;;;;;;;;;x
DWTFutaYes;I can think of many uses for you.;;;;;;;;;;;;;x
DWTFuta.003;A young Futanari is brought before you, her lithe dancer's body leaves nothing to the imagination as little more than jewellery adorns her. Her hips sway seductively, while her cock begins to stiffen under your gaze. "She has been trained in the art of seduction, and shall serve you faithfully.";;;;;;;;;;;;;x
title_futa_whore;Regis Meretrix;;;;;;;;;;;;;x
title_futa_whore_desc;Regis Meretrix "King's Whore";;;;;;;;;;;;;x
DWTFuta.004;A young muscular futanari is brought before you. Her armor is revealing, and her cock is held in a special sheath within her loin cloth. As you look over her, she seems to blush slightly and her sheath begins to pull taught as her member stiffens. "She is a trained tactician and capable combatant who shall serve you faithfully.";;;;;;;;;;;;;x
title_futa_blade;Gallus Gladio;;;;;;;;;;;;;x
