#CODE;ENGLISH;;;;;;;;;;;;;x
dwt_spell_tentaclebeast;í»ÉêŠ ò¿èÁĞëÆĞ êˆÿ¼Ì²³Ì¥³;;;;;;;;;;;;;x
dwt_spell_tentaclebeast_desc; ¥³İªÈÌëÆÌ ğ‰¬·ÉëÆĞ åˆ¦ÈåÆÌ í»ÉêŠ ò¿èÁĞëÆĞ êˆÿ¼Ì²³Ù¢È¥³. í»ÉêŠ ò¿èÁĞëÆÌ ä»İ²·«¸ª· ¢³°³¢³åÆÌ ¬·Øª·İ«È «ÈÜåÆÌ ò¿èÁĞ«ÈÙ¢È¥³. äŒæÆĞëÆÌ è»Éğ‰çÆĞ ¡³İ¡³Ì²³äˆ, ñÆİéÁÌ²³¨¹Ì ğ»É¦¹ÉëÆĞ ª³ëÀİ²³äˆ ’³çŒ¡¸ ëÁØ¬ÈÉ«ÈÙ¢È¥³.;;;;;;;;;;;;;x
dwt_spell_sexcraze;ëÀÉ¨³İùÇ ¬·ìŠ;;;;;;;;;;;;;x
dwt_spell_sexcraze_desc;¥³İªÈÌëÆÌ ğ‰¬·É«¸¡¸ ¡³İ¦¹É²³Ì ¬·ìŠçÆĞ ìŠ«· •ÆÎ«ÈØ«·ÚåÆÌ ëÀÉ¨³İ«¸ ª³çˆ¬³Ù²È¡¸ ¨³ÌæÆĞ«· ª·İò¼Ì¡ºçÆĞ ±ÈĞë‰²³¡¸ ¨³ÌæÆÙ¢È¥³.;;;;;;;;;;;;;x
dwt_lovers_embrace_fem_vs_fem;ª´İ¨¹İñÆÙêŠ(«¹Ì«ÈÌ);;;;;;;;;;;;;x
dwt_lovers_embrace_fem_vs_fem;¥³İªÈÌëÆÌ ¦ÈĞ¦ÈêŒùÇ «·æŠëÁÌ ²ÈØëÆĞ ¢´«· «¹Ì«ÈÌùÇ «¸¢·¬ÈçÆĞ ñÆÙêŠ²³äˆ ¬³ªÈÌùÇ ëˆçŒ¡³ìÆØ ¡³İæˆçÆĞ å»â«ÈÙ¢È¥³.;;;;;;;;;;;;;x

dwt_lovers_embrace_fem_vs_male;ª´İ¨¹İñÆÙêŠ(«¹Ì«ÈÌ);;;;;;;;;;;;;x
dwt_lovers_embrace_fem_vs_male_desc;¥³İªÈÌëÆÌ ¦ÈĞ¦ÈêŒùÇ «·æŠëÁÌ ²ÈØëÆĞ ¢´«· «¹Ì«ÈÌùÇ «¸¢·¬ÈçÆĞ ñÆÙêŠ²³äˆ ¬³ªÈÌùÇ ëˆçŒ¡³ìÆØ ¡³İæˆçÆĞ å»â«ÈÙ¢È¥³.;;;;;;;;;;;;;x

dwt_lovers_embrace_male_vs_fem;ª´İ¨¹İñÆÙêŠ(«¹Ì«ÈÌ);;;;;;;;;;;;;x
