#CODE;ENGLISH;;;;;;;;;;;;;x
#
# Serpent's Purge
#
DWTweaks2;The time of birthing is upon me. I have spent good money to ensure that the child does not live. With my last push, I find that the potion's effect has...;;;;;;;;;;;;;x
dwtw_serpentpurge_choice;Serpent's Purge;;;;;;;;;;;;;x
DWTweaks2a;...failed me! The child lives!;;;;;;;;;;;;;x
DWTweaks2b;...succeeded. The child is with [Root.Religion.GetHighGodName] now.;;;;;;;;;;;;;x
dwtw_purge;Buy a Serpent's Purge Potion;;;;;;;;;;;;;x
dwtw_purge_desc;Buy a potion to abort your child without having to directly deal with the alchemist.;;;;;;;;;;;;;x
#
# Motivate tribal steward
#
dwtw_steward_claim_motivation;Steward Conversion Motivation;;;;;;;;;;;;;x
dwtw_motivate_tribal_steward;Motivate Steward;;;;;;;;;;;;;x
dwtw_motivate_tribal_steward_desc;Your Steward is presently working to convert the county's culture in your name. Selecting this will call them to you, so that you may attempt to push for success in their work.;;;;;;;;;;;;;x
DWTweaks3001;[dwtw_steward.GetFullName] meets with me regarding the work they're doing in converting the county's culture. These things are rarely straightforward and easy, with some conversion attempts taking years and still coming up empty. \n Depending on my resources, I may be able to help [dwtw_steward.GetFirstName] in making progress in their task. The only question is which method is best? \n After making my decision, I address my Steward.;;;;;;;;;;;;;x
DWTweaks3001A;Use this money to make some bribes.;;;;;;;;;;;;;x
DWTweaks3001B;Perhaps my body can inspire you.;;;;;;;;;;;;;x
DWTweaks3001E;Use our diplomacy to convince the local populace.;;;;;;;;;;;;;x
DWTweaks3001F;Well, uh, great to see you. Keep up the good work!;;;;;;;;;;;;;x
DWTweaks3009;[dwtw_steward.GetFullName] visited me today to provide a report that the attempted bribes failed completely. A most disappointing outcome, which means that my Steward simply lacks the intrigue necessary to guarantee success. \n  I can still attempt to motivate the Steward again, if I so desire. I'll have to contemplate my next actions some.;;;;;;;;;;;;;x
DWTweaks3009A;With a wave of my hand, I dismiss my Steward.;;;;;;;;;;;;;x
DWTweaks3019;[dwtw_steward.GetFirstName] looks at me with some uncertainty after I offer my body as motivation. "With all due apologies, I regret to inform you that I am not interested in your advances at this time. Please excuse me." \n  With a respectful bow and brisk step, my Steward leaves me alone with my thoughts. It looks like I'll have to take a different approach to make progress on the claim attempt.;;;;;;;;;;;;;x
DWTweaks3019A;Bah, they don't know what they're missing.;;;;;;;;;;;;;x
DWTweaks3011;[dwtw_steward.GetFirstName] smiles and joins me in my chambers. I stop her from undressing herself, and handle the unwrapping myself. I make a point to touch and softly stroke her skin as I remove her clothes. By the time she's naked, her eyes are filled with lust as I push her back onto my silken sheets. \n  We explore each others bodies, taking time to steadily build our passion until the point where it's difficult to contain. \n  We adopt a sixty-nine position, and I focus on flicking her clitoris with my tongue while working my fingers in her pussy, seeking the sensitive spots to give her release. [dwtw_steward.GetFirstName] is skilled herself, and soon it's as though it is a race to see who will bring the other to their peak first. She goes over, just a moment before I scream and convulse in pleasure myself.;;;;;;;;;;;;;x
DWTweaks3011A;What an enjoyable council session.;;;;;;;;;;;;;x
DWTweaks3012;[dwtw_steward.GetFirstName] nods in agreement and joins me in my chambers. Always the professional, he gives me a breakdown on who the power players are that he's having work in order to fabricate the claim as we undress. Once naked, the shop talk stops and we embrace before moving to the bed. \n  After we both had the opportunity to cum, I was treated to a very delightful treat as [dwtw_steward.GetFirstName] lifted by ass, rolling me into a ball of sorts, and then proceeded to lick my ass with such gusto that I found myself hard again. \n  [dwtw_steward.GetFirstName] didn't let up his attention to my ass, although he did begin to then jerk me off. The dual pleasure ended up being too much, and ended with me cumming all over my chest and face.;;;;;;;;;;;;;x
DWTweaks3012A;What an explosive council session.;;;;;;;;;;;;;x
DWTweaks3013;[dwtw_steward.GetFirstName] nods and joins me in my chambers. I take my time undressing, meeting his gaze as I strip while he lays on the bed. \n  Once naked, I join him. He's rock hard and seems little interested in foreplay as he rolls me onto my stomach and positions himself behind me. I feel him rub the tip of his cock against my labia, and I feel my juices flow as my arousal seeks satisfaction. \n  He teases me, pushing against me with the tip of his cock but not entering. I try to push my hips back to take him in, yet his position allows him to back off. I moan in frustration, and then he's in me. \n  My head spins as he pumps away. I grip the bed sheets as I feel my climax approach. I feel him explode inside me and it brings me to my own orgasm, moaning loudly into the bed sheets as I writhe in pleasure.;;;;;;;;;;;;;x
DWTweaks3013A;Nice to know my Steward is a stiff negotiator.;;;;;;;;;;;;;x
DWTweaks3014;[dwtw_steward.GetFirstName] smiles coyly and joins me in my chambers. I have her stand still while I undress her. I take care to stroke and kiss her as skin becomes exposed. \n  By the time she's naked, my cock is aching for attention. As though she senses it, [dwtw_steward.GetFirstName] grips it in her hand and leads me to the bed, where she climbs on and shakes her ass towards me. \n  Needing no further enticement, I take her. The room is soon filled with both her moans and the sound of my balls slapping against her as I pound away at her pussy. \n  Shortly after the initial assault, she finds a rhythm and begins pushing her hips back to meet my thrusts. "Fuck me my liege. Fill me, take me." \n  [dwtw_steward.GetFirstName]'s talk triggers something within, as I grunt loudly and sink it in deep and explode.;;;;;;;;;;;;;x
DWTweaks3014A;Looks like my Steward is quite the motivator herself.;;;;;;;;;;;;;x
#
# Motivate priest
#
dwtw_priest_claim_motivation;Religious Conversion Motivation;;;;;;;;;;;;;x
dwtw_motivate_priest;Motivate Priest;;;;;;;;;;;;;x
dwtw_motivate_priest_desc;Your Priest is presently working to convert the county's religion in our name. Selecting this will call them to you, so that you may attempt to push for success in their work.;;;;;;;;;;;;;x
DWTweaks4001;[dwtw_priest.GetFullName] meets with me regarding the work they're doing in converting the county's religion. These things are rarely straightforward and easy, with some conversion attempts taking years and still coming up empty. \n Depending on my resources, I may be able to help [dwtw_priest.GetFirstName] in making progress in their task. The only question is which method is best? \n After making my decision, I address my Priest.;;;;;;;;;;;;;x
DWTweaks4001A;Use this money to make some bribes.;;;;;;;;;;;;;x
DWTweaks4001B;Perhaps my body can inspire you.;;;;;;;;;;;;;x
DWTweaks4001E;Use our learning to help the local priesthood.;;;;;;;;;;;;;x
DWTweaks4001F;Well, uh, great to see you. Keep up the good work!;;;;;;;;;;;;;x
