#CODE;ENGLISH;;;;;;;;;;;;x;
NOT_INTERESTED_IN_ANY_SOCIETY_TRIGGER;²¹Ì¬´ ¥³Ì®¸«¸ ©¹Ð ò¼ÌªÈØëÆÐ éˆ«Èäˆ «ÈÜ¬È «³ÎëÆØ;;;;;;;;;;;;x;
INTERESTED_IN_ANY_SOCIETY_TRIGGER;²¹Ì¬´ ¥³Ì®¸«¸ ò¼ÌªÈØëÆÐ éˆ«Èäˆ «ÈÜëÆØ;;;;;;;;;;;;x;
reprimanded_merchants;¬ÈÐ®´É©³ÏëÆÌ ª³Ý«ÈÌ;;;;;;;;;;;;x;
reprimanded_merchants_desc;«È ©´É¬³É¦¹Ý ª³Ý«ÈÌæÆÐ«È éŠ¬·Ý¬ÈÉ²³Ì ª³«·ÙëÆÐ ²´Ý²³Ì «Èë‹çˆ ïÆÉòÂÌëÆÐ ª³ÝªÈÐ²³«¹ éÁÌåˆ²³Ù¢È¥³.;;;;;;;;;;;;x;
dealing_with_dishonest_traders;éŠ¬·Ý¬ÈÉ²³Ì ª³Ý«ÈÌæÆÐëÆÐ ®·¦È ìÁÝ;;;;;;;;;;;;x;
dealing_with_dishonest_traders_desc;«È «ÈÌèÁÐëÆÌ ª³Ý«ÈÌæÆÐ«È ¥· «·Ø¡¹É²³¡¸ ²´Ýæ»Ýä‹©·ØëÆÐ ìÁÌêŠ²³æˆç»É äŒæÆÐëÆÐ ®³Þäˆ òÂÌäˆ²³åÆÌ ¡·ÛëŒçˆ ©³—ÆÙ¢È¥³.;;;;;;;;;;;;x;
defending_vassal_rights;é»ÝªÈÌ òÂÌ¦È êŠ‡ˆ;;;;;;;;;;;;x;
defending_vassal_rights_desc;¥³çÆÌ ª¸¦¹É«È ¬³ªÈÌùÇ é»ÝªÈÌ«¸¡¸ «¹Ý²µÝ¦¹ÉëÆÐ ²´Ýª³²³Ð ‘´ ìŠ¬· «·Ú«È é»ÝªÈÌëÆÐ ùÄ²´ ¢³ª·åÆÌ «ÈÌèÁÐçˆ «³Ð¦¹¬¹ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
EVTDESC_JD_30002;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\n[From.Offmap.Ruler.GetShortChineseEmperorName]«ÈªÈÌ ®·Ì¬³Ž¸ª· äŒ¥´ùÇ ‘³Ý«¸ª· ë»Ì ª³Ý«ÈÌæÆÐ«È ëŠ¦È ª³Ý«ÈÌæÆÐò¼ ¡·¦´²³Ð ‘´ éŠ¬·Ýò¼ ¡È¨³ÌëÆÐ «ÈÐª³Øäˆ «ÈÜ¥³åÆÌ ¡·ÛëÆÐ ¬È¬·É²³ª¹Üêˆ. äŒ¥´¡³ «È¦·Ì ²´ÝùÄùÇ ìÆÉ¡³É¬·É«ÈÌ ì»Ý¡¹ÐëÆÐ ¬ÈªÈ²³¦È¦³ ÿ¼ÉªÈÌ²³ëˆ.;;;;;;;;;;;;x;
EVTOPTA_JD_30002;ìŠë‰ ª³Ý¥³ÌùÇ ïÆÉòÂÌëÆÐ ìÁÐ«¹«µ¡¸ÜäÁÌ.;;;;;;;;;;;;x;
EVTOPTB_JD_30002;ª·Ý¡³ªÈ¡ÈÌ, [target_marshal.GetFirstName]ëÆÐ(çÆÐ) ªÈ¯¹ ²´¡¹Ð¯¸ ²³¡¸Ü¥³.;;;;;;;;;;;;x;
EVTOPTC_JD_30002;ª³Ý«ÈÌæÆÐ«È ¬³Ýª³çÆÐ «·‘·ã¡¸ ²³åÆÌ¬ÈåÆÌ äÁÝ¬·Ý«¸ª· ò¼Ì¦È²³Ð «ÈÐ«È «³¢È¥³.;;;;;;;;;;;;x;
EVTOPTB_JD_30003;[From.GetFirstName]ù¼(ò¼) éÁÐÿ¼çÆÐ ©ÈÞ«·ª·Ì «³Ì ô¿Ì¥³.;;;;;;;;;;;;x;
EVTDESC_JD_30004;¥³ÝªÈÌ«È ª³Ý«ÈÌæÆÐùÇ òÂÌ²³ÌëÆÐ ¬¸²³Ì²´Ü¬È¨³Ì, é»ÝªÈÌ [From.GetTitledFirstName]ëÆÌ(åÆÌ) ¬·Ì²¹ ¡´ùÇ®È «³Î«³ÜêÆÙ¢È¥³. ëˆ²È¦¹ [From.GetHerHis]åÆÌ ¬³ªÈÌùÇ ª¸¦¹ÉòÂÌëÆÐ èŠªÈ²³äˆ ¥³ÝªÈÌ«È éŠ¥³Ý²³Ì òÂÌ¦¹ÉëÆÐ ²´Ýª³²´Ü¥³¨¹Ìª· «ÈçÆÐ ä»Ý¡´ ä‹°³Ì²´ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
EVTOPTA_JD_30004;ª·ÌëÆÐ ¢·ØëŒ¨¹Ì «³Ì ô¿¬È!;;;;;;;;;;;;x;
OFFMAP_CHANGE_CURRENCY_GAIN;$OFFMAP|Y$ùÇ $CURRENCY|Y$ëÆÐ(çÆÐ) $VALUE|G$ ÿ¿ÉæÆÉ;;;;;;;;;;;;x;
OFFMAP_CHANGE_CURRENCY_LOSE;$OFFMAP|Y$ùÇ $CURRENCY|Y$ëÆÐ(çÆÐ) $VALUE|R$ ª³ÝªÈÐ;;;;;;;;;;;;x;
EVTDESC_JD_30011;[chinese_courtier.GetRootMatchingPersonalityStreak]ëÆÐ(çÆÐ) ìŠ¬¸çˆ ¬È¢³Ì©³Ø«¸ ªÈ¬³Éô¿Ì [chinese_courtier.GetBestName]ù¼(ò¼) ¥´ÿ¼¡³ ¡¹ÐäÁÉ ª´©¹ÉŽ³¬È «È«·¬¹Ü¥³. ¢´ ëÅÝêÁÝ²³Ì ¥´ëŠ«¸ [chinese_courtier.GetSheHe]¡³ ¡È’·²³¨¹ ª·®³ÐëÆÐ ¬·Ì²³¡¸Ü¥³äˆ ²³Ì ¡·ÛëÆÐ éˆ¨¹Ì ¢´¡³ “·É ò¾Ì®³ÎëÆÌ «ÈÌª³ÝëÆÐ ¢³Ø¡ÈÌ ¡·Û ¡³á¥³.;;;;;;;;;;;;x;
EVTOPTA_JD_30011;ìÆÐ¡·ëÁÌ ©³Ø«È«·Ü¥³.;;;;;;;;;;;;x;
EVTOPTB_JD_30011;èˆæÆÌ «ÈæÆÐ«È ¬È¢³Ì ©³ØùÇ «ÈÐëÆÐ «³Ð¡¸ ²³¬³!;;;;;;;;;;;;x;
EVTDESC_JD_30012;[chinese_courtier.GetBestName]ù¼(ò¼) ò¼Ì¡º¡³ ¬È¢³Ì éˆçÆØ ª³«È«¸ ¡ºê»É²´ª· û¿«³ÉëŒçˆ ®È¥³Ð«³Ü¥³. äŒ¦Èäˆ ëˆåÆÐ «·‘·Ì «·Ø®·Ý¢³¡¸ éŠìŠùÇ²³Ì ª´Ý¡³É«¸ «È•ÆÐ¦¹ ¢´ ²¹Û©³¥³É«È ëŠçÆÐ ©·Ø²´Ü¥³. [chinese_courtier.GetHerHim]¡³ ëˆåÆÐùÇ «ÈÐ«È ÿ¼Ý¬¸ùÇ òÄ«¸æˆ æÆÐ«·¡³Ð ¡·Û«È¦³¨¹ ‡ˆï»Ý®ÈÌ¥³.;;;;;;;;;;;;x;
EVTOPTA_JD_30012;[offmap_china.Governor.Offmap.GetShortName]ù¼(ò¼) ïÆÐ«·¬ÈÐ¬Èæˆ èˆçŒ¡¸ÜäÁÌ.;;;;;;;;;;;;x;
EVTOPTB_JD_30012;¡¹Ý©È©¹ÝëÆÌ ¥³Ý¬³Ý «È¬³çÆÐ ®¸ðˆ²³¦³!;;;;;;;;;;;;x;
chinese_silk_road_favored_status;èŠ«¹É ¡º«µÉëÆÐ ë‰®·Ý²³Ì¥³;;;;;;;;;;;;x;
chinese_silk_road_favored_status_modifier_tt;§Y[From.PrimaryTitle.GetName]§! «¹Ý«¹ÉùÇ èˆæÆÌ èŠ«¹É ¡È¬È«¸ª· §G100%§! ìÆÝ¡³²³Ì èŠ«¹É êŠ«ÈÙëÆÐ 25¢¹Ì¡³Ì ÿ¿ÉæÆÉ²³Ù¢È¥³.;;;;;;;;;;;;x;
chinese_imperial_trade_contract;ÿ¼ÝªÈÐ èŠ«¹É ¡º«µÉ;;;;;;;;;;;;x;
MULTIPLICATIVE_TRADE_POST_INCOME_MODIFIER;èŠ«¹É êŠ«ÈÙ;;;;;;;;;;;;x;
EVTOPTA_JD_30045;[Root.TrueReligion.GetHighGodName]Ž¸ª· æˆëŠªÈ¦È¦³...;;;;;;;;;;;;x;
EVTOPTA_JD_30047;«·‘·ã¡¸ ˜Œ¦·ïŒ¦ÈÐŽ³?!;;;;;;;;;;;;x;
SETTLEMENT_FINISHED_LOG;$PROVINCE|Y$«¸ª· $SETTLEMENTTYPE|Y$ «¹Ý¬ÈùÇ ¡·Ìª·Ð«È ù¼Ìç‰ô¾ÜêÆÙ¢È¥³;;;;;;;;;;;;x;
null_society;¥³Ì®¸;;;;;;;;;;;;x;
null_society_currency;¥³Ì®¸ ï»Ýÿ¼;;;;;;;;;;;;x;
HAS_ARTIFACT;$VAL|Y$¡´ùÇ ë‹èÁÐ éˆë‹;;;;;;;;;;;;x;
HAS_ARTIFACT_NOT;$VAL|Y$¡´ùÇ ë‹èÁÐëÆÐ éˆë‹²³¬È «³ÎëÆØ;;;;;;;;;;;;x;
OFFMAP_STATUS_TRIGGER_NOT;$STATUS|Y$ ª³Ý°´«¸ «ÈÜ¬È «³ÎëÆØ;;;;;;;;;;;;x;
OFFMAP_STATUS_TRIGGER;$STATUS|Y$ ª³Ý°´«¸ «ÈÜëÆØ;;;;;;;;;;;;x;
OFFMAP_PREV_STATUS_TRIGGER_NOT;«È¬·ÌùÇ ª³Ý°´¡³ $STATUS|Y$«È(¡³) «³¢È«·ÜëÆØ;;;;;;;;;;;;x;
OFFMAP_PREV_STATUS_TRIGGER;«È¬·ÌùÇ ª³Ý°´¡³ $STATUS|Y$(«È)«·ÜëÆØ;;;;;;;;;;;;x;
OFFMAP_POLICY_TRIGGER_NOT;$POLICY|Y$ ¬·Ý®´ÉëÆÐ ±¹äˆ «ÈÜ¬È «³ÎëÆØ;;;;;;;;;;;;x;
OFFMAP_POLICY_TRIGGER;$POLICY|Y$ ¬·Ý®´ÉëÆÐ ±¹äˆ «ÈÜëÆØ;;;;;;;;;;;;x;
OFFMAP_PREV_POLICY_TRIGGER_NOT;«È¬·ÌùÇ ¬·Ý®´É«È $POLICY|Y$«È(¡³) «³¢È«·ÜëÆØ;;;;;;;;;;;;x;
OFFMAP_PREV_POLICY_TRIGGER;«È¬·ÌùÇ ¬·Ý®´É«È $POLICY|Y$(«È)«·ÜëÆØ;;;;;;;;;;;;x;
OFFMAP_STATUS_FLAG_TRIGGER_NOT;²¹Ì¬´ ª³Ý°´¡³ $FLAG|Y$ ðÆÐ¦´äŒçÆÐ ¡³Þ¬È «³ÎëÆØ;;;;;;;;;;;;x;
OFFMAP_STATUS_FLAG_TRIGGER;²¹Ì¬´ ª³Ý°´¡³ $FLAG|Y$ ðÆÐ¦´äŒçÆÐ ¡³¬ÈØ;;;;;;;;;;;;x;
OFFMAP_PREV_STATUS_FLAG_TRIGGER_NOT;«È¬·ÌùÇ ª³Ý°´¡³ $FLAG|Y$ ðÆÐ¦´äŒçÆÐ ¡³Þ¬È «³ÎëÆØ;;;;;;;;;;;;x;
OFFMAP_PREV_STATUS_FLAG_TRIGGER;«È¬·ÌùÇ ª³Ý°´¡³ $FLAG|Y$ ðÆÐ¦´äŒçÆÐ ¡³¬ÈØ;;;;;;;;;;;;x;
OFFMAP_POLICY_FLAG_TRIGGER_NOT;²¹Ì¬´ ¬·Ý®´É«È $FLAG|Y$ ðÆÐ¦´äŒçÆÐ ¡³Þ¬È «³ÎëÆØ;;;;;;;;;;;;x;
OFFMAP_POLICY_FLAG_TRIGGER;²¹Ì¬´ ¬·Ý®´É«È $FLAG|Y$ ðÆÐ¦´äŒçÆÐ ¡³¬ÈØ;;;;;;;;;;;;x;
OFFMAP_PREV_POLICY_FLAG_TRIGGER_NOT;«È¬·ÌùÇ ¬·Ý®´É«È $FLAG|Y$ ðÆÐ¦´äŒçÆÐ ¡³Þ¬È «³ÎëÆØ;;;;;;;;;;;;x;
OFFMAP_PREV_POLICY_FLAG_TRIGGER;«È¬·ÌùÇ ¬·Ý®´É«È $FLAG|Y$ ðÆÐ¦´äŒçÆÐ ¡³¬ÈØ;;;;;;;;;;;;x;
OFFMAP_SET_STATUS;ª³Ý°´¡³ $STATUS|Y$(ëŒ)çˆ ©¹Ì²³Ø;;;;;;;;;;;;x;
OFFMAP_SET_POLICY;¬·Ý®´É«È $POLICY|Y$(ëŒ)çˆ ©¹Ì²³Ø;;;;;;;;;;;;x;
OFFMAP_SET_HOLDER;êˆë‹¬³¡³ $WHO|Y$(ëŒ)çˆ ©³šÄØ;;;;;;;;;;;;x;
OFFMAP_HAS_NAME_NOT;²¹Ì¬´åÆÌ $NAME|Y$«È(¡³) «³¢ÈÙ¢È¥³.;;;;;;;;;;;;x;
OFFMAP_HAS_NAME;²¹Ì¬´åÆÌ $NAME|Y$«ÈÙ¢È¥³.;;;;;;;;;;;;x;
OFFMAP_HAS_NOT_USED_NAME;$NAME|Y$«È«·Ü¥·Ì ¬·É«È «·ÚêÆÙ¢È¥³.;;;;;;;;;;;;x;
OFFMAP_HAS_USED_NAME;$NAME|Y$«È«·ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
OFFMAP_SET_NAME;$NAME|Y$çˆ «ÈçÆØ ©¹Ì¡¹Ý.;;;;;;;;;;;;x;
IS_OFFMAP_RULER_NOT;¬Èæˆ ©³ÊùÇ ï»Ý®È¬³¡³ «³¢ÈØ;;;;;;;;;;;;x;
IS_OFFMAP_RULER;¬Èæˆ ©³ÊùÇ ï»Ý®È¬³«ÈØ;;;;;;;;;;;;x;
IS_OFFMAP_GOVERNOR_NOT;¬Èæˆ ©³Ê ¬³ÉùÄùÇ í»Ýæ»É«È «³¢ÈØ;;;;;;;;;;;;x;
IS_OFFMAP_GOVERNOR;¬Èæˆ ©³Ê ¬³ÉùÄùÇ í»Ýæ»É«ÈØ;;;;;;;;;;;;x;
ADULT_ONLY;ëˆ¬ÈÉ ª·Ý«ÈÌ¨³Ì;;;;;;;;;;;;x;
OFFMAP_CURRENCY_TRIGGER_NOT;$OFFMAP|Y$ùÇ $CURRENCY|Y$«È $VALUE|Y$ $COMPARISON|Y$«È(¡³) «³¢ÈØ;;;;;;;;;;;;x;
OFFMAP_CURRENCY_TRIGGER;$OFFMAP|Y$ùÇ $CURRENCY|Y$«È $VALUE|Y$ $COMPARISON|Y$«ÈØ;;;;;;;;;;;;x;
monthly_grace;ùÂÐ¡³Ì ÿ¼ÝëÆÌ;;;;;;;;;;;;x;
offmap_full_title;$TITLE$ $TIER$;;;;;;;;;;;;x;
OFFMAP_BOONS;§Y¥³Ù¦ºçÆÐ ë‰®·Ý²³Ì¥³§!;;;;;;;;;;;;x;
OFFMAP_GIFTS;§Yìˆä»ÝëÆÐ ª³Ý¢³Ù²³Ì¥³§!;;;;;;;;;;;;x;
OFFMAP_TAG_TRIGGER_NOT;$OFFMAP|Y$«È(¡³) «³¢ÈØ;;;;;;;;;;;;x;
OFFMAP_TAG_TRIGGER;$OFFMAP|Y$«ÈØ;;;;;;;;;;;;x;
