#CODE;ENGLISH;;;;;;;;;;;;x;
eunuch;¡·ª¸(Eunuch);;;;;;;;;;;;x;
eunuch_desc;«È «ÈÌèÁÐëÆÌ ¡·ª¸ ô¿«·ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
blinded;¨´Ý«ÈÌ(Blinded);;;;;;;;;;;;x;
blinded_desc;«È «ÈÌèÁÐëÆÌ ¨´Ý«ÈÌ«È ô¿«· «³âëÆÐ é»Ð êŠ «·ÚêÆÙ¢È¥³.;;;;;;;;;;;;x;
born_in_the_purple;¬³ìÁÛ©Èß íÁÐª´Ý(Born in the Purple);;;;;;;;;;;;x;
born_in_the_purple_desc;[Root.GetBornInPurpleDesc];;;;;;;;;;;;x;
augustus;«³ëŠäŠêŒïŠêŒ(Augustus);;;;;;;;;;;;x;
title_imperial_eunuch;±³¦³îˆ«Èèˆ¨¸åˆêŒ;;;;;;;;;;;;x;
title_imperial_eunuch_desc;±³¦³îˆ«Èèˆ¨¸åˆêŒ, "¡³Ž³«È«¸ª· ¬³ØëÆÐ ¬³åÆÌ ª³¦³Ø" ëÆÌ ¬¸äÁÉ äÁÝ¬·ÝùÇ ¨¹Ý«ºçˆëÁÌ ¬ÈÉ®´É«ÈÙ¢È¥³. «È ¬ÈÉ®´ÉëÆÌ íÁÝª·ÝªÈØò¼ ±³Ì¥³Ì¦¹É«È å»â¥³äˆ ±¹Ý¡³ô¿Ì ÿ¼Ìò¼ÌæÆÐëÆÐ ùÄ²³Ì ¡·Û«ÈÙ¢È¥³.;;;;;;;;;;;;x;
title_court_eunuch;äÁÝ¬·Ý ÿ¼Ìò¼Ì;;;;;;;;;;;;x;
title_court_eunuch_desc;ÿ¼Ìò¼ÌëÆÌ «¹¦·¡³¬È ìÁÝë‰²³Ì «¹É²³ÐæÆÐëÆÐ æˆ¨³áëŒ¨¹ «¹¬³æÆÐ ª³«È«¸ «ÈÜ«·æˆ ¨ÈÏëÆÐ êŠ «ÈÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
vassal_castrate_decision;[Root.GetTitledFirstName]ëÆÐ(çÆÐ) ¡·ª¸²³Ì¥³;;;;;;;;;;;;x;
vassal_blinding_decision;[Root.GetTitledFirstName]ùÇ åÁÌëÆÐ —»ÙåÆÌ¥³;;;;;;;;;;;;x;
opinion_castrated_me;¢³çÆÐ ¡·ª¸²³Ø;;;;;;;;;;;;x;
opinion_blinded_me;¢´ åÁÌëÆÐ —»ÙëÆØ;;;;;;;;;;;;x;
opinion_castrated_family;¢´ ®ÈÌì»ÉëÆÐ ¡·ª¸²³Ø;;;;;;;;;;;;x;
opinion_blinded_family;¢´ ®ÈÌì»ÉùÇ åÁÌëÆÐ —»ÙëÆØ;;;;;;;;;;;;x;
opinion_loyal_servant;íÁÝªÈÌ;;;;;;;;;;;;x;
nick_the_glorious;«¹Ýò¼ÝùÇ ï»Ý®È¬³;;;;;;;;;;;;x;
nick_the_saint;ª·Ý¬³;;;;;;;;;;;;x;
EVTNAMELoR.1;SªÈ¦È«³-±³Ð¦¸êŒ°È¢³ ¬È«¹É ÿ¿é»É;;;;;;;;;;;;x;
EVTDESCLoR.1;äˆ¥´ ªÈ¦È«³-±³Ð¦¸êŒ°È¢³ ¬È«¹ÉëÆÌ æŒ¥È«· «µ¨³Ìì»ÉæÆÐùÇ ¥·¦·ëÁÌ ê»Ì«¸ª· ©·Û«·¢³ çˆ¨³ ¬¸äÁÉ«¸ êŠé»Éô¿«·ÜêÆÙ¢È¥³. ¬³Ý«·Ø²³Ì ¡´ª·ÌªÈÉ«È «È ¥´«·ÙëÆÐ ª·ÝûÄ²´¢´Ì ëÀÝ¡³Ø²³Ì «¹ÝëÁÝæÆÐëÆÐ ùÄ²´ ¡·²´Ýô¿Ð ¡·Û«ÈÙ¢È¥³. äŒæÆÐùÇ «ÈçÆØ«È «¹ÝùÂÌ²È ¬·Ì²´¬È¡ÈÐ!;;;;;;;;;;;;x;
EVTOPTALoR.1;¬¸äÁÉ«È«¹ «¹ÝùÂÌ²³Ð¬È«·¥³!;;;;;;;;;;;;x;
EVTNAMELoR.2;A«³«È¡ÈÙïŠêŒ ¬È«¹É ÿ¿é»É;;;;;;;;;;;;x;
EVTDESCLoR.2;«³«È¡ÈÙïŠêŒùÇ ìŠ¨ÈÌæÆÐ«È ®·²´Ü¥·Ì «³ØñÆÉùÇ ªÈ¥´åÆÌ çˆ¨³©·Ù«È «³«È¡ÈÙïŠêŒ ¬È«¹É«¸ é»ÉùÂÌô¿¨¹ ¬È¢³¡³ÜêÆÙ¢È¥³. «È ±³¦³ëˆæÆÐùÇ ‘³ÝëÆÌ ¬¸äÁÉùÇ ëˆ¦´Ì ä»É®³Ý¬È¥´çˆª· íÁÝéÁÌ²È «¹É²³ÐëÆÐ ¥³²´ÜëŒ¨¹, –ˆ¥³ªÈ «¹Ýò¼Ýô¿Ì çˆ¨³ ¬¸äÁÉùÇ ¡ºê»Éô¿åÆÌ ©·Ì«¹Ý«¸ ìÁÝë‰²³Ì †ˆª·É«È ô¿Ð ¡·Û«ÈÙ¢È¥³...;;;;;;;;;;;;x;
EVTNAMELoR.3;C¯È¦¸¢³«È¯³ ¬È«¹É ÿ¿é»É;;;;;;;;;;;;x;
