#CODE;ENGLISH;;;;;;;;;;;;x;
INSULT_PIGFACE;ô¾¬È¨¹Ìª³Ý;;;;;;;;;;;;x;
IDLE;¥´¡È;;;;;;;;;;;;x;
ISNT_WICKED;éŠæˆ¥·É²³¬È «³ÎëÆØ;;;;;;;;;;;;x;
IS_WICKED;éŠæˆ¥·É²³Ø;;;;;;;;;;;;x;
ISNT_VIRTOUS;¥·É¨³Ý«È «·ÚëÆØ;;;;;;;;;;;;x;
IS_VIRTOUS;¥·É¨³Ý«È «ÈÜëÆØ;;;;;;;;;;;;x;
ISNT_NEUTRAL;ìÁÝ¦ÈÙ¬·É«È¬È «³ÎëÆØ;;;;;;;;;;;;x;
IS_NEUTRAL;ìÁÝ¦ÈÙ¬·É«ÈØ;;;;;;;;;;;;x;
SM_EFFECT_VOLUME;‡‰ò¼ëÆØ;;;;;;;;;;;;x;
SM_MASTER_VOLUME;ìŠ ëÆØ¦µÝ;;;;;;;;;;;;x;
SM_MUSIC_VOLUME;©´¡¹ÝëÆØ;;;;;;;;;;;;x;
SM_DEATH_SOUND;«ÈÌèÁÐ ª³¨³ÝëÆØ;;;;;;;;;;;;x;
ReapersDLC;ª³ªÈÌùÇ êŠÿ¼É;;;;;;;;;;;;x;
INSULT_OCCULTIST;©ÈêÁÐ•ÁÌ;;;;;;;;;;;;x;
INSULT_CORRUPT;éŠ¬·Ý²³Ì;;;;;;;;;;;;x;
release_tributary;ê»ÉäÁÉ ò¼Ì¡ºçÆÐ •Æá¢´Ì¥³;;;;;;;;;;;;x;
release_tributary_desc;¥³ÝªÈÌ«¸¡¸ ¨´Ýª¸²³Ì ê»ÉäÁÉ«¸ éˆ‡ˆçÆÐ ¬¸ä»Ý²³¬È «³ÎêÆÙ¢È¥³. «È ¡¹Ð¬·ÝëŒçˆ ¥³ÝªÈÌùÇ ¨¹Ýª·Ý«È ²³¦³É²³¬È¨³Ì, ì»ÝìŠ ò¼Ì¡º¡³ •Æá¢³¡È ‘´èÁÌ«¸ ¥³ªÈ ä»Ý¡¹É²³Ð êŠ «ÈÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
employ_court_physician;äÁÝ¬·Ý ùÇª³çÆÐ äˆëÀÝ²³Ì¥³;;;;;;;;;;;;x;
