#CODE;ENGLISH;;;;;;;;;;;;x;
opinion_hajj_promised;ª·Ý¬ÈêÁÌ¦ºçÆÐ ‘·¢³¡Èçˆ «µÉê»É²³Ø;;;;;;;;;;;;x;
opinion_bring_on_hajj;²³ØŽ¸ ª·Ý¬ÈêÁÌ¦ºçÆÐ ¨³®ÈØ;;;;;;;;;;;;x;
opinion_jihad_promised;ª·Ý¬·ÌëÆÐ ©·Ð«È¡Èçˆ «µÉê»É²³Ø;;;;;;;;;;;;x;
opinion_attepmt_hajj;ª·Ý¬ÈêÁÌ¦º«¸ ò¼Ì²´ ¬³Ìêˆ¦È²³Ø;;;;;;;;;;;;x;
opinion_declined_hajj;ª·Ý¬ÈêÁÌ¦ºçÆÐ ¡·¬·Ð²³Ø;;;;;;;;;;;;x;
opinion_refused_hajj;²³ØŽ¸ ª·Ý¬ÈêÁÌ¦º ‘·¢³¡ÈçÆÐ ¡·éŠ²³Ø;;;;;;;;;;;;x;
opinion_hajj_saved_from_bandit;ª·Ý¬ÈêÁÌ¦º ìÁÝ æˆ¬·ÉëŒçˆéŠ°· ¢³çÆÐ äŠ²´ìÁØ;;;;;;;;;;;;x;
opinion_hajj_saving_on_hajj;ª·Ý¬ÈêÁÌ¦º ìÁÝ æˆ¬·ÉëŒçˆéŠ°· äŒçÆÐ äŠ²´ìÁØ;;;;;;;;;;;;x;
opinion_hajj_attempt_murder;ª·Ý¬ÈêÁÌ¦º ìÁÝ ‡‹¬·Ì²¹Ù¬·ÝëÆÐ ±³¡È²³Ø;;;;;;;;;;;;x;
opinion_hajj_rivalry_mended;ª·Ý¬ÈêÁÌ¦º«¸ ¥´²³Ì äÆÝ¬·É¬·É«ÈÌ «È«µ¡ÈçÆÐ ²³Ø;;;;;;;;;;;;x;
opinion_helped_wudu;è»ÉëÀÉ¬¸¡ºçÆÐ æˆù¼ ìÁØ;;;;;;;;;;;;x;
opinion_hajj_not_helpin;ò¼ÌëÀÝëÆÐ éˆ«È¬È «³ÎëÆØ;;;;;;;;;;;;x;
EVTDESC86000;¥³ÝªÈÌëÆÌ ¨¸¯³çˆùÇ ª·Ý¬ÈêÁÌ¦º(²³¬È)çÆÐ ìÁÌ©È²´ÜêÆÙ¢È¥³. ä»Ï ¥³ÝªÈÌëÆÌ ¥³ÝªÈÌ ¬³ªÈÌëÆÐ ¢³Þ†Šäˆ «ÈêÆÐ¦³ØùÇ ¥³ª·Û¡ÈæÁÝìÁÝ 5©·Ì”´ ùÇèŠ ìÁÝ ²³¢³çÆÐ êŠ²´Ý²³¦¹åÆÌ ¥³çÆÌª³¦³ØæÆÐò¼ èŠ¦È¬È«·ª· «¹²´Ý²³Ð ¡·Û«ÈÙ¢È¥³.;;;;;;;;;;;;x;
EVTOPTA86000;«³Ð¦³ùÇ «³â«¸ª·åÆÌ èˆæŠ¡³ ±¹ÝæÆÝ²³¥³!;;;;;;;;;;;;x;
EVTDESC86001;¢³åÆÌ ¨¸¯³çˆùÇ «¹¬·ÝëÆÐ ìÁÌ©È²´ù¼Üåˆ¦³, –ˆ²³Ì, ¢³ùÇ äÁÝ¬·ÝùÇ ¨³ÎëÆÌ ªÈÌ²³¡³ «³¬ÈÉ ²³¬ÈçÆÐ ù¼ÌêŠ²³¬È è»Û²³ØëÆÐ «³Ðäˆ «ÈÜåˆ¦³. [Root.PrimaryTitle.GetRulerTitle]çˆª·, ¢³ùÇ ªÈÌ²³æÆÐ«¸¡¸ «¹¬·Ý«¸ ®³Ø«¹²³æˆç»É ²³åÆÌ ¡·ÛëÆÌ äŒæÆÐ«¸¡¸ ¬³©ÈçÆÐ ©¸ðŠåÆÌ ¡·Û«È¨¹ «ÈåÆÌ ¢³ùÇ ùÇèŠ«È¥³.;;;;;;;;;;;;x;
EVTOPTA86001;«ÈåÆÌ «¹¬·ÝëÆÐ ¥· ìÆÐ¡·Ù¡¸ ¨³ÌæÆÐ ¡·Û«È¥³..;;;;;;;;;;;;x;
EVTOPTB86001;«È¡·Ì ¢·èŠ ¥´¡³¡³ îŒäÁÌ...;;;;;;;;;;;;x;
EVTDESC86010;²³¬ÈçÆÐ ìÁÌ©È²³¨¹Ìª·, ¢³åÆÌ [Root.Liege.GetTitledName]«È(¡³) ²³Û¬³«³¬È¡³ «³¢ÈØëÆÐ «³Ð¡¸ ô¿«·ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
EVTOPTA86010;äŒ¡·Û«¸ ¥´²´ª· [Root.Liege.GetHerHim]çÆÐ ¬ÈÐ®´É²³¦³!;;;;;;;;;;;;x;
EVTTOOLTIP86011;©¹Ì¨¹ÝëÆÐ ²´éˆ¡¸..;;;;;;;;;;;;x;
EVTOPTB86010;ÿ¼ÉªÈÐ²È, [Root.Liege.GetSheHe]åÆÌ ©³—ÆÌ [Root.Liege.GetManWoman]«È¬È...;;;;;;;;;;;;x;
