###########################################################
#####  LOCALISATION for the Dark World Content Pack   #####
###########################################################
#####  Search ###Rewrite for incomplete localisation ######
#CODE;ENGLISH;;;;;;;;;;;;;x

################### Council Jobs Events ###################

###Universal Options
TTcontent_wonderful;¬·İ¨³Ğ «·Ø®·İ¢³Ì êˆªÈÉ«ÈäÁÌ!;;;;;;;;;;;;;x
TTcontent_notify;I should notify my liege;;;;;;;;;;;;;x

###Marshall Levy
TTcontent_levy;Levy Reinforced;;;;;;;;;;;;;x
TTcontent_jobs1000;Your martial skill is fine indeed, but your body is as well.  The soldiers you command have certainly noticed and it has been no problem for you to seek reinforcements.  Men have flooded into the province from across the realm just to partake in your *special training* exercises.;;;;;;;;;;;;;x
TTcontent_jobs1001;Word of a Red Hand Veteran looking for reinforcements has spread throughout your land. Her martial prowess may be skilled, but it may be her form fitting armor and her beauty that have brought such a large amount of reinforcements so quickly. \n \n There was some brief mention by a shocked council member about some "Special Training" exercises she has the troops taking part in... \n \n Either way, the goal has been satisfied and the levies are reinforced...;;;;;;;;;;;;;x

###Marshal Raiders
TTcontent_raiders;Raiders RAISED!!;;;;;;;;;;;;;x
TTcontent_jobs1002;Word of a Red Hand Veteran looking for raiders has spread throughout your land. Your martial prowess may be skilled, but it may be your form fitting armor and your beauty that have brought such a large amount of reinforcements so quickly. \n \n There was some brief mention by a shocked council member about some "Special Training" exercises you have the troops taking part in... \n \n Either way, the goal has been satisfied and the raiders stand ready...  It's no matter that a more than a few of them are willing cum sluts to the Red Hand Lieutenants commanding them...;;;;;;;;;;;;;x
TTcontent_jobs1003;Word of a Red Hand Veteran looking for raiders has spread throughout your land. Her martial prowess may be skilled, but it may be her form fitting armor and her beauty that have brought such a large amount of reinforcements so quickly. \n \n There was some brief mention by a shocked council member about some "Special Training" exercises she has the troops taking part in... \n \n Either way, the goal has been satisfied and the raiders stand ready...;;;;;;;;;;;;;x

###Spymaster steals Military Tech
TTcontent_spymaster;Military Secrets;;;;;;;;;;;;;x
TTcontent_jobs2000;When your liege gave you these orders, you didn't quite know how fun they could be.  It took no time at all to identify which courtiers had the knowledge you sought, and even less to get one of them addicted to your Alpha cum.  You cock is now master over another being, and the fruits of your "arduous" labor have military secrets spilling forth to your waiting ears. \n \n "It's good to have another cum slut at my beck and call...";;;;;;;;;;;;;x
TTcontent_jobs2001;¥³İªÈÌùÇ êŒ±³«È¨³êŒ°·åÆÌ äŒ¢¹ùÇ «ÈØèŠ ìÁİ š¾ ¨³ÎëÆÌ ¡·ÛëÆĞ ©´ùÂÜ¥³. ¥³çÆÌ êŒ±³«È¨³êŒ°·¡³ ëŠ¦ÈùÇ ¬È«¹É«¸ ¬·İ®³ĞëÆĞ ²³¦¹äˆ ù¼ÜëÆĞ‘´ ¨¹İ©´É²³¡¸æˆ äŒ¢¹åÆÌ ù¿äÁÉ äÁİ¬·ÌùÇ «ÈĞùÂÌëÆĞ ë‹ñ»É²³«¹ÜëŒ¨¹ äŒ¢¹åÆÌ èˆæÆÌ äÁÌª³¬·É«ÈÌ ¬·İéˆçÆĞ ¡È·«È «·Ï¡¸ô¿«·Ü¥³. «·åŒ™»É«ÈæÆÌ ¬·İéˆåÆÌ òÄìÁİ²³«¹Ü¥³.;;;;;;;;;;;;;x

###Steward Squeezes the peasants for cash
TTcontent_cashstrapped;Extra Taxes;;;;;;;;;;;;;x
TTcontent_jobs3000;You make quite the sight in your gleaming chain-mail bikini. Your armor is specially designed to distract your mostly male foes, though even females have a hard time looking away from an Red Hand Veteran. It is no small wonder that when you came to town in an effort to extort extra tax money, the men all gathered around willing to do anything for a moment with you.  Their wives are even encouraging them to pay the tax now, after you kept a few of their husbands out late and pounded them late into the night. \n \n Your liege will be quite happy with the money you have "aquired" for the crown.;;;;;;;;;;;;;x
TTcontent_jobs3001;Seeing your steward come into your chambers dressed in her armor is always distracting. She is quite a sight. \n \n It's no wonder that she was able to so effectively encourage the peasantry into offering up more for your coffers.  No doubt lewd activities encouraged wives to bring the money themselves just to keep a Red Hand Veteran from turning them into willing cum sluts. \n \n Either way, the coffers are more full than they were.;;;;;;;;;;;;;x

###Steward has settled the tribe
TTcontent_settledtribe;Tribe Settled;;;;;;;;;;;;;x
TTcontent_jobs3002;It has taken a lot of hard work to settle new tribes in these lands. Most will follow a Futa simply due to the tribal view on Futa warriors being signs of fertility. \n \n You didn't depend on that alone though. You talked for days till you finally decided to take a few cum sluts from tribal leadership and have them lead their people here of their own volition.  \n \n It wasn't that hard of work, facefucking the elders into oblivion during the nights and telling them what to say in the morning. Now your liege has what was sought...;;;;;;;;;;;;;x
TTcontent_jobs3003;Veterans of the Red Hand always seem to find a way to inject their cocks into whatever problem they come across and use it to find a solution. Your steward is no different, she has fucked her way into settling these lands for you and settling the lands is precisely what you asked for!;;;;;;;;;;;;;x






