###########################################################
#####  LOCALISATION for the Dark World Content Pack   #####
###########################################################
#####  Search ###Rewrite for incomplete localisation ######
#CODE;ENGLISH;;;;;;;;;;;;;x


TTcontent_kids1500;When the other children wanted to play with swords, it took no time for you to take up your stick and chase them all across the field.  You chased them and screamed a blood curdling battle cry with all the might your little body could muster... ;;;;;;;;;;;;;x
TTcontent_kids1500a;I am BRAVE!;;;;;;;;;;;;;x

TTcontent_kids1501;[FROM.GetFirstName] has dissuaded you from showing such bravery. Bravery, apparently is not something they want to encourage in you, lest you get any ideas...;;;;;;;;;;;;;x
TTcontent_kids1501a;Someday I shall grow up...;;;;;;;;;;;;;x

TTcontent_kids2000;[FROM.GetFirstName] has become very brave when playing "war" with the other children.  She is obviously the child of a union with an Alpha Futa.  The question you must ask yourself is whether it would be good for her to follow in those same footsteps...;;;;;;;;;;;;;x
TTcontent_kids2000a;Bravery is good!;;;;;;;;;;;;;x
TTcontent_kids2000b;I shall beat it out of her.;;;;;;;;;;;;;x
TTcontent_kids2000c;I must talk her out of this...;;;;;;;;;;;;;x

TTcontent_kids3000;PLACEHOLDER;;;;;;;;;;;;;x
TTcontent_kids3000a;PLACEHOLDER;;;;;;;;;;;;;x









