###########################################################
#####  LOCALISATION for the Dark World Content Pack   #####
###########################################################
#####  Search ###Rewrite for incomplete localisation ######
#CODE;ENGLISH;;;;;;;;;;;;;x

#### Decisions ####
tt_grantflags;Give Special Dispensation;;;;;;;;;;;;;x
tt_grantflags_desc;Give this woman special dispensation to hold council positions and even command your armies. Though she will now be able to do these things, you will still need to assign her a specific role.;;;;;;;;;;;;;x
lockherup;Force into a Chastity Belt;;;;;;;;;;;;;x
lockherup_desc;Why trust that she'll be chaste on her own when you can guarantee her sanctity?;;;;;;;;;;;;;x
unlockherup;Remove Chastity Belt;;;;;;;;;;;;;x
unlockherup_desc;Is it time to remove her chastity belt and leave her subject to her own desires?;;;;;;;;;;;;;x
convert_guild;Visit the Thieves Guild;;;;;;;;;;;;;x
convert_guild_desc;Visit the Thieves Guild and see if you can find a way to win their loyalty...;;;;;;;;;;;;;x
become_painslut;Get Trained as a Painslut;;;;;;;;;;;;;x
become_painslut_desc;Meet with the Master you have in charge of the local Slave training and have him help you hide your identity so that you can go through the Painslut training yourself as a slave.;;;;;;;;;;;;;x
sexual_torture;Sexual Torture;;;;;;;;;;;;;x
sexual_torture_desc;Put [Root.GetHerHim] on the racks, whip them, rape them, or even put them in the stocks to be used by the public.;;;;;;;;;;;;;x
sexual_torturel2love;Sexual Torture;;;;;;;;;;;;;x
sexual_torturel2love_desc;Put [Root.GetHerHim] on the racks, whip them, rape them, or even put them in the stocks to be used by the public. A painslut such as this will likely enjoy it...;;;;;;;;;;;;;x
send_to_redhand_custom_tooltip;Has not already served in the Red Hand...;;;;;;;;;;;;;x
send_to_redhand;Send to the Red Hand;;;;;;;;;;;;;x
send_to_redhand_desc;Send [Root.GetTitledFirstName] to the Red Hand, where she'll learn the ways of the mysterious band of mercenries and sharpen her skills in combat.;;;;;;;;;;;;;x


#########################################################################
#############            Giant/Troll Seeding           ##################
#########################################################################
#### Province Events <<Should never be seen!!!>> ####
TTcProvince2000_desc;Trolls have arrived in the province.;;;;;;;;;;;;;x
TTcProvince2000a;Oh darn!;;;;;;;;;;;;;x
TTcProvince2001_desc;Giants have arrived in the province.;;;;;;;;;;;;;x
TTcProvince2001a;Oh darn!;;;;;;;;;;;;;x

#########################################################################
#############            The Great Troll Hunt          ##################
#########################################################################

#### Troll Hunt Titles ####
TTPreparations;Troll Rumors;;;;;;;;;;;;;x
TTGreatTrollHunt;The Troll Hunt;;;;;;;;;;;;;x

#### Troll Hunt Descriptions ####
TTContentWOL300;You have learned of a forest troll living in a nearby woodland. You've just arrived at a local Inn to seek information about the Trolls whereabouts and a Hunter offers his insights. \n \n "I caution you [Root.GetTitle]. These creatures are dangerous and lascivious. A troll will kill you hump a rock if he can find a hole in it, he's liable to kill you and fuck your corpse." the Hunter says. "Their skulls are half again as large as a mans, and their claws are as sharp as talons. The adult males are said to have pheromones that drive female trolls into heat. I've never seen it in action, but i caution you to be careful if you intend to seek this beast out.";;;;;;;;;;;;;x
TTContentWOL301;The Hunter has lead you deep into the wilderness, tracing tracks and following deer trails finally coming to a stop at a stream. \n \n "This is as far as I go. I have no doubt about my own ability, I wouldn't survive an encounter with this beast. I wish you the best of luck [Root.GetTitle]. You'll need it." \n \n Just as soon as the Hunter finished speaking he turned and started walking away. You watch until he's out of sight, but you're already committed to this path. There's no turning back now.;;;;;;;;;;;;;x
TTContentWOL302;You've found the Troll not a far distance from where your guide had directed you. It ambles through the forest leaning forward on its knuckles like some great ape. The Troll's three eyes are sharp and it catches sight of you. \n \n Without preamble you draw an arrow and fire.  The arrow strikes true into the beasts chest, but he shakes it off and charges you...;;;;;;;;;;;;;x
TTContentWOL303;The Troll is upon you, rage showing across his monstrous face.  Your knee's start to buckle... That smell?!  What is that smell? \n \n Before you can shake off the monster's pheromones he has you in his grasp and tosses aside your weapon... ;;;;;;;;;;;;;x
TTContentWOL304;The air is knocked out of you and your head is spinning, you are vaguely aware that your armor is being ripped or stripped away. \n \n "No, no..." you mutter as you start to gather your wits about you...;;;;;;;;;;;;;x
TTContentWOL305;You struggle to fight the beast off but his grip is strong and your weapon is nowhere nearby. He turns you around and before you realize what is about to happen he slams his monstrous cock into you. His huge meat pressing into your body sliding deeper into your womb... You scream... \n \n That one action has brought you fully to your senses, your mind no longer clouded by pheromones. He slams into you again starting to develop a rhythm but you are pinned down beneath him. The Trolls putrid breath on the back of your neck you can hear him straining to get himself even deeper inside you. \n \n You want him deeper too. Something in you wants him deeper inside you. You lift your hips slightly pushing back only a little... ;;;;;;;;;;;;;x
TTContentWOL306;The Troll sensed your movements and immediately picks you up into the air facing him and proceeds to continue thrusting his cock into you. \n \n "He was waiting for me to want it!?" you think to yourself.  \n \n It hardly matters, because you do want it. Every thrust fills you with lust for this monstrous cock. His grotesquely shaped face inches from yours as he grips your legs and uses you as a human fucktoy. His breath, animalistic in it's scent and rhythm. You become lost in a world of animal lust...  The troll cums deep inside of you...;;;;;;;;;;;;;x
TTContentWOL307;The troll, exhausted, leans back resting on it's back. It's cock still hard but the animal is seemingly oblivious to the fact that you are still here. \n \n "I'm not finished yet you brute!" you say, knowing full well he won't understand. \n \n You stradle the beast, his massive cock glistening with your juices and his own. You start to rub your pussy against it, playing with your nipples. The beast lets out a slow moan.;;;;;;;;;;;;;x
TTContentWOL308;You work your way down, the monstrous cock sliding into you. Your pussy twitches with pleasure as you realize just how debased this act is. Impaling yourself on the cock of a monstrous three eyed beast. You work your hips as you grind into the creature. Your pleasure builds and you feel the familiar twitcing in your thighs as an orgasm rocks over you and the beast cums within you a second time...;;;;;;;;;;;;;x
TTContentWOL309;As you orgasm clarity finally comes to you. You realize fully what a dangerous situation your in and what this beast has done to you. With your newfound clarity of thought you pull the dagger from your boot spin around and drive it up under the beasts chin and into his skull. The blood gushes forth like a current and he slumps back lifelessly. ;;;;;;;;;;;;;x
TTContentWOL310;You stand over the beast, partially naked, covered in blood and a dagger in your hand. Anger at the situation washes over you, but also a sense of satisfaction.  At least no one else was around, you can keep his skull as a trophy and tell no one of how you really slayed this beast. You can come up with a better story about this as you make your way back home...;;;;;;;;;;;;;x
TTContentWOL340;You've found the Troll not a far distance from where your guide had directed you. It ambles through the forest leaning forward on its knuckles like some great ape. The Troll's three eyes are sharp and it catches sight of you.;;;;;;;;;;;;;x
TTContentWOL341;Before the troll can react you charge. Suprise is apparent on the beasts face as it lifts of its knuckles onto it's hind legs. You swing your sword for all your worth and cleave the beast through the chest burying your sword deep inside the creature. \n \n The beast lets out a cry the sound of which will haunt your nightmares as it stumbles back grasping at the sword in it's chest and falls onto it's back dead. \n \n You survey the creature, and take a seat on a pile of bones nearby. A sense of relief and accomplishment wash over you as you try to determine which part of this beast you will use as a trophy...;;;;;;;;;;;;;x
TTContentWOL342;The troll has spotted you with one of its three monstrous eyes and it charges you. Drawing your sword quickly you deftly avoid it's claws and slash upward at the beast missing but the blade fails to cut through the thick hide of the Trolls side.;;;;;;;;;;;;;x
TTContentWOL343;The beast slash you with his claw in a flash, and blood gushes from the wound. The sides may be tougher but the belly looks soft. You maintain your momentum with the blade and swing it around plunging it into the stomach of the beast. The creature lets out a blood curdling scream as you slice into his abdomen burying your sword to the hilt. The creature stumbles backwards and falls onto it's back, it's breating coming in short gasps as it strains in vain to hold onto life. You sit down on a pile of bones nearby and watch the creature die, thinking to yourself about what part to take for a trophy.;;;;;;;;;;;;;x
TTContentWOL344;The beast slash you with his claw in a flash, and blood gushes from the wound. You quickly realize you are no match for this beast. Your sword did nothing against his tough hide and you can think of no other solution. Without much else to do, you turn heel and run.  You run for all that you're worth. Behind you a blood curdling scream of nightmares comes out of the beast as he begins to chase, but his ambling gait is no match for your feverish and panicked run.;;;;;;;;;;;;;x
TTContentWOL360;;You come upon the troll ready for a fight, but he spots you first... and seems calm. Not violent, not anything.  He seems to recognize something in you.;;;;;;;;;;;;;x
TTContentWOL361;You and the troll spend a time just taking each other in. He motions toward you and then motions towards his own chest. Apparently he thinks you and he are similar. \n \n This situation could prove advantageous yet...;;;;;;;;;;;;;x
TTContentWOL362;As the troll stands patiently in front of you, you realize you have several choices apparent. You could try to take him as a pet, kill the vile beast, or simply walk away...;;;;;;;;;;;;;x

#### Troll Hunt Options ####
TTContentWOL300A;Let us prepare!;;;;;;;;;;;;;x 
TTContentWOL300B;I have no time for this.;;;;;;;;;;;;;x 
TTContentWOL301A;Let's do this!;;;;;;;;;;;;;x 
TTContentWOL301B;Let's do this!;;;;;;;;;;;;;x 
TTContentWOL301D;Let's do this!;;;;;;;;;;;;;x 
TTContentWOL301E;I have no time for this.;;;;;;;;;;;;;x 
TTContentWOL302A;What's that smell?;;;;;;;;;;;;;x
TTContentWOL303A;**Knocked to the ground**;;;;;;;;;;;;;x
TTContentWOL304A;This can't be happening?!;;;;;;;;;;;;;x
TTContentWOL305A;What am I doing?!;;;;;;;;;;;;;x
TTContentWOL306A;I want more...;;;;;;;;;;;;;x
TTContentWOL307A;I need it...;;;;;;;;;;;;;x
TTContentWOL308A;The fog clears.;;;;;;;;;;;;;x
TTContentWOL309A;Victory!;;;;;;;;;;;;;x
TTContentWOL310A;Head home.;;;;;;;;;;;;;x
TTContentWOL340A;Suprise the beast!;;;;;;;;;;;;;x
TTContentWOL340B;Ready yourself for the fight...;;;;;;;;;;;;;x
TTContentWOL341A;VICTORY!!;;;;;;;;;;;;;x
TTContentWOL342A;CHARGE!!;;;;;;;;;;;;;x
