#CODE;ENGLISH;;;;;;;;;;;;;x

###EVENT TITLES###

mercom_recruit;ïÆÉêŠ²³Ì ª³¦¹İò¼Ì èˆ¬ÈÙ.;;;;;;;;;;;;;x,,,
mercom_recruit_event;The search begins.;;;;;;;;;;;;;x,,,
mercom_commander_creation;A New Marshall.;;;;;;;;;;;;;x,,,
mercom_recruit_desc;Searching for rumors.;;;;;;;;;;;;;x,,,
mercom_recruit_desc2;Sorting the leads.;;;;;;;;;;;;;x,,,
mercom11_title;First Meetings?;;;;;;;;;;;;;x,,,
mercom2;Placeholder.;;;;;;;;;;;;;x,,,
mercom5_title;The Nubian.;;;;;;;;;;;;;x,,,
mercom6_title;The Viking girl.;;;;;;;;;;;;;x,,,
mercom7_title;The Commander's Scouts.;;;;;;;;;;;;;x,,,
mercom998_title;Restructuring the armies...;;;;;;;;;;;;;x,,,
mercom999_title;An offer...;;;;;;;;;;;;;x,,,

###EVENT DESCRIPTIONS###

mercom1;¥³İªÈÌò¼ ª³¦¹İò¼ÌëÆÌ ¥³İªÈÌùÇ äÁİ¬·Ì«¸ ¥³ªÈ æˆ®³É²³«¹Ü¥³. ëˆåÆÌ ¡ÈĞ«¸ äŒ¢¹ùÇ «ÈçÆØ«È «³°¸¢³¦³åÆÌ ¡·ÛëÆĞ «³Ğ«³Üäˆ äÁİ¬·Ì«¸ æˆ®³É²´ÜëÆĞ‘´ «È¨È ¦¸æŒ²´ÌæŒ éŠ¥´¡³ ¥³İªÈÌéˆ¥³ ¨·Ì¬· æˆ®³É²´ «ÈÜ¥³åÆÌ ¡·ÛëÆĞ «³Ğ«³Ü¥³. «³°¸¢³åÆÌ äÁİ¬·Ì«¸ æˆ®³É²³äˆ¢³ª· äŒ¢¹ù¼ùÇ ²¹Ù¬·İ«¸ æ»İùÇ²³Ì¡·ÛëÆĞ ùÇªÈØ®È «³ÎëÆÌæÆÛ «³âëŒçˆ ¢³¡³ª· ù¼İú¼«¸ ìÆÉªÈ «³Í«³Ü¥³. " «³ ¨³Ş¥³. ¡¹Ğñ»Ì ²´ÜåÆÌ¬È èÁÏåÆÌ¡·ÛëÆĞ ³Ø’³É²´Ü¢¸ë‰. ®ÈÌ«´²³åÆÌ[Root.GetHusbandWifeOpp] , ª´çˆëÁÌ ÿ¼Ì¡¹İæÆĞ«¸ ªÈÌ¡¹İ˜Œ¬È ¨³ª¸ë‰." ;;;;;;;;;;;;;x,,,
mercom11;¥³İªÈÌëÆÌ ùÇÿ¿çÆĞ êˆ¬ÈÙ²³Ì ‡Š ë‹¨¹İ²³Ì ª³¦¹İò¼ÌëÆĞ èˆ¬ÈÙ²³¡È ùÄ²³Ì «·åŒ¬·İæˆùÇ ªÈ¡³Ì«È ¬È¢³ÜêÆÙ¢È¥³. ëˆåÆĞ ²³Ì ª³ªÈÌ«È ¦¸æŒ²´ÌæŒ«¸ æˆ®³É²³«¹ èˆ«ÈØëÆĞ ìÁÌ©È²³«¹Ü¥³äˆ ²³«¹Ü¥³. ª³¦¹İò¼ÌëÆÌ ¢³Ø™»ÉùÇ «·Ì¥·É«¸ª· ¥³İªÈÌëÆĞ ñ»Ì¬³ ¨³Ì¢³¡ÈĞ ùÂÌ²´Üäˆ ¥³İªÈÌëÆÌ äŒ¢¹ùÇ æˆëÁØëÆĞ ùÂÌ²´Ü¡È«¸ ñ»Ì¬³¡³¡Èçˆ ²³«¹Ü¥³.;;;;;;;;;;;;;x,,,
mercom12;¥³İªÈÌ«È ª³Ì •»É¥´¡È«¸ ë»Ğ¦³¡³¬³¨³¬³ ëˆ‡ŠùÇ åÆŞëÆÌ °´«µİ©Èß«¸ ©È†ŠåÆÌ ²¹İª³İëÆĞ é»Ğ êŠ «ÈÜ«·Ü¥³. ²´Û©Èß«¸ ©È®ÈÌ äŒ¢¹ùÇ ÿ¼¦¹²³Ì è»Ø æ»İ¬³ÉëÆÌ é»Ğ¨³Ì²³Ì ò¼İ¡¹İ«È«¹Ü¥³. "¬·ÿÇ ¬·Ì«¸ ÷¿Ì¬·É«È «ÈÜ¢³ë‰?" äŒ¢¹åÆÌ «·´¢·¨·çˆ ¨³Ğ²³«¹Ü¥³. "¥³İªÈÌ.. ù¾Ì¬È ®ÈÌêÁÉ²´éˆ«È¢¸ë‰.";;;;;;;;;;;;;x,,,
mercom13;",«³?!? ëˆ, ¬·İ¨³Ğ ú¿ê»İ²´ë‰. ¥³İªÈÌ«¸ ¥´²´ «³Ğäˆ «ÈÜ«·Ü¬È¨³Ì ¨È®· ª´İ¡³É²³¬È è»Û²´Ü¢¸ë‰." äŒ¢¹åÆÌ ¬³İ¢³ÌêŒ¦·Ì ¨Èêˆçˆ ¨³Ğ²³«¹Ü¥³.;;;;;;;;;;;;;x,,,
