###########################################################
#####  LOCALISATION for the Dark World Content Pack   #####
###########################################################
#####  Search ###Rewrite for incomplete localisation ######
#CODE;ENGLISH;;;;;;;;;;;;;x

#### Nicknames ####
nick_the_goddess;the Goddess;;;;;;;;;;;;;x
nick_the_gorgeous;the Gorgeous;;;;;;;;;;;;;x
nick_the_painslut;the Painslut;;;;;;;;;;;;;x
nick_the_cumslut;the Cumslut;;;;;;;;;;;;;x
nick_the_dominatrix;the Dominatrix;;;;;;;;;;;;;x
nick_the_ironlady;the Ironlady;;;;;;;;;;;;;x
nick_the_sexy;the Sexy;;;;;;;;;;;;;x
nick_the_slut;the Slut;;;;;;;;;;;;;x
nick_the_ttpervert;the Pervert;;;;;;;;;;;;;x
nick_the_ttdeviant;the Deviant;;;;;;;;;;;;;x
nick_mercom_cocksleeve;the Cocksleeve;;;;;;;;;;;;;x
nick_mercom_com;the Commander;;;;;;;;;;;;;x

#### Artifacts ####
troll_skull;Troll Skull;;;;;;;;;;;;;x
troll_skull_desc;This is a skull of a slain Troll. An especially macabre person could attempt to utilize it as a head piece. It is certainly fearsome looking.;;;;;;;;;;;;;x
tt_female_statue;Statue of Lilith;;;;;;;;;;;;;x
tt_female_statue_desc;This statue of Lilith was old before Christ came, who knows how long it has been around or who the original artist was.  What you do know is that the figure is exsquisite in detail and shape. Few could ever dream of capturing feminine beauty so well.;;;;;;;;;;;;;x
tt_nordicdagger;Fine Steel Dagger;;;;;;;;;;;;;x
tt_nordicdagger_desc;This fine steel Dagger was crafted by some of the best dwarven craftsmen in exisitence. Deep inside the earth they found and forged this metal to make a weapon that is truly remarkable in design and balance.;;;;;;;;;;;;;x
tt_nordicaxe;Fine Steel Axe;;;;;;;;;;;;;x
tt_nordicaxe_desc;This fine steel Axe was crafted by some of the best dwarven craftsmen in exisitence. Deep inside the earth they found and forged this metal to make a weapon that is truly remarkable in design and balance.;;;;;;;;;;;;;x
tt_nordicsword;Fine Steel Sword;;;;;;;;;;;;;x
tt_nordicsword_desc;This fine steel Sword was crafted by some of the best dwarven craftsmen in exisitence. Deep inside the earth they found and forged this metal to make a weapon that is truly remarkable in design and balance.;;;;;;;;;;;;;x
tt_dwarvenaxe;Dwarven Axe;;;;;;;;;;;;;x
tt_dwarvenaxe_desc;This Dwarven Axe was crafted by some of the best craftsmen in exisitence. Deep inside the earth they found and forged this metal to make a weapon that is truly remarkable in design and balance. It's unknown what metal is used, and the dwarves won't say.;;;;;;;;;;;;;x
tt_dwarvensword;Dwarven Sword;;;;;;;;;;;;;x
tt_dwarvensword_desc;This Dwarven Sword was crafted by some of the best craftsmen in exisitence. Deep inside the earth they found and forged this metal to make a weapon that is truly remarkable in design and balance. It's unknown what metal is used, and the dwarves won't say.;;;;;;;;;;;;;x
tt_blackblade;The Ebon Blade;;;;;;;;;;;;;x
tt_blackblade_desc;To say the blade is color of a night without stars or moon is an understatement. The deepness of the black leaves an uneasy feeling in any onlooker. Who made this blade, or whence it came from is a question with no answer.  The blade is impressively sharp, lightweight and balanced. Undoubtedly it was made for battle...;;;;;;;;;;;;;x

#### Traits ####
chastity_belt;Chastity Belt;;;;;;;;;;;;;x
chastity_belt_desc;This belt will help a young lady stay true to her virtue in ways that she might not have been able to, or willing to, on her own.;;;;;;;;;;;;;x
painslut;Pain Slut.;;;;;;;;;;;;;x
painslut_desc;This woman loves pain. To her, pain is the root of pleasure. It took a lot of punishment for her to come to this realization. Painsluts are the result of meticulous slave training and abuse.;;;;;;;;;;;;;x
cumslut;Cum Slut.;;;;;;;;;;;;;x
cumslut_desc;This woman loves male seed and will do almost anything she can to aquire it..;;;;;;;;;;;;;x
halftroll;Half-Troll;;;;;;;;;;;;;x
halftroll_desc;This person is half Troll and half Human. How such a pairing ever took place is a mystery, also a mystery is how fruit of that union could possibly have been born...;;;;;;;;;;;;;x
trollblood;Trolls Blood;;;;;;;;;;;;;x
trollblood_desc;This hearty individual has the blood of Trolls flowing through their veins. While diluted, there are still many advantages from such ancestry...;;;;;;;;;;;;;x
halfgiant;Half-Giant;;;;;;;;;;;;;x
halfgiant_desc;This person is half Giant and half Human. How such a pairing ever took place is a mystery, also a mystery is how fruit of that union could possibly have been born...;;;;;;;;;;;;;x
giantblood;Giants Blood;;;;;;;;;;;;;x
giantblood_desc;This hearty individual has the blood of Giants flowing through their veins. While diluted, there are still many advantages from such ancestry...;;;;;;;;;;;;;x

## MERCOM Traits ##
futacumslut;‡Š°³¢³¦È ¬·İ«´É©³Ï«È;;;;;;;;;;;;;x
futacumslut_desc;äŒ¡·ÛùÇ •ÆÌ¬·É²³Ì ¬·İ«´ÉëÆĞ ª³Ø¯ÈĞ‘´, ¡´«ÈÌ¬·É«ÈÌ ëÀÉ¨³İ«¸ ª³çˆ¬³Ù²ÈÌ¥³. ²³çŠùÇ ¥´éŠéÁÌëÆĞ ¬·İ«´É¨·É¡È«¸ ˜»Ï«³éÁá¥³.;;;;;;;;;;;;;x
redhandslut;Red Hand Slut;;;;;;;;;;;;;x
redhandslut_desc;A slut kept by the Red Hand mercenary group. This individual spends their time in a state of pure cumlust, seldom far away from a futa cock. Their minds are almost gone completely, so long have they been in the cumlust.;;;;;;;;;;;;;x
redhandvet;¦¸æŒ ²´ÌæŒ ©¸°¸¦³İ;;;;;;;;;;;;;x
redhandvet_desc;¦¸æŒ ²´ÌæŒ ëÀİ©¹İ éŠ¥´ùÇ ©¸°¸¦³İ. «È ‡Š°³¢³¦È ¬·Ìª³åÆÌ äŒ¢¹¡³ ®È¨¹İ¬·É«ÈÌ¨³ÌîÆØ «³çÆÙ¥³ÙêÆÙ¢È¥³.;;;;;;;;;;;;;x
slutpilgrim;¦¸æŒ ²´ÌæŒùÇ ¬·İ«´É©³Ï«È;;;;;;;;;;;;;x
slutpilgrim_desc;«È ¯´¦ÈÉ°·åÆÌ ¦¸æŒ²´ÌæŒçÆĞ ©³İèÁÌ²³«¹ ¬·İ«´É©³Ï«Èçˆ ²³Ì æ»İ«³Ì ª³Ğäˆ «ÈÜêÆÙ¢È¥³.;;;;;;;;;;;;;x

# Tooltips related to Decisions
redhandrecruitment;Can be utilized every 5 years.;;;;;;;;;;;;;x
recruit_redhandvet;¦¸æŒ ²´ÌæŒ éŠ¥´çÆĞ èˆ¬ÈÙ²³Ì¥³.;;;;;;;;;;;;;x
recruit_redhandvet_desc;¦¸æŒ ²´ÌæŒ ©¸°¸¦³İëÆĞ äˆëÀİ²³«¹ äÁÌ¥´ ¬ÈÿÄò¼ÌëŒçˆ ¨³ÌæŒªÈÙªÈëˆ!;;;;;;;;;;;;;x

####### Name of the Band ############
c_red_hand;The Red Hand;;;;;;;;;;;;;x
c_red_hand_adj;Redhands;;;;;;;;;;;;;x

######## Pilgrimage to the Red Hand Decision ########
mercom_pilgrimage;¦¸æŒ ²´ÌæŒùÇ «³Ø¯´çˆ «ÈĞ²³¡È.;;;;;;;;;;;;;x
