###########################################################
#####  LOCALISATION for the Dark World Content Pack   #####
###########################################################
#####  Search ###Rewrite for incomplete localisation ######
#CODE;ENGLISH;;;;;;;;;;;;;x

###### TT Content Deviant Torture ######
#### Routing Event ####
TTContentTorture;Deviant Torture;;;;;;;;;;;;;x
TTContentTorture9999;You've given in to your deviant nature and find yourself standing before your prisoner. She is chained and bound here in your dungeons and you are completely free to do with her as you will.  Should you make her "available" to the public in the stocks? Whip her into submission? Or should you strap her to the racks and make this session more one on one? ;;;;;;;;;;;;;x
TTContentTorture9999alt;The look on her face is a look of excitement. Her eyes are searching you and seem to be almost begging. Could it be she has come to enjoy these punishments?  \n \n She moans slightly as she pulls on her bindings gently. Her eyes have turned pleading.  There is no wish for escape in those eyes, she seeks domination, and she is seeking for it from you...;;;;;;;;;;;;;x
TTContentTorture9999a;The Stocks;;;;;;;;;;;;;x
TTContentTorture9999b;The Whip;;;;;;;;;;;;;x
TTContentTorture9999c;The Rack;;;;;;;;;;;;;x
TTContentTorture9999d;On second thought, no...;;;;;;;;;;;;;x

####Stocks####
TTContentTorturestocks;The Stocks;;;;;;;;;;;;;x
TTContentTorture1000;Bound and shackled you sent [TT_torture_recipient.GetFirstName] to the stocks and opened the doors to the public. Lines formed quickly, many a man wanted to partake of her flesh and more still simply wanted to experience the degradation of someone important enough to upset the [TT_torture_assailant.GetTitle].;;;;;;;;;;;;;x
TTContentTorture1000a;Good.;;;;;;;;;;;;;x
TTContentTorture1000b;Get on with it.(Skip Scene).;;;;;;;;;;;;;x
TTContentTorture1001;Cock after cock lines up and fills [TT_torture_recipient.GetFirstName]. She pleads for it to stop, but her words go unheard by the throngs as they eagerly await their turns. The chain bar between her feet keeps her legs spread wide enough that even an unexperienced man would have no problem getting into a good rhythm against stuch an unwilling participant.;;;;;;;;;;;;;x
TTContentTorture1001a;I do hope she stays just as feisty after this...;;;;;;;;;;;;;x
TTContentTorture1002;Cum runs down her legs as yet another man finishes inside of her.  You keep the line moving and organized.  Everyone should get a least one turn, but if they have the stamina they should be able to get back into the end of the line and go again. It's only fair, afterall...;;;;;;;;;;;;;x
TTContentTorture1002a;What about her mouth?;;;;;;;;;;;;;x
TTContentTorture1003;With such a large group of the public here you send some ment to the front of the stocks so that they can begin using her mouth as well.  It's doubtful that she has enough spark to try and bite anyone, not after how many men have already taken her. \n \n After a time you check on a man who has been gripping the stocks and fucking [TT_torture_recipient.GetFirstName]'s face for the past 10 minutes. He pulls back, revealing her rosey colored cheeks and he runs a finger along her chin before slapping her sharply.;;;;;;;;;;;;;x
TTContentTorture1003a;Slut's like her deserve no better.;;;;;;;;;;;;;x
TTContentTorture1004;Time passes quickly as the throngs thin out. Only a few men are left, but they seem the most insatiable and violent of the bunch. [TT_torture_recipient.GetFirstName] has gone completely quiet. No sobs, no pleading, and her eyes are unfocused as she stares off to the side. She appears broken right now, but she will recover in time. Your mind is awash as you dream of all the other things you could do to her while you have her in your dungeons. Oh the fun that shall be had...;;;;;;;;;;;;;x
TTContentTorture1004a;I have enjoyed this.;;;;;;;;;;;;;x
TTContentTorture1500;Bound and shackled, [TT_torture_assailant.GetBestName] has sent you to the stocks and opened the doors the the public. Lines formed quickly, many men wanted to partake of you and your flesh. More still simply wanted to experience the degradation of someone important enough to earn the ire of the [TT_torture_assailant.GetTitle]. ;;;;;;;;;;;;;x
TTContentTorture1500a;Oh No!;;;;;;;;;;;;;x
TTContentTorture1500b;Get on with it.(Skip Scene).;;;;;;;;;;;;;x
TTContentTorture1501;Cock after cock lines up and fills your holes. You plead for it to stop, but your words go unheard by the throngs as they eagerly await their turns. The chain bar between your feet keeps your legs spread wide enough that even an unexperienced man will have no trouble getting into a good rhythm against even your unwilling body...;;;;;;;;;;;;;x
TTContentTorture1501a;When will it end?;;;;;;;;;;;;;x
TTContentTorture1502;Cum runs down your legs in a flood. What started as a trickle can not be described as such any longer. Too many men have finished deep inside of you and barely a moment passes before the next is already inside. How many have already finished, and how many more are to come, you don't know. All you know is that it isn't over, and there is no hope of stopping it at all...;;;;;;;;;;;;;x
TTContentTorture1502a;.......;;;;;;;;;;;;;x
TTContentTorture1503;You see feet come up in front of your stocks, before you can raise your head to see who it is someone grabs your head roughly. Your mouth is forced open and a cock is sliding into it. \n \n You chock on the cock, coughing and sucking in breath around it as he plunges his cock deep into your mouth and into your throat. The back of your head is pressed into the stocks and the cock and hips before you fall into a rythmn. A rythm of pressure, and release as you gasp for breath every chance you can get. \n \n When he finally cums, he shoves his twitching cock deep into your throat and unloads. Sliding his cock out of your mouth slowly and letting it drop. A finger runs along your chin and then with no warning a sharp slap across your cheek.;;;;;;;;;;;;;x
TTContentTorture1503a;At least he's finished...;;;;;;;;;;;;;x
TTContentTorture1504;Time passes slowly as the crowds thin out slowly. Only a few men are left, but they seem the most insatiable and violent of the bunch. You've no more energy to fight, no will to complain or beg.  Your eyes are unfocused as you stare off to the side and your body is rocked by another unnamed assailant...;;;;;;;;;;;;;x
TTContentTorture1504a;........;;;;;;;;;;;;;x

####Whip####
TTContentTorturewhip;The Whip;;;;;;;;;;;;;x
TTContentTorture2000;[TT_torture_recipient.GetSheHe] cries out as you push her toward the wooden cross. Her lithe frame fights against you as you latch her in place and step back to the whip waiting on a nearby table. \n \n "Please don't!  Don't do this..." she pleads... \n \n *CRACK* \n \n The sounds of the whip deafen her words and her words turn unintelligible. You roll up the whip after only a few softer strikes on her tender flesh. You approach her and begin to caress the marks, smoothly and gently your hand rolls to the front and you cup one of her breasts. \n \n "Your training is just beginning, [TT_torture_recipient.GetFirstName]" you say and laugh as you step back, unfurling the whip smoothly...;;;;;;;;;;;;;x
TTContentTorture2000a;Good.;;;;;;;;;;;;;x
TTContentTorture2500;You cry out as you are pushed toward the wooden cross. Your fight against your captor as [TT_torture_assailant.GetSheHe] pushes you against the cross and locks you in place. \n \n "Please don't!  Don't do this..." you plead. \n \n *CRACK* \n \n The sounds of the whip deafen your words and you begin to simply mumble through the sharp pain. The pain stops, and you hear rustling behind you as your captor approaches. Hands course over your freshly marked back, gently around your side and cups one of your breasts. \n \n "Your training is just beginning, [TT_torture_recipient.GetFirstName]" says the voice, and laughter fills your ears as you hear the whip drag the floor in preparatio for another strike...;;;;;;;;;;;;;x
TTContentTorture2500a;Oh No!;;;;;;;;;;;;;x

####Rack####
TTContentTortureracks;The Racks;;;;;;;;;;;;;x
TTContentTorture3000;You have [TT_torture_recipient.GetFirstName] dragged to the rack and securely locked into place. She pleads with you for mercy, but you hardly hear her as you stretch her body out, turning the wheel attached to the torture machine. \n \n Her shrieks echo throughout the halls. You lock the machine into place, knowing full well just how imobile she is and you climb up the rack, stradling her face. \n \n "Time for the fun part." you say as you hold her head between your hands and press your large cock into her mouth.  Her first attempt at a scream opened her mouth enough that you were able to press your entire length deep into her throat. Her warm thight throat constricts around your cock, obviously cutting off her air supply. You hold it in place and she begins to thrash violent, pulling against the shackles on the rack, her body shaking horribly. You pull your cock out partially and feels her suck in air from around your cock. \n \n "This will be enjoyable." you mutter to yourself as you begin a rythmic thrusting...;;;;;;;;;;;;;x
TTContentTorture3000alt;You have [TT_torture_recipient.GetFirstName] dragged to the rack and securely locked into place. She pleads with you for mercy, but you hardly hear her as you stretch her body out, turning the wheel attached to the torture machine. \n \n Her shrieks echo throughout the halls. You lock the machine into place, knowing full well just how imobile she is and motion for the Dungeon Master to climb up the rack, stradling her face. \n \n "Time for the fun part." you say as he holds her head between his hands and press his large cock into her mouth.  Her first attempt at a scream opened her mouth enough that he was able to press his entire length deep into her throat. Her warm thight throat constricts around his cock, obviously cutting off her air supply. He holds it in place and she begins to thrash violent, pulling against the shackles on the rack, her body shaking horribly. He pulls his cock out partially and you hear her suck in air from around his cock. \n \n "This will be enjoyable." you mutter to yourself as you watch your Dungeon Master begin a rythmic thrusting...;;;;;;;;;;;;;x
TTContentTorture3000a;Such a tight throat...;;;;;;;;;;;;;x
