###########################################################
#####  LOCALISATION for the Dark World Content Pack   #####
###########################################################
#####  Search ###Rewrite for incomplete localisation ######
#CODE;ENGLISH;;;;;;;;;;;;;x

#########################################################################
#############              The Dwarf CITY              ##################
#########################################################################

#### Dwarf City Titles ####
TTContentdwarfCity;The Dwarf City;;;;;;;;;;;;;x
TTContentdwarfCity2;The Back Alleys;;;;;;;;;;;;;x

#### Dwarf City Descriptions ####
TTContentdwarf1000;The large underground city sprawls out before you. In the distance you can see the market district with a Blacksmith, and an Alchemist among the myriad of shops.  The Kings Palace sits up on the hill, an imposing structure to be sure.;;;;;;;;;;;;;x
TTContentdwarf1001;You've stepped into the backalleys of the city, off of the beaten path. Seedy Taverns, an old disused temple, and what may be a slavers auction appear to be nearby...;;;;;;;;;;;;;x

#### Dwarf City Options ####
TTContentdwarf1000a;The Kings Palace;;;;;;;;;;;;;x
TTContentdwarf1000b;The Blacksmith;;;;;;;;;;;;;x
TTContentdwarf1000c;The Alchemist;;;;;;;;;;;;;x
TTContentdwarf1000d;Back Alleys;;;;;;;;;;;;;x
TTContentdwarf1001a;Old Temple;;;;;;;;;;;;;x
TTContentdwarf1001b;Seedy Tavern;;;;;;;;;;;;;x
TTContentdwarf1001c;Slave Trader;;;;;;;;;;;;;x
TTContentdwarf1001d;Back to Town Center;;;;;;;;;;;;;x
TTContentdwarfBACK;Back to Alley...;;;;;;;;;;;;;x
TTContentdwarfHeadHome;Head home...;;;;;;;;;;;;;x

##### The Dwarf King #####
TTContentKing;The Throne Room;;;;;;;;;;;;;x
TTContentdwarf1100;The Throne room is magnificent. The stonework throughout the city is breathtaking, but the King's Palace is even more so. The intricate detail in the patterns and the distinctly dwarven figures carved into the murals certainly speak to where you find yourself. Only a King could afford such a level of crafstmanship...;;;;;;;;;;;;;x
TTContentdwarf1100a;Try to see the King.;;;;;;;;;;;;;x
TTContentdwarf1101;Before taking more than a few steps towards the throne you are waved off by several armed guards. Apparently without an invitation you won't be able to see the king, no matter your station.;;;;;;;;;;;;;x
TTContentdwarf1101a;Oh well...;;;;;;;;;;;;;x

##### The Dwarf Blacksmith #####
TTContentBlacksmith;The Blacksmith;;;;;;;;;;;;;x
TTContentdwarf1200;The intricate stonework on the columns, the copper covered counter and the myriad of weapons hanging about the room leave no doubt about where you are.  The column in the center of the room is a work of art in itself on top of being an integral part of the structure. A dwarf face is carved into the top of it with some detailed intertwined lines woven beneath it in the stone. The lines are obviously significant of something. \n \n Shields, swords, axes, and hammers are organized neatly into racks. In this shop everything has a place and everything is in it's place. It is quite obviously a well cared for establishment.;;;;;;;;;;;;;x
TTContentdwarf1200a;Greet the Smith.;;;;;;;;;;;;;x
TTContentdwarf1200b;Greet Bruenor.;;;;;;;;;;;;;x
TTContentdwarf1201;"I am Bruenor, Master of the forge and proprietor of what you see before you." \n \n Bruenor waves a massive hammer filled hand about the room as he gestures to his surroundings. His white hair and leathery skin quickly belay his age. The lack of a shirt clearly displays his uniquely dwarven & muscular frame. \n \n "What can I do for you today?" Bruenor asks.;;;;;;;;;;;;;x
TTContentdwarf1201alt;"Well met [Root.GetFirstName].  I have the same selection as before and you are more than welcome to buy whatever you want." Bruenor says with a relaxed smile.;;;;;;;;;;;;;x
TTContentdwarf1201a;Nothing for now, thank you.;;;;;;;;;;;;;x
TTContentdwarf1201b;*Ask about the intricate carvings*.;;;;;;;;;;;;;x
TTContentdwarf1201c;*Make a Purchase*;;;;;;;;;;;;;x
TTContentdwarf1210;Bruenor laughs gently. \n \n "Everything in this city has decorative carvings, but I believe I see your attention was drawn to the column..." Bruenor takes a breath after that statement and his chest appears to be pushed out a bit further than before. \n \n "The face at the top is my ancestor, and my namesake. He was the greatest weaponsmith our people have ever seen and a fine warrior, and I sincerly doubt we shall see his likenes again. The pattern beneath it is the sigil of his house, my house, the House of Stormfire." As Bruenor finishes his last statement his chest sinks back in the way it was earlier. \n \n "And I am the last Stormfire. It is not something a dwarf would ask, but I forgive your indiscretion Outlander, and your curiosity." He smiles, obviously glad that you asked.;;;;;;;;;;;;;x
TTContentdwarf1210a;Thank you.;;;;;;;;;;;;;x
TTContentdwarf1220;"I have plenty for sale, I work primarily in two different styles. The style of the northman, their itricate runes strike a chord in me. And the traditioal Dwarven style weaponry.";;;;;;;;;;;;;x
TTContentdwarf1220a;Nordic Weapons;;;;;;;;;;;;;x
TTContentdwarf1220b;Dwarven Weapons;;;;;;;;;;;;;x
TTContentdwarf1221;"Daggers, Axes, and Swords are what I have. Each more intricately carved that the last. The steel is smelted here in my forge, and I've hand forged each and every blade into a weapon of war.";;;;;;;;;;;;;x
TTContentdwarf1221a;Buy a Fine Steel Dagger;;;;;;;;;;;;;x
TTContentdwarf1221b;Buy a Fine Steel Axe;;;;;;;;;;;;;x
TTContentdwarf1221c;Buy a Fine Steel Sword;;;;;;;;;;;;;x
TTContentdwarf1222;"Axes, and Swords are what I have. Each more intricately carved that the last. The ore is smelted here in my forge, and I've hand forged each and every blade into a weapon of war using traditional dwarven forge methods.";;;;;;;;;;;;;x
TTContentdwarf1222a;Buy a Dwarven Axe;;;;;;;;;;;;;x
TTContentdwarf1222b;Buy a Dwarven Sword;;;;;;;;;;;;;x

##### The Dwarf Alchemist #####
TTContentAlchemist;The Alchemist;;;;;;;;;;;;;x
