#CODE;ENGLISH;;;;;;;;;;;;;x
#Nicknames
nick_dw_cursebreaker;¯·ìŒ éŒ¦¸«È¯·;;;;;;;;;;;;;x
nick_dw_beastslayer;©ÈêŒïŒ êÆÐ¦¸«È«·;;;;;;;;;;;;;x
nick_dw_barbarian;©³©³¦È«³Ì;;;;;;;;;;;;;x
nick_dw_slave_master;the Slave Master;;;;;;;;;;;;;x
nick_dw_slave_mistress;the Slave Mistress;;;;;;;;;;;;;x
#Event Titles
dw_campaign_start;¯´Ø±¸«ÈÌ êŒ°³«ÈÐ ª·Ì°´É;;;;;;;;;;;;;x
dw_death_of_child;¢´ «³«ÈùÇ ìÁÉëÆØ;;;;;;;;;;;;;x
dw_start;¥³îŒùÂÐæŒ ÿ¼Ì¡¹Ýª·Ð¬·Ý;;;;;;;;;;;;;x
dw_first_night_title;†ˆ«µòÂÌ;;;;;;;;;;;;;x
#Event Descriptions
DWCore110;¢³åÆÌ [dw_visit_target.GetFirstName] çÆÐ ¨³Ì¢³äˆ ²³ØŽ¸ ®ÈÌ¨ÈÐ²³Ì ªÈ¡³ÌëÆÐ ¡³¬ÈÌ¥³. ªÈ¡³ÌëÆÐ ¢³Ý©È²³åÆÌ¡·ÛëÆÌ éÁÐ±ÈÐë‰²³¥³äˆ åŒŽ¹¬È¡È ‘´èÁÌ«¸, ëŠ¦ÈåÆÌ ¬³Ù¥³Ø²³¨¹ ªÈ¡³ÌëÆÐ ¢³Ý©È²³¬È «³Îäˆ. \n  ª·çˆçÆÐ °³ØäŠ²³¨¹ ðˆëÀÝ²³äˆ . åŠ¡³ ¨·Ì¬· ª³Ý¥´©³ÝùÇ ¬·ÝëÀÉëÆÐ ’³Ð¦È ’´¢´åÆÌ¬È ¥´¡¹Ð²³åÆÌ ¡·Û®·¦·Ø, ª·çˆ ìÆÐ¡È¨¹ ¬ÈÙìÁÝ²³«¹Ü¥³. ëŠ¦È¡³ û¿äˆìˆ«¸ ¥³Ð²´ÜëÆÐ‘´, ëŠ¦ÈåÆÌ ¬·ÌÿÇçÆÐ ¬¸®¹ æŠäˆ û¿ª·ÌëÆÐ ¥³²´Ü¥³. ëŠ¦ÈåÆÌ é»ÌåÆÝ¬·ÉëŒçˆ ëˆçŒ¡³êÆØ«¸ æˆ¥³Ð²³¦¹äˆ åˆ¦¹É²³«¹ÜëŒ¨¹. \n  ®·Û©·Ì”´ ¬·Ð¬·Ý«È •Æá¢³äˆ ëŠ¦ÈåÆÌ –ˆ ²³Ì©·Ì ª·çˆçÆÐ ¡¸ê»É °³Ø²³«¹Ü¥³.;;;;;;;;;;;;;x
DWCore110A;±¹Ýêˆ®·¦·Ø ì»ãëÆÌªÈ¡³Ì.;;;;;;;;;;;;;x
