#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_chancellor_claim_motivation;ù¿ä‰ò¼ÌùÇ îÆÐ¦¸«ÈØ ë‹©³Ð æ»Ý¡È;;;;;;;;;;;;;x
dw_wanted_court_jester;êŠ©´: äÁÝ¬·Ìò¼Ý¥´;;;;;;;;;;;;;x
dw_alchemist_shopping;èÁÐ«µÉ ê‰±ÈÝ;;;;;;;;;;;;;x
dw_exotic_shopping;«ÈäÁÉ¬·Ì«ÈÌ èÁÐ¡·Ì ê‰±ÈÝ;;;;;;;;;;;;;x
dw_alchemist_aphrodites_curse;«³ðŒçˆ¥È°¸ùÇ ¬·ìŠ;;;;;;;;;;;;;x
dw_slave_training_target;åˆ«º ñÁÌ¦¹Ì: [dw_slave_target.GetFirstName];;;;;;;;;;;;;x
dw_slave_sale_target;åˆ«º ¨´¨´: [dw_slave_target.GetFirstName];;;;;;;;;;;;;x
dw_slave_profession_decision_target;[dw_slave_target.GetFirstName] ùÇ «¹É²³Ð ¡¹Ð¬·Ý;;;;;;;;;;;;;x
dw_slave_keep_decision_target;[dw_slave_target.GetFirstName] ùÇ åˆ«º ëÁÌ¨¹Ý;;;;;;;;;;;;;x
dw_slave_branding_target;éŒ¦´ÌæŒ¢³É«ÈÌ [dw_slave_target.GetFirstName];;;;;;;;;;;;;x
dw_slave_training_complete;[From.GetFirstName] ä‰ëÅÉù¼Ìç‰;;;;;;;;;;;;;x
dw_slave_learning_limitation;[From.GetFirstName] ä‰ëÅÉ²³Ì¡º;;;;;;;;;;;;;x
dw_visiting_brothel_title;¨´íÁÌäÁÐ ©³ÝèÁÌ;;;;;;;;;;;;;x
dw_wizard_tower_ruler_visit;¨³©·Ùª³ °³ùÂ;;;;;;;;;;;;;x
dw_working_brothel_title;¨´íÁÌäÁÐ«¸ª· «ÈÐ²³¡È;;;;;;;;;;;;;x
dw_mage_consult_sorcey;¨³©·Ùª³ù¼ ¬³èÁÌ;;;;;;;;;;;;;x
dw_whore_nomore_title;[dw_nomore_whore.GetFirstName] ¨´íÁÌ ¡¹Ð¬·Ý;;;;;;;;;;;;;x
dw_stables_morale_title;èˆ¦³Ð¡·ÌèÁÐ: ¨³äÁÛ¡³Ì;;;;;;;;;;;;;x
dw_arena_visit;«³¦¸¢³;;;;;;;;;;;;;x
dw_arena_stable;«³¦¸¢³ ¨´¢È¬·;;;;;;;;;;;;;x
dw_kidnap_title;¢³Ù®È;;;;;;;;;;;;;x
dw_hermione_event_start;²¸çŒ¨Èë»ÌùÇ ª³äˆ;;;;;;;;;;;;;x
dw_hermione_love_potion_title;²¸çŒ¨Èë»ÌùÇ ª³¦³ÝùÇèÁÐ«µÉ;;;;;;;;;;;;;x
dw_ginny_joins_title;¬È¢È êˆ¡´;;;;;;;;;;;;;x
dw_luna_joins_title;çŠ¢³ êˆ¡´;;;;;;;;;;;;;x
dw_bordello_buildup;¨´ëÆØäÁÐ ¡´ª·Ì ¡ºÿ¿É;;;;;;;;;;;;;x
dw_shantae_dancing_title;¥´Ìª· ªµ¢¸ïŒ;;;;;;;;;;;;;x
dw_mystery_room_visit_title;¨´ëÆØäÁÐ ¨ÈêŒ°·¦È çÁØ;;;;;;;;;;;;;x
dw_gloryhole_title;äÆÐçˆ¦È ñ»Ð;;;;;;;;;;;;;x
dw_jessica_performance_title;¬¸ªÈ¯³ùÇ ä»Ý«¹Ì;;;;;;;;;;;;;x
dw_going_shopping_title;ê‰±ÈÝ «¹²´Ý;;;;;;;;;;;;;x
#Minor Titles
title_court_wizard;äÁÝ¬·Ì¨³©·Ùª³;;;;;;;;;;;;;x
title_court_wizard_desc;¨³©·Ùª³ùÇ ¨¹Ý¦¹Ý«¸ ‘³çÆÌ ìŠùÇ ª³²³Ý.;;;;;;;;;;;;;x
#Event Descriptions
DWCourt3001;[dw_chancellor.GetFullName] ¢³çÆÐ ¥´ªÈÌ²´ª· äŒæÆÐ«È òÂÌ¦ÈçÆÐ ìŠ¬³Ý²³åÆÌ¡·ÛëÆÐ ¢³åÆÌ ¬È¯¹÷¼Ü¥³. «È¦·²³Ì «ÈÐæÆÌëÆÌ ¡³Ì¥³Ì²³¬È «³Îäˆ «·¦¹Ù¥³, ¨¹ß¢¹Ì«È¢³ ¡·Ð¦¹æˆ ¡¹Ðò¼åÆÌ ¢³ëˆ¬È «³ÎåÆÌ¥³. \n  ¢´ ¡Èä‰«¸ ‘³¦³, ¢³åÆÌ äŒæÆÐùÇ «·ÙèŠ«¸ ¬ÈÌ¬·ÌëÆÐ ìŠ¡ÈùÄ²´ [dw_chancellor.GetFirstName] ëÆÐ æˆëÁÐ êŠ«ÈÜëÆÐ¡·Û«È¥³. ë‹«ÈÐ²³Ì èÁÌ¬¸åÆÌ «·‘·²³Ì ©³Ý©·Ù«È ¡³¬³Ý ì»ãëÆÌ¡³«ÈÌ¡³«È¥³. \n ¢³åÆÌ ¡¹Ð¬·ÝëÆÐ ¢´¦ÈÌ‡Š ù¿ä‰ò¼Ì«¸¡¸  ¨³Ð²´Ü¥³.;;;;;;;;;;;;;x
DWCourt3001A;ó¿èÁÐëÆÐ ìŠ¡È ùÄ²´ æ»ÌëÆÐ ª³ëÀÝ²³Ì¥³.;;;;;;;;;;;;;x
DWCourt3001B;«³¨³æˆ ¢´ è»Ø«È ¥³ÝªÈÌ«¸¡¸ «¹Ý¡³ØëÆÐ ìÁÐêŠ«ÈÜëÆÐ¡· ¡³á«³.;;;;;;;;;;;;;x
DWCourt3001C;¢´ ¨¹Ýª·ÝëÆÐ «ÈëÀÝ²´ª· ²´¡¹Ð²³Ì¥³.;;;;;;;;;;;;;x
DWCourt3001D;¢´ «¹Ý¬·É«ÈÌ åÆÝ¦¹ÉëÆÐ «ÈëÀÝ²´ª· ²´¡¹Ð²³Ì¥³.;;;;;;;;;;;;;x
DWCourt3001E;¨¹ß¨¹ßùÇ òÄì»ÉæÆÐùÇ ¬È¬ÈçÆÐ «·ÏëÆÐêŠ«ÈÜåÆÌ ¬·Ýéˆ¡³ «ÈÜ¥³.;;;;;;;;;;;;;x
DWCourt3001F;ëÆØ, ¥³ÝªÈÌëÆÐ ¨³Ì¢³ª· ©³Ì¡³ùÂÜ«·. ¡¸ê»É²´ª· ì»ã¡¸ «ÈÐ²´!;;;;;;;;;;;;;x
DWCourt3009;[dw_chancellor.GetFullName] åÆÌ ó¿èÁÐ«È ù¼Ì¬·Ì²È ªÈÐ±´²´Ü¥³äˆ ¨³Ð²³¡È ùÄ²´ ¢³çÆÐ ©³ÝèÁÌ²´Ü¥³. ¢´ ù¿ä‰ò¼Ì«È ª·Ýä»Ý²³¡È ùÄ²³Ì åÆÝ¦¹É«È éŠì»É²´ª· ªÈÐ¨³ÝêŒ¦·Ì ¡¹Ðò¼¡³ ¢³ù¼Ü¥³. \n  ¢³åÆÌ «¹¬·Ì²È ù¿ä‰ò¼Ì«¸¡¸ æ»Ý¡È éŠ«¹çÆÐ ìÁÐ êŠ «ÈÜ«·Ü¥³. ¥³ëÆØ ²´Ýæ»ÝëÆÌ «È¡·«µ.;;;;;;;;;;;;;x
DWCourt3009A;¢³åÆÌ ê»ÌëÆÐ ®È¯¹æÆÐäˆ, ù¿ä‰ò¼ÌëÆÐ ²´«ÈØªÈ¯ÈÌ¥³.;;;;;;;;;;;;;x
DWCourt3019;[dw_chancellor.GetFirstName] åÆÌ ¢´ è»Ø«¸ ¥´²´ éÁÐ«³Ì²³Ì åÁÌ©ÈßëŒçˆ ©³¦³é»Ì¥³. "ú¿ê»Ý²³Ù¢È¥³¨³Ì, ¬ÈäÆØëÆÌ ¥³ÝªÈÌùÇ ¬¸«³Ì«¸ ò¼ÌªÈØ«È «·ÚêÆÙ¢È¥³. ú¿ê»Ý²³Ù¢È¥³." \n  ¬·ÝìÁÝ²³äˆ ¥³Ý¥³Ý²³Ì ©³Ð¡·ÐëÆØëŒçˆ ¢´ ù¿ä‰ò¼ÌëÆÌ ¢´¡¸ ¨³Ð²³Ì¥³. ¥³çÆÌ ¬·ÙäÆÌ©·ÙëÆÐ ûÄ²´«µ ²³Ð¡· ¡³á«³.;;;;;;;;;;;;;x
DWCourt3019A;«³, äŒæÆÐëÆÌ ¬³¡ÈæÆÐ«È èŠ«·ÛëÆÐ å»ã®Èäˆ «ÈÜåÆÌ¬È è»Ð¦³.;;;;;;;;;;;;;x
DWCourt3011;[dw_chancellor.GetFirstName] ëÆÌ ëÁÛëŒ¨¹ ¢´ ©³Ý«¸ ¢³çÆÐ ‘³¦³ù¼Ü¥³. ¢³åÆÌ äŒ¢¹¡³ ë»ÛëÆÐ ©·Û¬È è»Û²³¡¸ ²³äˆ ¢´¡³ ©·Û¡È¡¸Ü¥³äˆ ²´Ü¥³,  ¢³åÆÌ äŒ¢¹ùÇ ë»ÛëÆÐ ©·Û¡È¨¹ äŒ¢¹ùÇ ±ÈéŠçÆÐ éŠæŒ¦·Ù¡¸ ¨³Ì¬Èäˆ «·çŠ¨³Ì¬¹Ü¥³. äŒ¢¹¡³ ©·Ð¡· ©·ÛëÆÌ ®´çˆ «ÈÜëÆÐ‘´, ¢³åÆÌ äŒ¢¹çÆÐ ¢´ ©È¥³Ì ªÈïŒ ùÄçˆ ¨ÈÐ«· ¢·ãäˆ ¬·ÝëÀÉ«¸ ¡³æÆÉ®³Ì åÁÌ©ÈßëŒçˆ ©³¦³÷¼Ü¥³. \n  ëŠ¦ÈåÆÌ ª·çˆùÇ è»ØëÆÐ °³Ø²³äˆ ¨³Ûéˆ¡È ùÄ²´ ªÈ¡³ÌëÆÐ ¡³¬¹Ü¥³. \n  ëŠ¦ÈåÆÌ 69¬³ª¸çÆÐ ûÄ²³äˆ, ¢³åÆÌ äŒ¢¹ùÇ îÆÐ¦ÈêŒïˆçÆÐ ¬ÈÙìÁÝ¬·ÉëŒçˆ ò¿ç»Ù²¹Ü¥³, äŒ¢¹çÆÐ ¨ÈÌ¡³Ø²³¡¸ ²´ìÁÐ ¬È¬·ØëÆÐ ®³ÞëŒ¨¹. [dw_chancellor.GetFirstName] ëÆÌ ¬³ªÈÌ«È êÁÉ¦¹Ìô¿«·«ÈÜäˆ, ä»Ï åŠ¡³ ¥· ¬³Ð²³åÆÌ¬È ¡¹Ý¬´Ý²³¦¹åÆÌæÆÛ ²´Ü¥³ . äŒ¢¹åÆÌ ¢´¡³ êˆ¦ÈçÆÐ ¢´¡È¬ÈÉ¬·Ì«¸ ¡È—Œ¡¸ ¡³Ü¥³.;;;;;;;;;;;;;x
DWCourt3011A;«·Ð¨³¢³ ìÆÐ¡·ëÁÌ ÿ¿ùÇ«ÈÌ¡³.;;;;;;;;;;;;;x
DWCourt3012;[dw_chancellor.GetFirstName] ëÆÌ äˆ¡´çÆÐ •Œ¥·É«Èäˆ ¢´©³Ý«¸ æÆÐ«·ù¼Ü¥³. ¬·ÌèÁÌ¡³«ÈÌ äŒåÆÌ ¢´¡³ ë»ÛëÆÐ ©·ÛëŒ¦¹ ²³Ð‘´ åŠ¡³ ëŠùÄ«ÈÌ¬È éˆ«¹ìŠ¦¹äˆ²´Ü¥³.  ©·Ð¡·©·ÛëÆÌ ®´çˆ, ëŠ¦ÈåÆÌ ®ÈØ¥´çˆ ¡³ª· ª·çˆçÆÐ Ž¹«³Ì«³Ü¥³. \n  ëŠ¦ÈåÆÌ ¬ÈÐ¢´ª³¬·ÝùÇ ¡Èÿ¿çÆÐ ¡³¬Èäˆ, [dw_chancellor.GetFirstName] åÆÌ ¢´ «·Ý¥·Ý«ÈçÆÐ æÆÐ«·ë»Ð¦Èäˆ ò¼¡¹É²³¡¸ ²³Õ¡È ªÈ¬³É²´Ü¥³. \n  [dw_chancellor.GetFirstName] åÆÌ ¢´ «·Ý¥·Ý«ÈçÆÐ ªÈÌ¡¹Ý˜Œ¬È «³Î«³Ü¥³. æŠ©·ÌùÇ ìÆÐ¡·ëÁØëÆÌ ¢·èŠ ¨³Î«³Üäˆ ¡³êÆØò¼ «·ÐäÁÐ ¬·Ì®¸«¸åÆÌ ¬·Ý«´É¥·Ý«Èçˆ «·ÐçÁÉ¬ÈÌ®´çˆ •Æá¢³Ü¥³.;;;;;;;;;;;;;x
DWCourt3012A;¬·Ý¨³Ð ÿ¼Ýñ»Ð²³Ì ÿ¿ùÇ«¹Ü«·.;;;;;;;;;;;;;x
