#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_fenris_rises;Bad Moon Rising;;;;;;;;;;;;;x
dw_fenris_prison_break;Fenris Unbound;;;;;;;;;;;;;x
dw_fenris_dominates;Dominated by Fenris;;;;;;;;;;;;;x
dw_vladimir_prison_break;Vladimir Unchained;;;;;;;;;;;;;x
dw_vladimir_rises;Red Moon Rising;;;;;;;;;;;;;x
dw_rise_pack_title;Rise of the Pack;;;;;;;;;;;;;x
dw_dominated_start_title;Werewolf Domination;;;;;;;;;;;;;x
dw_vampire_start_title;Bitten and Awoken;;;;;;;;;;;;;x
dw_bloodrayne_hunter_title;Enter Bloodrayne;;;;;;;;;;;;;x
dw_hunted_by_vampire_title;Hunted;;;;;;;;;;;;;x
dw_vampire_seduction_title;The Seduction;;;;;;;;;;;;;x
dw_feast_title;A Feast;;;;;;;;;;;;;x
dw_the_visitor_title;The Visitor;;;;;;;;;;;;;x
dw_thrall_feeding_title;Thrall Feeding;;;;;;;;;;;;;x
dw_vampire_feeding_title;Vampire Feeding;;;;;;;;;;;;;x
dw_vampire_thrall_title;Making a Thrall;;;;;;;;;;;;;x
dw_the_vampire_title;The Vampire;;;;;;;;;;;;;x
dw_desmona_title;Desmona;;;;;;;;;;;;;x
#Decisions
dw_fenris_hunt;Fenris Hunts;;;;;;;;;;;;;x
dw_fenris_hunt_desc;The player should never see this decision, as it is intended to be Fenris specific. Fenris hunts once every other year.;;;;;;;;;;;;;x
dw_fenris_pack_brother;Call Pack Brother;;;;;;;;;;;;;x
dw_fenris_pack_brother_desc;Fenris only event to bolster his court with his kind.;;;;;;;;;;;;;x
dwf_a_werewolf_goes_hunting;ª³¢µİëÆĞ ¡³¥³;;;;;;;;;;;;;x
dwf_a_werewolf_goes_hunting_desc;åÆÉ¥´ «ÈÌ¡³æÆĞëÆÌ äÁÒìŠ¦ÈØëÆĞ ®´ëŠ¡È ùÄ²´ “³ëÁØò¼ ª³¢µİëÆĞ ²´«µ²³Ù¢È¥³.;;;;;;;;;;;;;x
dw_vladimir_hunt;Vladimir Hunts;;;;;;;;;;;;;x
dw_vladimir_hunt_desc;The player should never see this decision, as it is intended to be Vladimir specific. Vladimir hunts once a year.;;;;;;;;;;;;;x
dw_rise_of_pack_campaign;±¸Ì¦ÈêŒù¼ ¨³Ì¢³¥³;;;;;;;;;;;;;x
dw_rise_of_pack_campaign_desc;«È¡·ÛëÆÌ ¯´Ø±¸«ÈÌëÆĞ ªÈ¬³É²³Ù¢È¥³. «¹¡Èª· ±¸Ì¦ÈêŒçÆĞ ¨³Ì¢³äˆ ¬ÈÌ¬·İ²³Ì ¥³İªÈÌùÇ ¬³«³çÆĞ ®³Ş«³ ª¸¡º«¸ æŒ¦·¢´Ù¢È¥³. (åÆÉ¥´«ÈÌ¡³Ì ïÆÉª·İëÆĞ «·ÏêÆÙ¢È¥³.);;;;;;;;;;;;;x
dw_werewolf_bitch_start;Werewolf in Court;;;;;;;;;;;;;x
dw_werewolf_bitch_start_desc;A new courtier has arrived, and there is something very alluring about them.;;;;;;;;;;;;;x
#Event Descriptions
DWNight1009;ª´çˆëÁÌ ª³¦³Ø«È òÂÌ¦¹ÉëÆĞ ¬³ÙëÆÌ ®´ ±È«¸ ¬·ŞëÆÌ îŠ¥¸°³çÆĞ «ÈĞëŒ¯¹Ü¥³åÆÌ êˆªÈÉ«È ¢³«¸¡¸ æÆĞ¦¹ù¼Ü¥³. èŠêÆÌ«ÈĞ«È «ÈĞ«·¢³Ì¡·Ğ³. ¢³åÆÌ [From.GetBestName] ¡³ «·‘·Ì ¡ºÿ¿ÉëÆĞ ¡³¬Èäˆ «ÈÜåÆÌ¬È äÁİäÆØ²³Ğ —ÁÌ«È¥³.;;;;;;;;;;;;;x
DWNight1009A;¬·İ¨³Ğ ñÆİ¨ÈçˆëÁÌ êˆªÈÉ«ÈäÁÌ.;;;;;;;;;;;;;x
DWNight1008;I've been notified that despite our attempts at preventing Fenris's escape, that he has managed to pull it off. I can only imagine what news of Fenris the coming days will bring.;;;;;;;;;;;;;x
DWNight1008A;This is not good news.;;;;;;;;;;;;;x
DWNight1006;We have successfully re-captured Fenris. The fool actually thought he may escape. It is in his best interest to not press his luck again with such an ill advised action.;;;;;;;;;;;;;x
DWNight1006A;No one escapes my prison.;;;;;;;;;;;;;x
DWNight1007;I'm startled by a loud bang and the sound of yelling. Running to a nearby window, I see Fenris fleeing from a smouldering hole in the wall of my prison. \n  He's moving quickly, and so far people are just staring at him slack jawed as he is fleeing.;;;;;;;;;;;;;x
DWNight1007A;Let him go. He isn't worth the headache.;;;;;;;;;;;;;x
DWNight1007B;Guards, guards! Stop him!;;;;;;;;;;;;;x
DWNight1007C;Commander [dw_commander.GetFirstName], stop him!;;;;;;;;;;;;;x
DWNight1110;¥³İªÈÌëÆÌ «È ¡ºÿ¿ÉëÆĞ «³Ğ¬È è»Û²³«¹Ü¥³. ¥³İªÈÌëÆÌ ±¸Ì¦ÈêŒ«¸¡¸ ¬È©´¥³İ²´Üäˆ äŒåÆÌ ¥³İªÈÌëÆĞ «³Ø¯´çˆ ¨³ÌæÆĞ«·Ü¥³. ¡·®ÈÌ ¬³¬È¡³ ¥³İªÈÌëÆĞ ®´ëŠäˆ æŠ·Ùäˆ •ÆÌ¬·É²³Ì ¬·İ«´æÆĞ«È ¥³İªÈÌùÇ ¬³äÁİëÆĞ ®´ùÂÜ¥³.;;;;;;;;;;;;;x
DWNight1110A;ëˆ ¬¸¡ÈĞ! ¢³åÆÌ ®³İ¢¹«µ «ÈØªÈÌ²³Ğ¬Èæˆ è»Ğ¦³!;;;;;;;;;;;;;x
DWNight2009;ª´çˆëÁÌ ª³¦³Ø«È òÂÌ¦¹ÉëÆĞ ¬³ÙëÆÌ®´ ±ÈùÇ îŠ¥¸°³çÆĞ «ÈĞëŒ¯¹Ü¥³åÆÌ êˆªÈÉ«È ¢³«¸¡¸ æÆĞ¦¹Ü¥³. èŠêÆÌ«ÈĞ «ÈĞ«·¢³Ì¡·Ì¬È ¢³åÆÌ [From.GetBestName] ¡³ èŠêÆÌ ¡ºÿ¿ÉëÆĞ ¡³¬Èäˆ «ÈÜåÆÌ¬È äÁİäÆØ²³Ğ—ÁÌ«È«¹Ü¥³.;;;;;;;;;;;;;x
DWNight2009A;¬·İ¨³Ğ ñÆİ¨ÈçˆëÁÌ «ÈĞ«ÈäÁÌ.;;;;;;;;;;;;;x
DWNight2007;I'm awoken by the Captain of the Guard. There has apparently been a prison break. The details are so ludicrous that I have him repeat them twice. \n  A guard was found bled dry, withered, as though he had been dead for weeks. While no one say a person escape, it is said that a cloud of bats fled the prison. And while I then suspected the worse, it was confirmed when it was shared that my prisoner, Vladimir was no where to be found.;;;;;;;;;;;;;x
DWNight2007A;He turned into a cloud of bats? Seriously?;;;;;;;;;;;;;x
DWNight10;±¸Ì¦ÈêŒ¡³ ¢´ «³â«¸ ª·¨¹ äŒùÇ ¡ÈëÁÌæÆĞëÆĞ ¢´—ÁØëŒ¨¹ ¬³«¹ÌêŒ¦·Ù¡¸ ¬³ª¸çÆĞ ¢³Ş†Šäˆ ¢³ù¼ ªÈª·ÌëÆĞ ¨³Ş†Š«·Ü¥³. \n " ¢·åÆÌ ¢³ù¼ ëŠ¦È ²¹İ¬¸æÆĞëÆĞ ¬³Ğ ª·Ø¡¹Üæˆ¥³.  [Root.GetFirstName], ëŠ¦È¡³ «µª´İ«¸ª· ¢³ù¼ «ÈÌç‹«¸¡¸ ëŠ¦ÈùÇ ùÄ®ÈçÆĞ ÿ¼É«ÈÌªÈ¯¹ìÁĞ‘´¦³äˆ ª´İ¡³É²³Ì¥³. ¢·åÆÌ ëŠ¦È ©´Éª·İæÆĞùÇ ª·ÌæŠ ìŠ¬³¡³ ô¿Ğ¡·Û«È¥³. ¢·åÆÌ «È¨È ¨³ÎëÆÌ ©³Ğ¬·ÌæÆĞëÆĞ «ÈçŠ«·¢´Ü¥³. ¢¸¡³ ¬³ªÈÌùÇ ‘³İëÆĞ ¥³êŒ¦È¨¹ ¢³æˆ ¢´ ‘³İëÆĞ ¥³êŒ¦È¨¹ «ÈÌç‹çÆĞ é»Éì»İªÈ¯Èäˆ äŒæÆĞ éˆ¥³ ¥· ¢³ëÆÌ ï»İ®ÈçÆĞ éˆ«¹ìÁĞ¡·Û«È¥³. "  \n ¢³åÆÌ ±¸Ì¦ÈêŒ¡³ ¢³çÆĞ «ÈÌ¬·İ²´ìŠåÆÌ¡·Û«¸ ¡È—ÆØëÆĞ åŒÈ¨¹ ±È¡³ •Æ×«·ë»Ğ¦³Ü¥³. ëŠ¦ÈåÆÌ ëŠ¦ÈùÇ ²ÈØëÆĞ éˆ«¹ìÁĞ‘´¦³äˆ ª´İ¡³É²´Ü¥³. ëŠ¦ÈçÆĞ †Š¡¹É²³¥·Ì äŒæÆĞëÆÌ «È¬¸ ëŠ¦ÈùÇ ²ÈØëÆĞ ¨³Ûéˆ¡¸ ô¿Ğ¡·Û«È«¹Ü¥³.  \n ±¸Ì¦ÈêŒåÆÌ «³âëŒçˆ ¨¹ß¢¹Ì «³Ì«¸ ¥³ªÈ ²³Ì©·Ì ë»Ğ¡·Û«È¦³äˆ ²³«¹Ü¥³, ¢³åÆÌ äŒ æ»İ«³Ì ²ÈØëÆĞ ¡¸ê»É ¯ÈùÂ«µ ²³Ì¥³äˆ ²³«¹Ü¥³.;;;;;;;;;;;;;x
DWNight10A;¢³åÆÌ ëŠ¦È ²¹İ¬¸æÆĞùÇ ª·Ìé»İ¥´¡³ ô¿«· «¹İò¼İ«È¥³.;;;;;;;;;;;;;x
DWNight21;There was a new man who visited my court this week. Something about him demanded attention. When he offered to discuss matters of the realm, I could only agree. \n  What followed seems like a hazy blur. When we met, I saw not the burly man, but a large imposing werewolf before me. Somehow, I knew I was seeing his true form. Part of my mind screamed to resist, yet there was something in the air that locked me in place. \n  I expected to die right then and there. To be torn limb from limb and consumed. The werewolf grabbed me and tore at me with his claws, rending not flesh, but instead my clothing. \n  I was tossed to the ground, and as I looked up, it's member grew stiff before me. It was difficult to breath, and that unidentifiable scent grew stronger. \n  I was shown my place. I'm the lesser, an omega male.;;;;;;;;;;;;;x
DWNight21A;I have accepted my role and shall strive to serve my masters.;;;;;;;;;;;;;x
DWNight21B;Oh shit, this isn't what I wanted. No, no, no, no.;;;;;;;;;;;;;x
DWNight25;There was a new man who visited my court this week. Something about him demanded attention. When he offered to discuss matters of the realm, I could only agree. \n  What followed seems like a hazy blur. When we met, I saw not the burly man, but a large imposing werewolf before me. Somehow, I knew I was seeing his true form, bold and masculine. A scent in the air seemed to make my knees weak, and I dropped to my knees as my breathing became ragged. \n  "What a good little bitch you are," said the werewolf as a large canine cock stiffened before me. I felt my mouth water, as he stepped closer. \n  I looked up into his fierce eyes and waited. After what seemed like an eternity, he nodded and I touched his shaft. It was warm, firm, and I soon found my lips wrapped around it...;;;;;;;;;;;;;x
DWNight25A;I have accepted my role and shall strive to serve my masters.;;;;;;;;;;;;;x
DWNight25B;Oh shit, this isn't what I wanted. No, no, no, no.;;;;;;;;;;;;;x
DWNight30;¢³åÆÌ íÁİ¡¹ÉëÆĞ ©³Ï«³Ü¥³. ¢³çÆĞ ä»İ¡¹É²³Ì¡¸ åŠäŠ«ÈÌ¬ÈåÆÌ èˆçŒ¡¸Ü¬È¨³Ì ²¹Ì¬´ ¢´ ª³İ°´çÆĞ éˆäˆ ±³Ì¥³Ì²³¡È«¸åÆÌ ©´Ø±³«È«· ¡³á«³Ü¥³. ¡³¬³İ «È²´¡³ «³Ìô¿åÆÌ¡·ÛëÆÌ ù¾ ¢³åÆÌ ìÁÉ¬È «³Î«³Ü¢µåÆÌ¡·¥³.\n ¢³åÆÌ ê»Éª³Ø«ÈØæÆĞëÆĞ æÆĞ«·Ü¥³. ¥´¡´ùÇ ¡¹İëŠ ùÇªÈÉëÆĞ ¡·®¹ ÿÇª´İ¬³¡³ ©´Ø±³«È«·«¸¡¸ èÁĞ¦ÈÌ ôÄ ©´Ø±³«È«·¡³ ô¿åÆÌ ¡·Û«È«¹Ü¥³. äÆÌ¥¸ ù¾ ¢³çÆĞ èÁÌ ¬³åÆÌ ª³¦³¬Èäˆ «·ÚåÆÌ¡·Û«ÈĞ³?\n ¨¹ßìŠ æ»İ«³Ì ï»İ®È¬³çˆª· «ÈØèŠçÆĞ ²³äˆ «ÈÜëŒ¨¹Ìª· ¡¸ê»É²´ª· äˆ¨ÈÌ²´Ü¥³. ¨³®È åŠäÁÌ¡³¡³ ¢³«¸¡¸ èŠ«·Ì¡³çÆĞ ùÂÌ²³åÆÌ æÆÛ éˆ«¹Ü¥³. –ˆ²³Ì è»ÌêŒ°· ²·Ì°·æÆĞùÇ ¡ÈëÁÌæˆ åŒÈĞêŠ «·Ú«·Ü¥³. ¢³åÆÌ «È ª´çˆëÁÌ ª³Ò«¸ ¬·ÉëÆİ²³¨¹ ¡¸ê»É²´ª· ï»İ®È²´«µ¨³Ì ²´Ü¥³.;;;;;;;;;;;;;x
DWNight30A;ìŠ«ÈÌ«·ÚåÆÌ ©´Ø±³«È«·çˆ °´«·¢³Ì ëÁÌ¨¹İëÆĞ ©³Ï«³æÆĞ«ÈÌ¥³.;;;;;;;;;;;;;x
DWNight4000.0;¢³åÆÌ äÁİ¬·Ì«¸ª· ¡ÈÌ ²³çŠçÆĞ éˆ¢´Ì ‡Š«¸ ¢´ ©³İëŒçˆ æ»Ğ«³ù¼Ü¥³. ©³İ«³Ì«¸ æÆĞ«·¡³¬³¨³¬³ ¦¸«ÈÌùÇ «ÈÙ«¸ª· ±È¡³ –ÁÉ–ÁÉ ñÆĞ¦·¢´¦ÈåÆÌ ¡·ÛëÆĞ éˆ«³Ü¥³. äŒ¢¹ùÇ ¨Èêˆ«¸ ±È¡³ ¥·ëÁÉ¥· –ÁÉ–ÁÉ ‘·Ğ«·¬¹Ü¥³. ¢´ ©³İùÇ èˆæÆÌ ä»Û«¸ ±È¡³ —Š¦¹¬¹ «ÈÜ«·Üäˆ, ©³ĞëÆĞ ¢´¥ÈÏëÆĞ ä»Û«È«·Ú«·Ü¥³. \n "åŠäÁÌ¡³ ¬¸¡³ ªÈÉª³çÆĞ ²³¡È ©³¦´Ü¢³ é»Ù¢È¥³ [Root.GetLordLady]. «¹¡È«¸ äŒ¦ÈØ¬³®·¦·Ø êÁØ«·«ÈÜ¥·Ì ê»Ì¢ÈØ«È «ÈÜ«·Ü«·ë‰." \n «È ¨³ÎëÆÌ ±È¡³ ù¾ ¢´ ©³İ«¸ —Š¦¹¬¹ «ÈÜåÆÌ¬È ¢³åÆÌ äÁİäÆØ²´ª· èÁĞ«·éˆ«³Üäˆ ¦¸«ÈÌëÆÌ ¨ÈêˆçÆĞ éˆ«È¨¹ ¬³ªÈÌùÇ ¬³ÌëÆĞ éˆ«¹ìŠ«·Ü¥³. ¢³åÆÌ èÁÌ ©³ÊëŒçˆ ¢³¡³ ²³«ÈÌæÆĞëÆĞ éÁĞ¦· ¢´ ©³İëÆĞ ®·İêˆ²³¦³äˆ ²³«¹Ü¥³. \n ¦¸«ÈÌ«È æ»Ğ«³¡³Ğ‘´ ¢³åÆÌ äŒ¢¹¡³ ¬³Ğ «³Ğäˆ «ÈÜåÆÌ ©´Ø±³«È«·çÆĞ ª³¢µİ²³Ì ¡·Û«ÈÌ¬È «³¢È¨¹Ì ¥³çÆÌ ¬ÈØêÆİæÆĞëÆĞ ª³¢µİ²³Ì ¡·Û«ÈÌ¬È èÁĞ«·Üäˆ äŒ¢¹åÆÌ ªÈĞ¨³İ²³Ì æÆÛ ²³ÌêÁØëÆĞ øÄäˆåÆÌ äŒ¢¹¡³ ùÂÌ²³¥·Ì ª³¢µİ¡³Ø«È «³¢È«¹Ü¥³äˆ ¨³Ğ²³«¹Ü¥³. \n ¢´ ²³«ÈÌæÆĞëÆÌ ¢´ ¬ÈªÈçÆĞ ©³Ïäˆ èÁÌ «³â«¸ ù¼Üäˆ ¢´ ôÄ«¸ ª·ª·åÆÌ íÁİ¡¹É«¸ å»Ğ¦³ÌæÆÛ ²·É êˆ¦ÈçÆĞ ¢´«·Ü¥³. ¢´¡³ äŒæÆĞ«¸¡¸ ¬ÈªÈçÆĞ ²³åÆÌ æ»İ«³Ì ¦¸«ÈÌëÆÌ ¨ÈêˆçÆĞ ¬ÈëŒ¨¹ ª³¦³¬¹Ü¥³.;;;;;;;;;;;;;x
DWNight4000.1;¢³åÆÌ äÁİ¬·Ì«¸ª· ¡ÈÌ ²³çŠçÆĞ éˆ¢´Ì ‡Š«¸ ¢´ ©³İëŒçˆ æ»Ğ«³ù¼Ü¥³. ©³İ«¸åÆÌ ©Èß«È éŠì»É²´Ü¥³ ¢³åÆÌ ²³«ÈÌæÆĞ«È ¬¸¥´çˆ ¬·ØæÆİ²´å»ã¬È «³ÎëÆÌ¡·Û«¸ éÁĞ¨³Ì ª´İ¡¹Üäˆ ¢³åÆÌ í»ÛéÁĞëÆĞ ²³¢³“ÈÉ ¯¹Ü¥³. äŒ¦·¥·Ì ìÁİ«¸ ¢³åÆÌ æÆİä»Ğ«È ëˆ“³É²´¬È¨¹ ©³¦³Ø«È éŠåÆÌ¡·ÛëÆĞ åŒ¹Ü¥³. ¢³åÆÌ ®³İ¡³™»ÉëÆĞ ©³¦³éˆ«³Ü¥³. äŒä»Û«¸åÆÌ äŒ¦ÈØ¬³«¸ ¡³¦¹¬ÈÌ ª´İèÁĞ«È éˆ«¹Ü¥³. ±ÈéŠåÆÌ ÿ¿ª´É«Èäˆ åÁÌæ»İ¬³åÆÌ éÁĞ•»ßùÇ ©ÈßëÆĞ ©³Ìª³²³«¹Ü¥³. äŒ¡·Û«È äŒ¦ÈØ¬³«¸ª· ¢³ëˆåÆÌ ¡·ÛëÆĞ éˆ¨¹Ìª· «ÈÙëÆĞ š¼ÉèÁĞäˆ ùÇ¬ÈçÆĞ ¥³ ¬³Ù«³Ü¥³. —ˆì»É²³Ì ®È«³¡³ éˆ«¹Üäˆ ¢³åÆÌ äŒ¡·Û«È èŠ«·ÛëÆĞ ùÇ¨È²³åÆÌ¬È «³Ğ«³Ü¥³. ¢´ è»Ø«³Ì«¸ ±ÈæÆĞ«È •Æ×«·ë»Ğ¦³Ü¥³. ¢³åÆÌ ‡ˆñÆÙëÆĞ ¡³¥³æÆØäˆ ¢´ ™»ÉëŒçˆ ¥³¡³ëˆåÆÌ äŒ¡·ÛëÆĞ ¨³Ş«È²³Ğ ìÁÌ©ÈçÆĞ ²´Ü¥³.;;;;;;;;;;;;;x
DWNight4000A;¦¸«ÈÌ«È «¹¡È«¸ «ÈÜ«· ¥³²´İ«È«µ.;;;;;;;;;;;;;x
DWNight4000B;¢³åÆÌ äŒ ª´İèÁĞò¼ “³ëÁĞ¡·Û«È¥³.;;;;;;;;;;;;;x
DWNight4000C;¢³åÆÌ äŒ ª´İèÁĞ«¸¡¸ª· æˆ¨³İ®ÈĞ¡·Û«È¥³.;;;;;;;;;;;;;x
DWNight4000D;¢³åÆÌ äŒ ª´İèÁĞ«¸¡¸ é»Éì»İ ²³Ğ ¡·Û«È¥³.;;;;;;;;;;;;;x
DWNight4001.0;We continue to battle, each seeking to finish the other as our strikes just as intent as before, yet our ability to avoid getting hit is gone.\n  Grappling, we both muster the strength to press on, to land another blow. I try to growl in victory as I feel my strike land successfully, only to find myself gasping for air as my I myself am mortally wounded.\n  We both collapse. I flounder as I seek to somehow address my wound. Only to realize it's futile. I hear an odd crackling sound, and turn to see the vampire's flesh begin to fall to ash, leaving only bones behind. I'm about to die, yet at least I took that creature out with me. May those I've saved from its clutches bode well upon my final judgement.;;;;;;;;;;;;;x
DWNight4001.1;I go to move, and my legs don't appear to get the message as I do little more than stumble. I will my legs to move as I try to catch my balance. The wounds I've taken is taking its toll and just when I think I've recovered, I feel it slam into me, taking me to the ground.\n  I try to roll with the tackle, seeking to get it off of me. I'm unsuccessful as it's grip appears to tighten and further limit my struggles.\n  I can smell the rotten stentch of its breath, feel it against the back of my neck. I want to scream, yet my lungs strain to breath. I don't want to die. Not like this.\n  Tears begin to whelm up in my eyes as I burn what strength I've left as I flail to try and get free. As if it senses I'm spent, I feel it's teeth as it bites down on me, and my world fades to black.;;;;;;;;;;;;;x
DWNight4001.2;äŒ¡·ÛùÇ ëÁØ¬ÈÉ«ÈØ«È ÿ¼É«¹Ì²È åŒ¦¹¬¹Ü¥³. ¢³åÆÌ «È¡ÈĞêŠ «ÈÜëÆØëÆĞ åŒ¹Ü¥³. ¢³åÆÌ ¬´’³çŒ¡¸ ©³ĞëÆĞ äÁĞ¦¹ æˆ«µÉ²³«¹Ü¥³. äŒ¡·ÛëÆÌ êˆ¦ÈçÆĞ ¬ÈçŒ¨¹ ùÄ²¹Ù²³«¹Ü¬È¨³Ì, ¢³åÆÌ ©³Ìæ»İëÆĞ ìŠ«· äŒùÇ «ÈÙëÆĞ ïÆĞ«·¨³É«³Ü¥³. ¢´ ä»İ¡¹ÉëÆÌ ¬·İÿ¼É²È äŒùÇ «·ĞäÁĞëÆĞ ¡³İ°³²³«¹Üäˆ ©´Ø±³«È«·ùÇ åÁÌëÆÌ îŒ¡¸ ¯·¬¹Ü¥³. ¢³åÆÌ ¥³ªÈ ²³Ì©·Ì ›Ä«· ë»Ğ¦³ ¨¹ß©·Ì«Èäˆ ¢´ ®¸ìÁİëÆĞ ªÈĞ«· ä»İ¡¹É²³«¹Ü¥³. ¢³åÆÌ êÁØëÆĞ øÄåÆÌ¡¸ ²ÈØæÆĞ«·Ü¥³. ¨¹ßéÁÌ‡Š ¢³åÆÌ ¥· «Èª³İ ¢´ ±³ĞëÆĞ ëÁØ¬ÈÉ«ÈåÆÌ¡¸ «·¦¹ùÂÜ¥³. äŒ‘´ ¢³åÆÌ ©´Ø±³«È«·¡³ ¬·Ğ–ÁÉ¡·¦È¨¹ ¢³éˆ¥³ ¥· ²ÈØæÆĞ«· ²³Ì¥³åÆÌ ¡·ÛëÆĞ ´¥³Ğ«³Ü¥³. ¢³åÆÌ ôÄçˆ «µÉ¡³Ì èÁĞ¦·ª·Ü¥³. ©´Ø±³«È«·åÆÌ èŠ«·Ì¡³ ò¿çˆëÁÌæÆÛ éˆ«¹Üäˆ ëÅÉ®¸¡³ ¬·Ø¬·Ø å»É«³¢´¦ÈåÆÌ ¡· ¡³á«³Ü¥³. «µÉ¡³ÌùÇ «¹Ì¡È¡³ ¢³Üäˆ ä»Ï, ’¹ù¼ ¢·¥·Ğ¢·¥·Ğ²³Ì ë»Û¨³Ì ¢³Ø¡Èäˆ «·Ú«·¬¹Ü¥³. ¢³åÆÌ êÁØëÆĞäˆçŒ¨¹Ìª· ùÇ¬³«¸ «³Í«³Ü¥³. ªÈì»İëÆĞ éŠçŒ¡È ¬·Ì«¸ ¬ÈÌ¬·İ²³Ğ ±ÈĞë‰¡³ «ÈÜ«·Ü¥³. –ˆ²³Ì ¢³åÆÌ ²³Ì¬³Ì ²³Ğ ±ÈĞë‰¡³ «ÈÜ«·Ü¥³.;;;;;;;;;;;;;x
DWNight4001.3;©´Ø±³«È«·åÆÌ ¢´¡¸ æˆ«µÉ²´Ü¥³. äŒ¡·ÛëÆÌ øÄÛ«È«ÈÛ êˆ¦ÈçÆĞ ¢´¨¹ ©È«ÈÌ¡³Ì¬·É«ÈÌ ê»Éæˆçˆ ëÁØ¬ÈÉ«¹Üäˆ ¢³åÆÌ ¡³ÌªÈ²È ±È²³Ğ êŠ «ÈÜ«·Ü¥³. äŒ¦·äˆ¢³ª· ¢³åÆÌ ©³çˆ ©³Ì¡¹ÉëÆĞ ²³«¹Üäˆ ¢´¡³ ä»İ¡¹É²³Ì ìŠùÄ«¸åÆÌ ğ»É°³Ì«È¦³æˆ ‘·Ğ«·¬ÈÌ æÆÛ ò¼İ©·ØÿÄ²³¡¸ ©³Éª³Ğ¢³ «ÈÜ«·Ü¥³. äŒ¡·ÛëÆÌ «µÉ¡³Ì æŠ¦¹ëÁØ«¸ ‘·Ğ«·Ü¥³. ¥³²´İ«ÈÌ¡·ÛëÆÌ äŒ¡·ÛùÇ ëÅÉ®¸«¸ ìˆäÆØùÇ ±È²´çÆĞ ìŠ«·Ü¥³åÆÌ ¡·Û«Èäˆ ¢³ù¼ äŒ ª´İèÁĞëÆÌ ¥³ªÈ ‘·Ğ«·¬¹ «ÈÜ«·Ü¥³. \ n ¢³ùÇ ±È²´ taken [first_fighter.first_combat_damage.GetValue]. \ n ©´Ø±³«È«·ùÇ ±È²´ [second_fighter.second_combat_damage.GetValue].;;;;;;;;;;;;;x
