#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_adult_werewolf_hunt_failed;[Root.GetFirstName] Fails the Hunt!;;;;;;;;;;;;;x
dw_werewolf_gone_feral;[Root.GetFirstName] Goes Feral;;;;;;;;;;;;;x
dw_adult_werewolf_beast_gains;Beast within consumes part of [Root.GetFirstName];;;;;;;;;;;;;x
dw_adult_werewolf_beast_subsides;[Root.GetFirstName] Calms the Beast;;;;;;;;;;;;;x
dw_adult_werewolf_beast_drowned;[Root.GetFirstName] Drowns the Beast;;;;;;;;;;;;;x
dw_young_werewolf_hunts;[Root.GetFirstName] Goes Hunting;;;;;;;;;;;;;x
dw_adult_werewolf_hunts;[Root.GetBestName] Hunts;;;;;;;;;;;;;x
dw_werewolf_enchanted_dance;The Enchanted Dance;;;;;;;;;;;;;x
dw_adult_werewolf_lust_domination;[Root.GetFirstName] Seeks to Dominate;;;;;;;;;;;;;x
dw_adult_werewolf_becomes_hunted;Predator becomes the Prey;;;;;;;;;;;;;x
dw_adult_werewolf_death_title;Death of [Root.GetFirstName];;;;;;;;;;;;;x
dw_adult_werewolf_moondust_title;Ceremony of the Moon;;;;;;;;;;;;;x
dw_rival_hunt_title;Hunting [dw_hunt_rival.GetFirstName];;;;;;;;;;;;;x
#Custom Tooltips
#Event Descriptions
DWWerewolf2199;Fate seems to elude me as little in my hunt goes as planned. I'm starving, angry, and I've injured my leg. The moon no longer feels like it's lighting my way. Instead it's almost mocking me. Highlighting my failures on the night's landscape. I stumble as I attempt to make it back home. My vision is a deep red hue and I can hear the beast in my blood roaring for control. \n  I... I can... Almost home... Consciousness leaves me, yet instead of falling, I feel as though my body is running wild... \n  When morning comes, I find myself in a field, alone and covered in blood that isn't mine.;;;;;;;;;;;;;x
DWWerewolf2199A;Who's blood is this? I need to get home and tend to my leg.;;;;;;;;;;;;;x
DWWerewolf3000;I follow the scent of a nearby bitch, finding [Root.dw_selected_bitch.GetFirstName] fast asleep. I pull back the blankets and find her naked. My cock thickens as I climb onto the bed. She lazily stirs until I grab her and plunge my cock into her cunt. \n  Her eyes open wide and she gasps, breathing in deep my scent. Her eyes glaze lustfully as I fuck her ferociously. The beast within calls for the need to fill her with seed. I respond by pounding her so hard that she can do little more than grunt and accept it. I feel my balls tighten as they ready to fire. I slam it in deep, holding her firmly as I explode within her, causing her to whimper as she trembles with her own orgasm.;;;;;;;;;;;;;x
DWWerewolf3000A;May your womb accept my seed!;;;;;;;;;;;;;x
DWWerewolf3010;I follow the scent of a bitch in heat, and find [Root.dw_selected_bitch.GetFirstName] in the middle of masturbating. She pauses when I enter, her eyes filled with both fear and lust. I push her back on the bed, and pull the phallus from her pussy, causing her to moan and whimper. \n  I hold her face near my pussy as I sink the phallus into me. Her eyes look up at me, pleading for approval as she flicks her tongue out against my clit. I crouch down between her legs, and rub the other end of the phallus over her asshole. \n  Her eyes plead, uncertain as I push it forth, sinking it into her ass. Once in, we entwine our legs and gyrate against each other. The sensation is perfect as I use the bitch and her toy to bring myself to a powerful orgasm. My desires are sated.;;;;;;;;;;;;;x
DWWerewolf3010A;I may have use for you again bitch.;;;;;;;;;;;;;x
DWWerewolf3005;I awaken with a jolt as my pussy emits wave of pain and pleasure. My mind reels at the hot breath on the nape of my neck and the thick musky smell of one of my betters. I instinctively arch my back to better receive their thrusts. \n  Pleasure quickly consumes me as I enter a daze from the frantic pounding of my pussy. I'm insanely wet, and feel my gut tighten in anticipation of receiving my visitor's seed. \n  It isn't long before I feel [From.GetHerHis] cock swell, followed by warmth as I'm filled with [From.GetHerHis] cum as [From.GetSheHe] growls in satisfaction.;;;;;;;;;;;;;x
DWWerewolf3005A;Unh, yes, yes, I'm CUMMMMMMMMMIIIINNNNNNG!;;;;;;;;;;;;;x
DWWerewolf3020;I follow the scent of a nearby bitch, finding [Root.dw_selected_bitch.GetFirstName] preparing for bed. I enter her room, and she gasps as I make my presence known. My cock thickens as her gaze falls to it. Her eyes glaze lustfully as I move her to the bed and push her down on all fours. I slap my engorged cock against her ass, causing her to arch her back and moan in response. \n  I slid my cock into her wet pussy and begin a rhythmic motion. She grips the blankets and matches my motion with her hips. The bitch has it, bringing me to orgasm quickly as I flood her pussy. \n  She moans in disappointment as I chuckle and slap my still hard cock on her ass. She looks over her shoulder a little uncertain as I place the tip of my dick against her anus and push it in.;;;;;;;;;;;;;x
DWWerewolf3020A;I like to double-tap my bitches.;;;;;;;;;;;;;x
DWWerewolf9900;Rrrraah! I, we, HUNGER! No. Freedom. Flee. Hunt. I, we shed all ties! KILL YOU!!! .... Before you kill us, me...;;;;;;;;;;;;;x
DWWerewolf9900A;New land, new food, new hunt for I, we, us, me.;;;;;;;;;;;;;x
DWWerewolf4000;I recline in the crisp evening air. Gazing out towards the moon in all of its brilliance. "Here's to you," I proclaim as I hoist high a bottle of booze. \n  I nod in return to an imagined acknowledgement from the moon, and then take a good sized drink from the booze. Closing my eyes as it makes its way down my throat, I can almost imagine the cries of the beast as it is drowned with alcohol. I feel it stir, trying to break free and gasp for air, so I take another pull from the bottle. \n  Even if it's only temporary, the beast will not hold sway over me this night.;;;;;;;;;;;;;x
DWWerewolf4000A;Bottom's up!;;;;;;;;;;;;;x
DWWerewolf2100;«µ²´İª·İùÇ æ»İèÁĞæÆĞëÆĞ ®³Ş«³ ¢³ª·¨¹ ª³¢µİ¡³ØëÆĞ ®³Ş¡È ©³’³Ü¥³. ¥³Ğ©Èß«¸ ©È®ÈÌ ©³Ø²³åÆĞëÆÌ ©³Ì”³É«Èäˆ íÁØëÆĞ †ŠåÆÌ¡·Û ¡³á«³Ü¥³. ¢³åÆÌ ¨·¦ÈçÆĞ ë»Ğ¦Èäˆ ¢´Øª´çÆĞ ¨³á«³Üäˆ äÆÌ®·«¸ ª³¢µİ¡³Ø«È «ÈÜåÆÌ¡·ÛëÆĞ åŒ¹Ü¥³. \n ª³¢µİ¡³ØëÆÌ ²³Ì¨³¦ÈùÇ ª³êÆØ. ¡³®È«ÈÜåÆÌ è»Éğ‰èÁĞ«È«¹Ü¥³. ¢³åÆÌ ¨·É«ÈÛ¡³ØùÇ ©³İ²µİëŒçˆ ëÁØ¬ÈÉ«È¨¹ äŒ¡·ÛëÆĞ «·‘·ã¡¸ ²³Ğ¬È ª´İ¡³É²³«¹Ü¥³.;;;;;;;;;;;;;x
DWWerewolf2100A;¢´ ¬·ÌêÁĞëÆĞ «ÈëÀİ²´ ¨·É«ÈÛ¡³ØëÆĞ ª³¢µİ²³Ì¥³;;;;;;;;;;;;;x
DWWerewolf2100B;¢´ ëÆÌªÈÌêÁĞëÆĞ «ÈëÀİ²´ ¨·É«ÈÛ¡³ØëÆĞ ª³¢µİ²³Ì¥³;;;;;;;;;;;;;x
DWWerewolf2100C;¢´ åÆİ¦¹ÉëÆĞ û¿¥´²³Ì ©³ĞÿÄ²´ª· ¨·É«ÈÛ¡³ØëÆĞ ª³¢µİ²³Ì¥³;;;;;;;;;;;;;x
DWWerewolf2190;®·Û©·Ì”´ ª³Ğ¬ÈÙ«È ¢´ «È’³Ğ«¸ ”ÈŞ¡¹¬¹ ¢³¡³¨¹ ¢´ «³Ì«¸ «ÈÜåÆÌ ¬ÈØêÆİ«È åŒ¹¬¹Ü¥³. «È¨³ÌîÆØ«È¢³ ì»ãëÆÌ äˆ¡ÈçÆĞ ¨·É«·é»Ì¡·Û«È «·Ğ¨³¨³Ì«ÈÌ¬È \n ¥³İªÈÌëÆÌ ¥³ĞëÆĞ éˆäˆ ëÁĞéŠ¬ÈŞëŒ¨¹, ª³Ğ²´«¸ ¥´²³Ì íÁİæ»İëÆĞ ìÆĞ¡È¨¹ ª³¢µİ¡³ØùÇ ±Èçˆ ë»Ì «·ĞäÁĞëÆĞ ¬·Éª¹Ü¥³.;;;;;;;;;;;;;x
DWWerewolf2190A;¡³®È«ÈÜåÆÌ ª³¢µİ«È«¹Ü¥³.;;;;;;;;;;;;;x
DWWerewolf4020;I hear them. All of them. The beast isn't a single voice. It's a pack. \n  They see the corruption all around me. I am in danger. My life, they seek to protect me, not to ruin me. The pack. I am of the pack and the pack protects its own. One voice is louder than the others. It sounds like my own. I can save not only myself, but others. But what others? It's hard to grasp. Enemies. I have no friends. Those who are silent today will stand against me tomorrow. \n  I shake my head. The voices. The quiet for the moment. Or have they?;;;;;;;;;;;;;x 
DWWerewolf4020A;We can control this... We? I? Am I more than me?;;;;;;;;;;;;;x
DWWerewolf4010;¢³åÆÌ ª³¢µİëÆĞ ²³¬È «³Îäˆ ¨³ëÆØ ê»É ¬ÈØêÆİëÆĞ ¡ÈĞæÆĞ«ÈĞêŠ «ÈÜ¥³äˆ ¨ÈÏ«·Ü¥³. ¢³åÆÌ ®ÈØ¥´«¸ åŠùÂª· ¢´ ±È¡³ ²¹Ğò¼ÌëÆĞ ï»İ²´ ‡ŒçŒåÆÌ ¡·ÛëÆĞ åŒÈäˆ «ÈÜ«·Ü¥³. ¢´ ¨³ëÆØ ê»É èŠ«·Ì¡³¡³ ¡³Ù¬³¡È ëÁĞéŠ¬ÈŞ«·Ü¥³. \n äŒ¦·¥·Ì ìÁİ äˆ«µİ«È ²³Ì¨³¦È¡³ ¢´ ¡³êÆØùÄçˆ «³Í«³Üäˆ äŒ¡·ÛëÆĞ éˆäˆ ¢³åÆÌ ëŒçŒ¦·İ ¡·¦¹Ü¥³. äŒ¦·¢³ äˆ«µİ«ÈåÆÌ ¢³çÆĞ ’³Ì²È ¢´¦¹¥³ éˆ«³Ü¥³. ¬³ØªÈæ»İ«³Ì ¢´ ¨³ëÆØê»É ëÁĞéŠ¬ÈŞëÆØ«È ¬³Ø¬³Ø²´¬È¡È ªÈ¬³É²³«¹Ü¥³. äˆ«µİ«È¡³ ©³ĞëÆĞ î»Éî»É ¬ÈâëŒ¨¹ •ˆ¦ÈçÆĞ ñÆÌæÆĞ«·¥´«·Ü¥³. ¢³«¸¡¸ ò¼ÌªÈØëÆĞ ©³Ïäˆ ªÈâ«·²³åÆÌ¡· ¡³á«³Üäˆ ¢³åÆÌ «È¢´ «ÈÌ¬·İ²³ĞêŠ©³Ï¡¸ «·Ú«·Ü¥³. \n ¢³åÆÌ «ÈĞ«·ª·ª· ôÄçˆ èÁĞ¦·¢³ ¢´ ¡³êÆØ«¸ ¥´äˆ ê»Ìï»ÙëŒçˆ ²³ĞüÄ¡È ªÈ¬³É²³«¹Ü¥³. ¢´ «³Ì«¸ «ÈÜ¥·Ì äŒ ¬ÈØêÆİ«È «È¬¸ ù¼Ì¬·Ì²È ìˆëÀİ²´¬¹Ü¥³åÆÌ ¡·ÛëÆĞ «³Ğ«³®³¦¹Ü¥³. ¨³®È ¢´ ¬³ÉëÆÌ ê»Ì¢ÈØ«¸ ùÇ²´ ¬³ØæÆĞ«· ©·¦ÈÌ¡· ¡³á«³Ü¥³.;;;;;;;;;;;;;x
DWWerewolf4010A;¢³åÆÌ ²³İª³İ ±¹İë»Ì²³¡¸ ¬ÈÌ¬·İô¿åÆÌ ©³İ©·ÙëÆĞ «³Ğ«³¢´Ü¥³.;;;;;;;;;;;;;x
DWWerewolf1100;As you near adulthood, I hear the wild call of the beast in my veins grow stronger with each passing year. I seem to instinctively know that to try and tame the beast within me, I must hone your skills in the hunt. \n  I've a pair of options before me. Shall I set out in search of a target to stalk, honing my skills to go unnoticed? Or shall I taste raw flesh by hunting down some poor creature, out in the wild, under the full moon? What does the beast within call for to sate it's hunger.;;;;;;;;;;;;;x
DWWerewolf1100A;Stalk prey;;;;;;;;;;;;;x
DWWerewolf1100B;Hunt prey;;;;;;;;;;;;;x
DWWerewolf1110;I choose to stalk my prey. I head out to the edge of town, slinking through the evening shadows. I spy a farmer and his son, leaving after what was likely a day where they brought goods to the market. \n  I follow them, staying low, moving quickly from shadow to shadow. I listen to their words, meaningless babble, little more than a mule braying at the sun. \n  The sun disappears, as their home nears. They think they're safe. Timing their travel to arrive home just after dark. I make my move, dashing out as they near their door. I leap and swipe. The boy's straw hat is knocked off clearly. He turns and I'm no longer there. If called upon to hunt man, I know that I can. The beast cries for blood, but I know we're not to kill needlessly. Yet when the time comes... I can strike unseen.;;;;;;;;;;;;;x
DWWerewolf1110A;They'll never know how I could have finished them.;;;;;;;;;;;;;x
DWWerewolf1120;I choose to hunt. I've been warned many times that when hunting, it is important to not loose myself to the call. That the beast within us demands the hunt, and if we're not worthy enough, the beast within will consume our mind as we consume our prey. \n  The moon is high, and I feel my blood scream in joy at its sight. I howl, seeking to let the moon know that I'm worthy of its light. I hear movement nearby, something fleeing my cry. \n  I give chase, finding that I can cover ground quicker on all fours. I burst through into a clearing and catch site of rabbit trying to flee. I pursue it, smelling its fear. I catch it, rend it. Consume it. I shake my head to clear the fog, and stand, victorious in the hunt. Arching my back, I howl to the moon to share word of the kill in its honor.;;;;;;;;;;;;;x
DWWerewolf1120A;I can see the draw of the beast.;;;;;;;;;;;;;x
DWWerewolf1190;I return home, sneaking into my room. I limp uncomfortably to my bed, taking care to not put too much weight on my leg. The bleeding has stopped, and the wound itself isn't that bad. \n  I attempt to stand straight and grimace in pain. I don't believe anything is broken, but it'll take time to heal none the less. I can see the questions, the disappointment at a failed hunt. Rest. If I rest enough, surely I'll be able to walk better tomorrow. If it doesn't appear that bad, perhaps I can pass it off without drawing any looks of disappointment.;;;;;;;;;;;;;x
DWWerewolf1190A;This will heal over time and I shall improve.;;;;;;;;;;;;;x
DWWerewolf1180;I return home and stop to look up at the moon. Tonight may not have gone as planned, but it was a good night. The thrill was there, and I felt the light of the moon fill me, replacing the roar of the beast within me. \n  I stifle a grin to keep from looking the fool, while letting my eyes scan the shadows. Seeing no one, I slip into my room unseen. I leap into my bed, and notice for the first time that my activities have left me weary. I collapse in a heap, and allow myself the fool's grin as I look forward to the dreams of tonight's activities that will soon come.;;;;;;;;;;;;;x
DWWerewolf1180A;Not the best hunt, but I've rarely felt so alive before.;;;;;;;;;;;;;x
DWWerewolf2000;¢³åÆÌ ¢´ «³Ì«¸ª· ë‰æ»İ®ÈåÆÌ ¬ÈØêÆİëÆĞ åŒÈĞêŠ «ÈÜ«·Ü¥³. äÆÌ®·ùÇ êˆ¦ÈæÆĞò¼ ¥³çÆÌ ª³¦³ØæÆĞùÇ «ÈÌ¡È®·ÉæÆĞëÆĞ åŒÈĞêŠ «ÈÜ«·Ü¥³. ä»İìÁİ«¸ª· ‡ŒçŒåÆÌ ²µİ¡ÈçÆĞ ‘³¦³¡³åÆÌ ¢´ ¬³ªÈÌëÆĞ ©³Ğ¡¹Ì ²³ĞêŠ «ÈÜ«·Ü¥³. ª³¢µİ¡³ØëÆĞ ®³Ş«³«µ²´.\n  ¢³åÆÌ ©³ÊëŒçˆ ¢´¥³Ğ¦¹Ü¥³. «³¬ÈÉ †ˆ¬·¢¹É«È«¹Ü¥³. ©³ÊëÆĞ ¢´¥³éˆ¢È ¥³Ğ«È ‘·«ÈÜ«·Üäˆ äŒ êÁİäˆ²³Ì ©ÈßëŒçˆ ª¸ª³İëÆĞ ©È†Šäˆ «ÈÜ«·Ü¥³. \n  ¢³åÆÌ åÁÌëÆĞ ¡³Øäˆ ¢´ ±Èê»É«¸ ‡ŒçŒåÆÌ ¬ÈØêÆİùÇ ¨³Ğ«¸ òÄçÆĞ ¡ÈëÁĞ«È¨¹ ¢´ è»ØëÆĞ ï»İ¬¸²³Ğ ©³İ©·ÙëÆĞ æÆĞ«·Ü¥³. êÁØëÆĞ ¢´øÄäˆ, ¢´¡³ ¡³Ğ¡ÈĞëÆĞ ¬·İ²³«¹Ü¥³. ;;;;;;;;;;;;;x
DWWerewolf2000A;¢³åÆÌ ª³Ğ«ÈÌëÆĞ ²³¦· ¡³Ğ¡·Û«È¥³.;;;;;;;;;;;;;x
DWWerewolf2000B;¢´ ¬·İëÀÉëÆĞ ğÁĞ«·«µ ²³Ğ‘´«È¥³.;;;;;;;;;;;;;x
DWWerewolf2000C;¬ÈØêÆİùÇ ëÁĞëÆØêˆ¦ÈçÆĞ ‘³¦³¡³Ğ¡·Û«È¥³.;;;;;;;;;;;;;x
DWWerewolf2000D;¢´ «³ÌùÇ ¬ÈØêÆİëÆĞ ¬¸«³Ù²³¡È ùÄ²´ ¡ÈÌ¬³İëÆĞ ğÁĞ«·«µ ²³Ğ‘´«È¥³.;;;;;;;;;;;;;x
DWWerewolf2010;¢´ ±ÈåÆÌ ¥³çÆÌ ±ÈçÆĞ ë‰äŠ²³«¹Ü¥³. ¢´¡³ ©´äˆğÆØ«¸ ²·¥·É«È¬³ ¢´ «³ÌùÇ ¬ÈØêÆİëÆÌ ğÁĞ¦¹Ü¢³Ü¥³.  \n «È ²·¡È¬ÈØëÆĞ ®´ëŠ¡È ùÄ²´ æ»İèÁĞëÆĞ ¬³Ù«³¨·Éäˆ ëÅÉªÈÉëÆĞ ²³Ğ ±ÈĞë‰¡³ «ÈÜ«·Ü¥³. ¢³åÆÌ ¥·ëÁÉ¥· ùÄ²·Ø²³Ì ¡ÈĞëÆĞ ®³Ş¡Èçˆ ²³«¹Ü¥³. ª³¦³ØëÆĞ ¬³Ù«³ ¢´ ¨·É«Èçˆ ª³Øäˆ è»ÉëÆĞ ¬³Ğ¦³ ¡³ĞìÆİëÆĞ ğÁĞ¡ÈçÆĞ ùÂÌ²´Ü¥³. –ˆåÆÌ «È «µêŠª·İëÆĞ ¥³Ğ¦´Ğ¨³Ì²³Ì û¿ª·ÌëÆĞ ©³İ©·ÙæÆĞëÆĞ ®³Ş«³«µ¨³Ì ²´Ü¥³.;;;;;;;;;;;;;x
DWWerewolf2010A;¢³åÆÌ «µª´İæ»İèÁĞëÆĞ ª³¢µİ²³Ğ ¡·Û«È¥³.;;;;;;;;;;;;;x
DWWerewolf2010B;ª³¦³ØëÆÌ ¢´ ¨·É«È¡³ ô¿Ğ¡·Û«È¥³.;;;;;;;;;;;;;x
DWWerewolf2010C;¢´ ¦³«È©·ĞëÆĞ ª³¢µİ²³Ğ¡·«µ, [dw_hunt_rival.GetFirstName].;;;;;;;;;;;;;x
DWWerewolf2010D;¢´ «³ÌùÇ ¬ÈØêÆİ«È ¡¹Ğ¬·İ²³¡¸ ¢´ÙæÁĞ¡·Û«È¥³.;;;;;;;;;;;;;x
DWWerewolf2020;¢´ «µêŠª·İëÆÌ ¬·İëÀÉëÆĞ éÁĞ°´ùÂÜ¥³. ¢³åÆÌ «µêŠª·İò¼ ¢´ ¬³ªÈÌ èˆæŠùÇ ëÀÉäŠçÆĞ ğÁĞ¡ÈçÆĞ ©³¦´Ü¥³.\n ¢´¨¹ÌùÇ ¡³Ğ¨³İ«È ¢³çÆĞ ©³¦³Ø«¸ ñÆá¢³Ğ¦ÈåÆÌ ²µİ¡Èçˆ «Èæ»İ²³¡¸ ¨³ÌæÆĞ«·Ü¥³. ¢´ ¡³Ğ¨³İëÆĞ ®´ëÁĞ ¨·É«ÈÛ¡³ØëÆĞ ®³Ş¡ÈùÄ²´ ª³¦³ØæÆĞëÆĞ ®³Ş«³¥³¢¹Ü¥³.;;;;;;;;;;;;;x
DWWerewolf2020A;¢³åÆÌ åÆÉ¥´«ÈÌ¡³ÌùÇ åˆ«ºçÆĞ ª³ëÀİ²³Ğ¡·Û«È¥³.;;;;;;;;;;;;;x
DWWerewolf2020B;¢³åÆÌ ª´çˆëÁÌ ¬·İé»ÉëÀÉäŠçÆĞ ®´ëÁĞ¡·Û«È¥³.;;;;;;;;;;;;;x
DWWerewolf2020C;I shall use an Omega Male;;;;;;;;;;;;;x
DWWerewolf2020D;*ùÄ«ÈØ* ¢´ «³ÌùÇ ¬ÈØêÆİ«È «³Ğ«³ª· ¡¹Ğ¬·İ²³æˆç»É ²³Ì¥³.;;;;;;;;;;;;;x
DWWerewolf2040;¢´ «³ÌùÇ ¬ÈØêÆİëÆĞ ®ÈØèÁÉªÈ¯ÈåÆÌ ¥³çÆÌ ©³İ©·ÙëÆĞ ª´İ¡³É²³«¹Ü¥³. ±¸Ì¦ÈêŒåÆÌ éÁÌ¨¹İ²È ¬³Ğ ï»İ¬¸²³¥·Ì ¡·ÛëÆĞ ª´İ¡³É²³«¹Ü¥³. äŒåÆÌ «·Ì¬¸¢³ æ»İèÁĞ®·¦·Ø ¥³Ğ«¸ ¨ÈÌ¡³Ø²´¬¹ ª³¢µİëÆĞ ²³¬È «³Î«³Ü«·Ü¥³. ¢³åÆÌ ª³Ğ«ÈÌò¼ ª³Ğ²´çÆĞ äÆÉé»É²³ĞêŠ «ÈÜ¥³äˆ ª´İ¡³É²´Ü¥³. \n ¢´ «³ÌùÇ ¬ÈØêÆİ«È ¢³çÆĞ ©ÈëÁÛåÆÌ êˆ¦È¡³ æÆĞ¦¹Ü¥³. ëˆåÆĞ ©³Ø ¢³åÆÌ ¢´ «³ÌùÇ ¬ÈØêÆİò¼ åŠ¡³ «È¡ÈĞ¡·Û«ÈÌ¡³ é»Ğ¡·Û«È¥³.;;;;;;;;;;;;;x
DWWerewolf2040A;Alcohol can drown away any worry;;;;;;;;;;;;;x
DWWerewolf2040B;Knowledge shall give me power over the beast.;;;;;;;;;;;;;x
DWWerewolf2040C;*ùÄ«ÈØ*;;;;;;;;;;;;;x
DWWerewolf2040D;‡‹ªÈÉò¼¨¹İª³İ;;;;;;;;;;;;;x
