#Buildings
elven_port;«¸ĞğŒ ²³İäŠ;;;;;;;;;;;;;x
elven_port_desc;«¸ĞğŒ ª·Ì©³ÉæÆĞ«È ¬·Ì¬´İëÆĞ ùÄ²´ èˆ«ÈåÆÌä»Û.;;;;;;;;;;;;;x
elven_major_port_1;¬³ÉëÆÌ «¸ĞğŒ ²³İ;;;;;;;;;;;;;x
elven_major_port_2;«¸ĞğŒ ²³İäŠ;;;;;;;;;;;;;x
elven_major_port_3;¥´²¹İ «¸ĞğŒ ²³İäŠ;;;;;;;;;;;;;x
elven_major_port_4;¥´ä‹èˆ «¸ĞğŒ ²³İäŠ;;;;;;;;;;;;;x
elven_wild_forest_desc;¢³èŠæÆĞçˆ «ÈçŠ«·¬ÈÌ ®È¨¹İ¬·É«ÈÌ ²³Ø¬·İò¼ ¨ÈçˆæÆĞçˆ ¬·İ®³É¬ÈçÆĞ æÁĞ¦· ğˆùÄ²³åÆÌ¡·ÛëÆĞ «·¦¹Ù¡¸ ¨³ÌæÆÙ¢È¥³.;;;;;;;;;;;;;x
elven_wild_forest_1;«µÓëÆÌ «¸ĞğŒ «µª´İ êÁâ;;;;;;;;;;;;;x
elven_wild_forest_2;æŠ·ëÁÌ «¸ĞğŒ «µª´İ êÁâ;;;;;;;;;;;;;x
elven_mist_forest_1;«µÓëÆÌ «³Ì¡´ «¸ĞğŒ êÁâ;;;;;;;;;;;;;x
elven_mist_forest_2;¬³ëÁÉ²³Ì «³Ì¡´ «¸ĞğŒ êÁâ;;;;;;;;;;;;;x
elven_mist_forest_3;æŠ·Ùäˆ ¬³ëÁÉ²³Ì «³Ì¡´ «¸ĞğŒ êÁâ;;;;;;;;;;;;;x
elven_mist_forest_4;¡·¥´²³Ì «³Ì¡´ «¸ĞğŒ êÁâ;;;;;;;;;;;;;x
elven_castle_1;¬³ÉëÆÌ «¸ĞğŒ ª·İ;;;;;;;;;;;;;x
elven_castle_2;¥´²¹İ «¸ĞğŒ ª·İ;;;;;;;;;;;;;x
elven_castle_desc;¬È«¹ÉùÇ òÄì»ÉæÆĞò¼ ìŠ¨ÈÌæÆĞëÆĞ ¬È¯ÈåÆÌ ª·İ;;;;;;;;;;;;;x
elven_trade_hall_1;¬³ÉëÆÌ «¸ĞğŒ èŠ«¹É¬È;;;;;;;;;;;;;x
elven_trade_hall_2;«¸ĞğŒ èŠ«¹É¬È;;;;;;;;;;;;;x
elven_trade_hall_desc;«¸ĞğŒæÆĞ«È ¬·ÌèÁÌ¬·ÉëŒçˆ ¡·¦´²³åÆÌ ä»Û«È¨¹ äÆØò¼ ¡³®È«ÈÜåÆÌ èÁĞ¡·ÌæÆĞëÆĞ ä‰ÿ¼Ì²³Ì¥³.;;;;;;;;;;;;;x
elven_baths;«¸ĞğŒ è»ÉëÀÉ°³İ;;;;;;;;;;;;;x
elven_baths_desc;«¸ĞğŒæÆĞ«È ¬·ÌïŠ¢³ ª·İò¼Ì¡º ‡Š ²ÈØæÆÌ ²³çŠçÆĞ ¨³èŠ¦È ¬ÈÛäˆ è»ÉëÀÉ²³åÆÌ ä»Û;;;;;;;;;;;;;x
elven_herb_gatherer;«¸ĞğŒ ©¹İùÂÌ;;;;;;;;;;;;;x
elven_herb_gatherer_desc;«¸ĞğŒ ®Èç‰ª³æÆĞ«È èˆ«¹ ¬ÈĞ©¹İëÆĞ ı¿®È²³äˆ éŠª³İ¥³İ²³Ì ©¹İª³æÆĞëÆĞ ®Èç‰²³åÆÌ ä»Û;;;;;;;;;;;;;x
block_season_popup;¡º¬·Ğ ±³Ù«·Ù ®³¥³Ì;;;;;;;;;;;;;x
block_season_popup_desc;¡º¬·Ğ ±³Ù«·ÙëÆĞ ®³¥³Ì²³Ù¢È¥³.;;;;;;;;;;;;;x
