#CODE;ENGLISH;;;;;;;;;;;;x;
EVTDESC60010;ùÄ¥´²³Ì [Root.GetTitledName]ù¼(ò¼) [Root.GetHerHis]ùÇ èˆæÆÌ é»ÝªÈÌæÆÐ«È [catholic.GetName](ëŒ)çˆ ¡´ì»Ý²´ÜêÆÙ¢È¥³!;;;;;;;;;;;;x;
EVTDESC60011;ùÄ¥´²³Ì [Root.GetTitledName]ù¼(ò¼) [Root.GetHerHis]ùÇ èˆæÆÌ é»ÝªÈÌæÆÐ«È ¬·Ýä‰ÿ¿çˆ ¡´ì»Ý²´ÜêÆÙ¢È¥³!;;;;;;;;;;;;x;
EVTDESC60012;ùÄ¥´²³Ì [Root.GetTitledName]ù¼(ò¼) [Root.GetHerHis]ùÇ èˆæÆÌ é»ÝªÈÌæÆÐ«È êŠ¢È±³ èŠêÆÐ¦ÈØëŒçˆ ¡´ì»Ý²´ÜêÆÙ¢È¥³!;;;;;;;;;;;;x;
EVTDESC60013;ùÄ¥´²³Ì [Root.GetTitledName]ù¼(ò¼) [Root.GetHerHis]ùÇ èˆæÆÌ é»ÝªÈÌæÆÐ«È ªÈ«³±³ èŠêÆÐ¦ÈØëŒçˆ ¡´ì»Ý²´ÜêÆÙ¢È¥³!;;;;;;;;;;;;x;
MONTHLY_PROJECTED_COST;«ºª³Ý ¨´ùÂÐ ë‹¬È©È: §Y$COST$§!;;;;;;;;;;;;x;
YEARLY_PROJECTED_COST;«ºª³Ý ¨´¢¹Ì ë‹¬È©È: §Y$COST$§!;;;;;;;;;;;;x;
PER_MONTH;§Y$VAL$§! / ¥³Ð;;;;;;;;;;;;x;
AIREASON_KINGDOMS_DONT_ACCEPT_VASSALAGE;¢³åÆÌ ù¼Ý«È¥³!;;;;;;;;;;;;x;
ACCEPT;êŠ¦³É²³Ì¥³;;;;;;;;;;;;x;
DECLINE;¡·¬·Ð²³Ì¥³;;;;;;;;;;;;x;
HAS_LESS_RAISED_TROOP_DAYS;äÁÌ¥´¡³ êˆ¬ÈÙô¿Ì ¬È ®´ §Y$DAYS$§! «ÈÐ«È ¬È¢³¬È «³Î«³Ü¥³.\n\n;;;;;;;;;;;;x;
HAS_MORE_RAISED_TROOP_DAYS;äÁÌ¥´¡³ êˆ¬ÈÙô¿Ì ‡Š ¬·É«·æˆ §Y$DAYS$§! «ÈÐ«È ¬È¢³Ü¥³.\n\n;;;;;;;;;;;;x;
