#CODE;ENGLISH;;;;;;;;;;;;x;
HOLDINGS_DEC_LOSS;«¹Ý¬ÈæÆÐ: ;;;;;;;;;;;;x;
TOTAL_DEC_DELTA;í»Ý ý¿±ºæˆ ¡È«¹: ;;;;;;;;;;;;x;
HAS_A_JOB_DEC;ò¼Ì¬ÈÉ«È «ÈÜëÆØ: ;;;;;;;;;;;;x;
ON_JOB_DEC;¬ÈÉ®´ÉùÇ ²´Ýæ»Ý: ;;;;;;;;;;;;x;
CHAR_STATUS_PILGRIM;§Y$NAME$§!ëÆÌ(åÆÌ) ª·Ý¬ÈêÁÌ¦ºìÁÝ;;;;;;;;;;;;x;
EVTDESC1070;¢´¡³ îˆ¦³ÌëÆÐ èˆæŠ «³Ø¡È²³äˆ «ÈÜåÆÌ ²³±ÈìŒçˆéŠ°· îˆ¦³ÌùÇ äŠ¬·ÐëÆÐ ¡ºê»É æÆÐëŒ¨¹, «È ¢³Ø¬³ùÇ ªÈÌ«³ÝªÈØ«¸ ¡³Ø°³Ì²´Ü¥³. 114 ê‹¦³ùÇ îˆ¦³Ì ¬·ÌéŠçÆÐ «³Øê»Ý²³åÆÌ ¡·ÛëÆÌ èˆæÆÌ èŠêÆÐ¦ÈØ«È ²´Ý²³¡ÈÐ ùÂÌ²³åÆÌ ¡·Û«È¥³.;;;;;;;;;;;;x;
EVTOPTA1070;«³Ð¦³Ž¸ª· ¢´ ¨³ÐëÆÐ æÆÐ«·ìŠªÈ¡ÈÐ, ¢³åÆÌ îˆ¦³ÌëÆÐ èˆæŠ «³Øê»Ý²³¡¸Ü¥³!;;;;;;;;;;;;x;
EVTOPTB1070;¡¹Ý«Èç»ÙäÁÌ! äŒ¦´÷¼Ü¬³ ©¹Ð«ÈÐ «³¢È¬È¨³Ì...;;;;;;;;;;;;x;
aspiring_hafiz;²³±ÈêŒ¡³ ô¿¡ÈÐ ¡³Ð¨³Ý²³Ì¥³: îˆ¦³ÌëÆÐ ¨³ëÆØ«¸ ª´¡È¥³;;;;;;;;;;;;x;
EVTDESC1071;«È¨³ØëÆÐ ¡È¥³¦Èäˆ «ÈÜëŒ¢È ¬·Ø¬·Ø †ˆìˆ²´¬È¡È ªÈ¬³É²´Ü¥³. äŒ¡³ îˆ¦³ÌùÇ äŠ¬·Ð ²³¢³çÆÐ ª·Ì°´É²´ª· «ÈÌëÀÝ²³¨¹Ì, ¢³Ì äŒ¡·Ð ¬·Ýÿ¼É²³¡¸ «È«·«µ¨³Ì ²³Ì¥³...äŒ¡³ ª·Ì°´É²´Ü¥³:\n\nîˆ¦³Ì«È «ÈÑ²¹¬ÈÐ ‘´åÆÌ...;;;;;;;;;;;;x;
EVTOPTA1071;... ìŠùÇ¡Èâ¡¸ æÆÏäˆ ¬³©ÈùÇ ±¹Ýÿ¼çÆÐ ©³Ï«³¡³¡ÈçÆÐ;;;;;;;;;;;;x;
aspiring_faqih;«ÈêÆÐ¦³Ø ëÅÐ©·Ù, ±³¯È‡ŒçÆÐ ©´ëŠåÆÌ ²³Éª´Ý;;;;;;;;;;;;x;
