#CODE;ENGLISH;;;;;;;;;;;;x;
NOT_IN_DYNASTY;$DYNASTY|Y$ ¡³èÁÌùÇ «ÈÐùÂÌ«È «³¢ÈØ;;;;;;;;;;;;x;
IN_DYNASTY;$DYNASTY|Y$ ¡³èÁÌùÇ «ÈÐùÂÌ«ÈØ;;;;;;;;;;;;x;
REALM_SIZE_LESS;«¹Ý«¹ÉùÇ îŒ¡È¡³ §Y$VAL$§W «È²³«¹«µ ²³Ù¢È¥³;;;;;;;;;;;;x;
REALM_SIZE_LEAST;«¹Ý«¹ÉùÇ îŒ¡È¡³ §Y$VAL$§W «Èª³Ý«È«·«µ ²³Ù¢È¥³;;;;;;;;;;;;x;
tut_6a_6;çˆêŒ ª·™»ÉùÇ ø¿çˆùÄ«³çŒåÆÌ ò¾Ì®³ÎëÆÌ è»Éð‰®·¦·Ø éˆ«ÈÙ¢È¥³. äŒä»ÛëÆÌ ëŠ¦È äÁÉ¡¹ÝëÆÐ ¢·Ó²ÈåÆÌ ¥¸«¸ «ÈÜ«·ª· ì»ãëÆÌ †Š¡³¬·Ø«È ô¿Ð ¡·Û«Èäˆ, ©³Ý«·äÁÌùÇ êÁÛ¬³ –ˆ²³Ì äŒ¥³¬È «ÈÌª³Ý¬·É«È¬È è»Û²³Ù¢È¥³. «È ¬È«¹ÉëÆÐ îÆÐ¦ÈÉ²³ªÈÙªÈëˆ.;;;;;;;;;;;;x;
tut_6a_10;«È¬¸ ëŠ¦È ¬´ª³ÝëÆÐ ¨¹ÝéÁÌ ìˆ¬³ÉëÆÐ ùÄ²³Ì ©È¨ÈÐ ¨Èª¹Ì«¸ ïŠ«ÈÙªÈ¯Èæˆç»É ²³Ù¢È¥³. '¨¹ÝéÁÌëÆÐ ¢³Ðìˆ²³«¹ ¨³ÌæÆÐ¡È' ©·ïÆÌëÆÐ îÆÐ¦ÈÉ²³äˆ, ¬´ª³ÝëÆÐ äŒä»Û«¸ ùÄ®ÈªÈ¯È¡ÈùÄ²´ ø¿çˆùÄ«³çŒ ¬È«¹ÉëÆÐ îÆÐ¦ÈÉ²³ªÈÙªÈëˆ.;;;;;;;;;;;;x;
tut_8b_8;ªÈÙ¬³äÁÌëÆÌ ¡³ï»Ð¦ÈÉ ä‰¥³ÌùÇ «ÈçÆØëŒçˆª· ä‰ÿ¼Ý«È ¬·Ýé»É«È ±ÈÐë‰²³Ì ¬È«¹ÉëÆÐ ¬ÈÉ¬·Ù ¬È¨¹Ý²³¡¸ ô¿¨¹Ì «ÈÐ«·¢³Ù¢È¥³. äŒ¦Èäˆ ä‰ÿ¼Ý«È ¬È¬·Ý²³Ð êŠ «ÈÜåÆÌ ¬È«¹ÉëÆÌ, ëˆçˆ¬È ²¹Ì¬´ èŠêÆÐ¦ÈØ«È¢³ ïˆê»É ªÈÌ¬³«¸¡¸ ï»Ý®È¥³Ý²³åÆÌ ä»Û«È«·«µ¨³Ì ²³Ù¢È¥³. ä‰ÿ¼Ý«È ¬·Ì¬´ÝëÆÐ ª·Ì«·Ì²³Ì¥³¨¹Ì «È¬¸ ïÆÉ©¹Ð²³Ì ªÈÙ¬³äÁÌ ¬·Ì¬´Ý«È ªÈ¬³Éô¿Ð ¡·Û«Èäˆ ¥³ÝªÈÌëÆÌ ä‰ÿ¼Ýò¼ ù¿ä‰¬·É ¬·Ùí»ÉëÆÐ ï»Ý²´ '¬·Ì¬´Ý«¸ ®³Ø«¹çÆÐ ë‰®·Ý²³Ì¥³' çÆÐ ª·Ì°´É²³èŒçˆª· «È ¬·Ì¬´Ý«¸ ®³Ø¡³²³Ð êŠ «ÈÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
tut_8b_9;¨³Ì«µÉ ªÈÙ¬³äÁÌ«È êÆÝ¦È²³Ì¥³¨¹Ì ¡³ï»Ð¦ÈÉ ¬ÈÌ«¹ÝùÇ ä»Ý²·Ìæˆ¡³ ¡³¬³Ý îÆÌ ï»Ý®È¬³åÆÌ(®³Ø«¹æˆ ¬·ØêŠçÆÐ ¡³¬³Ý å»â¡¸ ¡Èç»É²³Ì) äŒ ¬·Ì¬´ÝùÇ êÆÝ¦È¬³çˆ ¡³ÌìŠ ô¿Ð ¡·Û«ÈÙ¢È¥³.;;;;;;;;;;;;x;
tut_8b_10;¨³Ì«µÉ ¥³ÝªÈÌ«È ªÈÙ¬³äÁÌ«¸ ®³Ø¡³çÆÐ ¡¹Ð¬·Ý²´Üäˆ «·‘·ã¡¸æÆÌ ªÈÙ¬³äÁÌùÇ êÆÝ¦ÈçÆÐ «È•ÆÐ«·¢´Ü¥³¨¹Ì ¥³ÝªÈÌëÆÌ ªÈÙ¬³äÁÌ«È ª·Ìðˆô¿Ì ¬È«¹É ¢´«¸ «ÈÜåÆÌ ¬·ÉäÁÌùÇ èˆæÆÌ «¹Ý¬ÈçÆÐ ®³¬È²³Ð êŠ «ÈÜëÆÐ ¡·Û«È¨¹, ªÈÌ«³ÝªÈØò¼ ¨¹Ýª·Ý äŒ¦Èäˆ ªÈÙ¬³äÁÌ ïÆÉª·ÝŽ³¬È ©³ÏëÆÐ ¡·Û«ÈÙ¢È¥³.;;;;;;;;;;;;x;
tut_8b_11;ªÈÙ¬³äÁÌ«¸ ®³Ø¡³çÆÐ ¡¹Ð¬·Ý²´Ü¬È¨³Ì ¡³ï»Ð¦ÈÉ ¬ÈÌ«¹ÝùÇ ¥³çÆÌ «ÈÌèÁÐ«È êÆÝ¦È¬³¡³ ô¿«·ÜêÆÙ¢È¥³¨¹Ì ¥³ÝªÈÌëÆÌ «·‘·²³Ì «¹Ý¬Èæˆ ©³ÏëÆÐ êŠ «·ÚëÆÐ ¡·Û«ÈÙ¢È¥³. ²³¬È¨³Ì «¹¬·Ì²È ªÈÌ«³ÝªÈØò¼ ¨¹Ýª·Ý, äŒ¦Èäˆ ªÈÙ¬³äÁÌ ïÆÉª·ÝëÆÐ «·Ï«· ¢´Ð êŠåÆÌ «ÈÜêÆÙ¢È¥³. îÆÐ¦ÈÉ²³«¹ ¥³ëÆØ ±³ïŒçˆ ¢·Ø«·¡³æˆç»É ²³ªÈÙªÈëˆ.;;;;;;;;;;;;x;
