#CODE;ENGLISH;;;;;;;;;;;;x;
EVTDESC_CM_1181;[From.GetDynName]ëÆÌ(åÆÌ) äŒ¢¹ùÇ [From.GetSonDaughter], [From.GetTitledFirstName]ùÇ ª·Ù¬·ÝëÆÐ ¨³á¡Èçˆ ²´ÜêÆÙ¢È¥³. «È«¸ ¥´²´ ¥³ÝªÈÌ«È ²³Ð êŠ «ÈÜåÆÌ «ÈÐëÆÌ «·ÚåÆÌ ¡·Û ¡³áêÆÙ¢È¥³...;;;;;;;;;;;;x;
EVTOPTA_CM_1181;«³Ð¡¸Ü¥³...;;;;;;;;;;;;x;
EVTOPTB_CM_1181;¢´ ª´Ý¡³ÉëÆÌ ¥³Ð¦³!;;;;;;;;;;;;x;
EVTDESC_CM_1182;¥³ÝªÈÌùÇ «·¨·¢È [FromFrom.GetFirstName]ëÆÌ(åÆÌ) [From.GetTitledFirstName]ëÆÐ(çÆÐ) ¥´ªÈÌ²´ ¥³ÝªÈÌùÇ ª·Ù¬·ÝëŒçˆª· ¥³êŒ¦ÈåÆÌ ¡·Û«È û¿ª·Ì«È¦³åÆÌ ¡¹Ð¬·ÝëÆÐ ¢´¦¹ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
EVTOPTA_CM_1182;äŒ¢¹¡³ û¿ª·ÌùÇ ¡ÈÐëÆÐ «³Ð ¡·¦³äˆ ÿ¼ÉªÈÌ²´.;;;;;;;;;;;;x;
EVTOPTB_CM_1182;ñÆØ... åŠ¡³ ¬·Ý¨³Ð «È [From.PrimaryTitle.GetTier]ëÆÐ(çÆÐ) ¥³êŒ¦ÈåÆÌ ¡·«µ?;;;;;;;;;;;;x;
EVTDESC_CM_1192;¥³ÝªÈÌùÇ «·¨·¢È [Root.Mother.GetFirstName]«È(¡³) ¥³ÝªÈÌùÇ [From.GetHusbandWife] [From.GetFirstName]ëÆÐ(çÆÐ) š¿«· ¥³ÝªÈÌ è»Ð¦´ ëÅÉ®¸¬·É«ÈÌ ò¼Ì¡ºçÆÐ ¨´Þäˆ «ÈÜ¥³åÆÌ éÁÐë»Ì²³¦È¨³Ì®È ª³Ýª¸²³Ì êˆèÁÌ«È •ÆÎ«ÈØ«·Ú«È ±·¬Èäˆ «ÈÜêÆÙ¢È¥³...;;;;;;;;;;;;x;
EVTOPTA_CM_1192;«³èŠ «ÈÐæˆ «³¢ÈÐ ¡·¦³ ÿ¼ÉªÈÌ²´.;;;;;;;;;;;;x;
EVTOPTC_CM_1192;ô¾Ü«·. «·¨·¢ÈçÆÐ êŠ¢¹ùÂÌëŒçˆ éˆ¢´æŒ¦¹«µ¡¸ÜäÁÌ.;;;;;;;;;;;;x;
EVTOPTB_CM_1192;êÆÐðŒæˆ¥³, [From.GetFirstName]ëÆÐ(çÆÐ) ‘·¢³éˆ¢´«µ ²³¥³¢È.;;;;;;;;;;;;x;
EVTOPTD_CM_1192;æÁÐ ¥³ ®·©·Ð©³ÏëÆÐ ¡·Û«È¥³.;;;;;;;;;;;;x;
EVTOPTE_CM_1192;ò¿ç»Ù¬È¨³Ì, ¬È²³ ¡³Øë»É«È ë‹«ÈÐ²³Ì ²´¡¹Ð®´É«È¥³.;;;;;;;;;;;;x;
EVTDESC_CM_1132;¬·ùÇ «È¬·Ì ìŠäÁÌ, [Root.GetFirstNameWithNick]Ž¸,\n\n«È¦·Ì êˆªÈÉëÆÐ ¬·Ì²³«¹ ë‹¡³Ø«ÈäÁÌë‰. ¬·åÆÌ ðŒ¦³ÝîŒùÇ ¬ÈÌ¬·Ý²³Ì ï»Ý®È¬³«¸¡¸ íÁÝª·ÝëÆÐ ¨´Ýª¸²³Ð ¡·Û«ÈÙ¢È¥³. ¬·åÆÌ ¥³ÝªÈÌùÇ ¨¹ÝéÁÌ«¸ ¬·Ì²¹ «È²´²³¬È è»Û²³«¹ ¥· ¡³Ý²³Ì ù¼ÝëÆÐ ‘³çŒ¡Èçˆ ²´ÜêÆÙ¢È¥³.\n\nðŒ¦³ÝîŒ ¬¸äÁÉùÇ «¹Ýò¼ÝëÆÐ ùÄ²´,\n[From.GetBestName];;;;;;;;;;;;x;
EVTOPTA_CM_1132;«È¡·Ì öÂÌ¡³ ¬³Ðè»Ûô¾Ü«·...;;;;;;;;;;;;x;
ERA_CHAR_INFO_74441;êˆ¨¸êŒ©³¦³ 1ª¸åÆÌ 1042¢¹Ì ª·®³ÐçŠ¯È«³ùÇ ù¼Ý«È ô¿«·Üäˆ, ¬ÈÉ‡Š æˆªÈ Ž³Ð«µ¢ÈçÆÐ ª¸ùÂ êŠæˆçˆ ª³Ø«³ÜêÆÙ¢È¥³. äŒåÆÌ ¨´ëŠ ¬·ÉäÆÉ¬·É«Èäˆ ÿ¼Ð©³Ð²³Ì ï»Ý®È¬³«¹Ü¬È¨³Ì, ï»Ý®È ¡È¡³Ì ¥´éŠéÁÌëÆÐ ©¸Ì¡È ¬È©´ùÇ ¡¹Ý¬´Ý¬³«¹Ü¥·Ì í»Ð¦³ ù¼Ýìˆù¼ ¡ºêÆÝ ¬·Ì¬´Ý«¸ êˆèˆ²´ÜêÆÙ¢È¥³. ¬·É«¸¡¸ êÆÝ¦ÈçÆÐ «·Ï«·¢´¬È è»Û²³Ì ®´ éÁÐ®È©¹Ý«¸ ªÈ¥³Ð¦È¥·Ì êˆ¨¸êŒ©³¦³åÆÌ ¡¹ÐäÁÉ ïÁÝ¡³©³æŒ¦³¡³Ý«¸ êŒêŒçˆ ›Ä«·æÆÐ«· ¬³ªÈÌùÇ ª³ÒëÆÐ ¨³¡³Ø²´ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
EVTDESC_CM_1401;¥³ÝªÈÌëÆÌ [Root.Liege.GetTitledFirstName]«¸¡¸ é»Éì»Ý²³åÆÌ¡¸ ¬È¡¹ùÂ¬¹Ü¬È¨³Ì, [Root.Liege.GetSheHe]åÆÌ ¨´ëŠ ¡³Ý¦¹É²³Ù¢È¥³. «³¨³æˆ ù¿äÁÉùÇ æ»Ý¨´ÝëÆÐ ®³Þ«³é»Ð ‘´«ÈÌ ¡·Û ¡³áêÆÙ¢È¥³. éÁÉ™»ÉùÇ ðŒ¦³ÝîŒ«ÈÌæÆÐëÆÌ ¥·ëÁÉ ¡³Ý¦¹É²´¬Èäˆ «ÈÜëŒ¨¹ [Root.Liege.GetOnlyDynastyName]«¸ ¥´²³Ì «·‘·Ì «´®³Éæˆ ¡³¬È¬È «³ÎëÆØ«È ÿ¼ÉªÈÐ²³Ù¢È¥³. ¥³ÝªÈÌëÆÌ äŒæÆÐ«¸¡¸ íÁÝª·Ý²³åÆÌ ¥´ªÈÌ æˆëÁØëÆÐ ©³ÏëÆÐ êŠ «ÈÜêÆÙ¢È¥³. äŒæÆÐ«È ¥³ÝªÈÌëÆÐ æ»Ùäˆ ¢³¨¹Ì «µÉê»ÉëÆÐ ¬È¯ÈÐ ±ÈÐë‰åÆÌ «·Ú«·¬ÈÙ¢È¥³...;;;;;;;;;;;;x;
EVTOPTA_CM_1401;ª³¬·ÐëÆÐ éˆ¢´Ð ¡·Û«È¥³.;;;;;;;;;;;;x;
EVTOPTB_CM_1401;«³¢È, ùÄ²·ØëÆÐ ¡³ØêŠ²³Ð ¡³®ÈåÆÌ «·Ú¥³.;;;;;;;;;;;;x;
