#CODE;ENGLISH;;;;;;;;;;;;x;
RCLK_TO_SELECT;§GëŠîÆÐ¦ÈÉ ²³«¹ ª·Ì°´É§!;;;;;;;;;;;;x;
vassal_sacrifice_decision;¬¸èÁÐçˆ ©³®ÈÌ¥³;;;;;;;;;;;;x;
vassal_sacrifice_decision_named;[Root.GetFirstName]ëÆÐ(çÆÐ) ¬¸èÁÐçˆ ©³®ÈÌ¥³;;;;;;;;;;;;x;
break_up_with_lover_named;[Root.GetFirstName]ù¼(ò¼) ²¸«·¬ÈÌ¥³;;;;;;;;;;;;x;
seduce_decision_named;[Root.GetFirstName]ëÆÐ(çÆÐ) ë‹ñ»É²³Ì¥³;;;;;;;;;;;;x;
decision_spy_on_named;[Root.GetFirstName]ëÆÐ(çÆÐ) «¹Ø°³Ø²³Ì¥³;;;;;;;;;;;;x;
decision_break_free_named;[Root.GetFirstName]ëÆÐ(çÆÐ) °³Ðë»ÉªÈ¯ÈÌ¥³;;;;;;;;;;;;x;
invite_to_party_named;[Root.GetFirstName]ëÆÐ(çÆÐ) ìŠ«¹Ì«¸ †ˆ¥´²³Ì¥³;;;;;;;;;;;;x;
duel_decision_named;[Root.GetFirstName]ù¼(ò¼) ¡¹ÐïŠ²³Ì¥³;;;;;;;;;;;;x;
legitimize_bastard;ª·¬³çˆ «ÈÌ¬·Ý²³Ì¥³;;;;;;;;;;;;x;
legitimize_bastard_named;[Root.GetFirstName]ëÆÐ(çÆÐ) ª·¬³çˆ «ÈÌ¬·Ý²³Ì¥³;;;;;;;;;;;;x;
convince_to_straighten_up_named;²´ÝªÈÐëÆÐ ©³çŒ¡¸ ²³¦³äˆ ª·ÐæÆÉ²³Ì¥³;;;;;;;;;;;;x;
send_child_into_hiding;ëÆÌªÈÌªÈ¯ÈÌ¥³;;;;;;;;;;;;x;
send_child_into_hiding_named;[Root.GetFirstName]ëÆÐ(çÆÐ) ëÆÌªÈÌªÈ¯ÈÌ¥³;;;;;;;;;;;;x;
take_child_out_of_hiding;ëÆÌªÈÌ®·«¸ª· ¥¸¦¹ë»Ì¥³;;;;;;;;;;;;x;
take_child_out_of_hiding_named;[Root.GetFirstName]ëÆÐ(çÆÐ) ëÆÌªÈÌ®·«¸ª· ¥¸¦¹ë»Ì¥³;;;;;;;;;;;;x;
send_spouse_into_hiding;ëÆÌªÈÌªÈ¯ÈÌ¥³;;;;;;;;;;;;x;
send_spouse_into_hiding_named;[Root.GetFirstName]ëÆÐ(çÆÐ) ëÆÌªÈÌªÈ¯ÈÌ¥³;;;;;;;;;;;;x;
take_spouse_out_of_hiding;ëÆÌªÈÌ®·«¸ª· ¥¸¦¹ë»Ì¥³;;;;;;;;;;;;x;
take_spouse_out_of_hiding_named;[Root.GetFirstName]ëÆÐ(çÆÐ) ëÆÌªÈÌ®·«¸ª· ¥¸¦¹ë»Ì¥³;;;;;;;;;;;;x;
EVENT_SPAWNED;ª³¡·Ì«È ª´Ýª·Ýô¿Ø;;;;;;;;;;;;x;
known_sodomite_pagan;¡º¬ÈÙ®·¦·Ø ª´Ý¡ÈÌ ¢³Ø¬³ «¹Ì«ÈÌ;;;;;;;;;;;;x;
comfort_of_lover;«¹Ì«ÈÌ«¸¡¸ ùÄ«³Ì ©³ÏëÆØ;;;;;;;;;;;;x;
desc_comfort_of_lover;[GetFirstName]«È(¡³) ð»ÉðÁÝëŠ ¡³áëÆÌ ¡¹Ðñ»Ì ª´Ýÿ¼ÐëÆÐ ±È²´ «¹Ì«ÈÌùÇ ðÁØ«¸ª· ùÄ«³ÌëÆÐ ®³Þ«³ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
thrill_of_lover;éÁÐçÅÌùÇ ”³¦ÈÛ²³Ø;;;;;;;;;;;;x;
opinion_dishonorable_duel;éÁÐ¨¹Ý«ºêŒ¦·ëÁÌ ¡¹ÐïŠ;;;;;;;;;;;;x;
desc_thrill_of_lover;[GetFirstName]«È(¡³) ð»ÉðÁÝëŠ ¡³áëÆÌ ¡¹Ðñ»Ì ª´Ýÿ¼ÐëÆÐ ±È²´ «¹Ì«ÈÌò¼ ÿ¼Ýñ»Ð²³Ì ¬·Ýª³çÆÐ ©·Ð«¹ ùÄ«³ÌëÆÐ ®³Þ«³ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
CIW_GOTOLOCATION_DEL;«ÈÌèÁÐ«È ùÄ®È²³Ì ¬³Ýêˆçˆ ¬ÈæˆçÆÐ ÿ¼É¥´²³Ù¢È¥³.;;;;;;;;;;;;x;
CIW_GOTOCHARREL_DEL;«È «ÈÌèÁÐ«¸ ¥´²³Ì ¥³çÆÌ «ÈÌèÁÐæÆÐùÇ ò¼Ì¡ºæˆçÆÐ ª³Ð±¹é»Ù¢È¥³.;;;;;;;;;;;;x;
CAN_CALL_VASSALS_TO_WAR;ëŠ¦ÈùÇ ¬·Ì®¸ é»ÝªÈÌ;;;;;;;;;;;;x;
IS_NOT_A_FOE_OF;¥³ëÆØò¼ ¬·É«È «³¢ÈØ: ;;;;;;;;;;;;x;
IS_A_FOE_OF;¥³ëÆØò¼ ¬·É: ;;;;;;;;;;;;x;
nick_the_scholar;²³É¬³;;;;;;;;;;;;x;
nick_the_strange;«Èª³Ý²³Ì ¬³;;;;;;;;;;;;x;
nick_the_black;ëÆØ²·Ø²³Ì ¬³;;;;;;;;;;;;x;
WayOfLifeDLC;ª³ÒùÇ ©³ÝªÈÉ;;;;;;;;;;;;x;
IberianUnitPackDLC;«È©¸¦È«³Ì ë‹¢ÈÛ ±´É;;;;;;;;;;;;x;
IberianPortraitsDLC;«È©¸¦È«³Ì †ˆª³Ýÿ¼;;;;;;;;;;;;x;
tut_0a_7b;–ˆ²³Ì «·‘·Ì «ÈÌèÁÐùÇ †ˆª³Ýÿ¼«¸ ëŠîÆÐ¦ÈÉëÆÐ ²³ØëŒçˆ“· ²´¥³Ý «ÈÌèÁÐùÇ ù¿ä‰®³ÝëÆÐ «¹Ð êŠæˆ «ÈÜ¥³åÆÌ ª³ªÈÐëÆÐ ¡È«·É²³ª¸ë‰.;;;;;;;;;;;;x;
tut_4a_4;ªÈ¬³É²³¦¹¨¹Ì, ¥³ÝªÈÌùÇ «Èé»É²¹Ý¬¸«ÈÌ «·ê»ÐùÇ ©´É¬³É ¨´Ðè‹«·çÆÐ ëŠîÆÐ¦ÈÉ²³ª¸ë‰. ¡³ì»É°´ÙùÇ ¡³¬³Ý «³¦´ «ÈÜåÆÌ '²¹Ý¬¸/¬³¨´' ¯³ÌùÇ ù¿Ì™»É«¸ª· äŒçÆÐ ®³ÞëÆÐ êŠ «ÈÜêÆÙ¢È¥³. («¹¡È«¸ éˆ«ÈåÆÌ †ˆª³Ýÿ¼åÆÌ ¥³Ì¬È «ºªÈ«ÈÐ —ÁÌëŒçˆ, ªÈÐ¬¸ ©´É¬³É«È «³¢ÈÙ¢È¥³.);;;;;;;;;;;;x;
tut_4a_5;ù¿Ì™»É«¸ª· ¡³åÆÝ²³Ì ù¿ä‰ ²´Ýæ»Ý è»Éç»ÉëÆÐ ª³Ð±¹éˆªÈÐ êŠ «ÈÜêÆÙ¢È¥³. ëˆçÆÌ™»É«¸ª·åÆÌ ù¿ä‰¬·É ª·Ì°´É¬ÈçÆÐ ìˆ¬·Ý²³Ð êŠ «ÈÜäˆ ªÈÐ¬¸çˆ ²´Ý²´¬¹ÜëÆÐ ‘´ «·‘·Ì ¡¹Ðò¼¡³ ¢³°³¢³Ð¬È ¢³°³¢³Ù¢È¥³. ¡ºê»É²³¦¹¨¹Ì ¥³ëÆØëÆÐ îÆÐ¦ÈÉ²³ª¸ë‰.;;;;;;;;;;;;x;
