#CODE;ENGLISH;;;;;;;;;;;;x;
INTERACTION_CANNOT_INVITE_MARRIED;[Recipient.GetTitledFirstName]ëÆÌ(åÆÌ) ¨Èñ»Ì«ÈØ;;;;;;;;;;;;x;
AIREASON_LOVER;§Y[GetTitledFirstName]§!ëÆÌ(åÆÌ) ¢´ «´«ÈÌ«ÈØ;;;;;;;;;;;;x;
AIREASON_FRIEND;§Y[GetTitledFirstName]§!ëÆÌ(åÆÌ) ¢´ ®ÈÌäŠ«ÈØ;;;;;;;;;;;;x;
AIREASON_WITH_LOVER;«´«ÈÌò¼ ²³ØŽ¸ ²³¡ÈçÆÐ ùÂÌ²³Ø - §Y[GetTitledFirstName]§!;;;;;;;;;;;;x;
PV_FORT;ë‰ª´;;;;;;;;;;;;x;
PV_TRADE_POST;èŠ«¹É ¡È¬È;;;;;;;;;;;;x;
adopt_wolf_child;ù¼Ì¬·Ì²³Ì ª³Ýê»ÉòÂÌò¼ ²³ØŽ¸ «ÈÙ«µÝô¿Ì «³«È«ÈÙ¢È¥³.;;;;;;;;;;;;x;
EVTTOOLTIP89008;ëÆÌ(åÆÌ) ª³Ð²´ ªÈæˆ«¸ ò¼Ì²´ ¬³Ð «³Ì¥³.;;;;;;;;;;;;x;
claim_on_vassal_plot_desc;§Y$CLAIMANT$§!«È(¡³) §Y$TITLE$§!ùÇ ¬³ÉùÄçÆÐ ÿ¿êŠ²³¦¹ ²³Ù¢È¥³. «Èçˆ“· §Y$TARGET$§!ù¼(ò¼) äÁÌª³éÁÌ¬´ÝùÇ ¡¹Ðò¼çÆÐ †ˆ¦´²´ÜêÆÙ¢È¥³.;;;;;;;;;;;;x;
EVTOPTC63011;ÿÇª´Ý¬³«¸¡¸ òÄ›ÇØ²´ìŠ¬È;;;;;;;;;;;;x;
werewolf_howling_tooltip;©³Ø ¢´¢´ ¥³ÐëÆÐ ²µÝ²´ ëÁÐéŠ¬ÈÞåÆÌ¥³;;;;;;;;;;;;x;
werewolf_swimming_tooltip;©³Ê«¸ª· ¬³Ì¥³, ñÆØ’·É ¬·Þ«·Ü¥³..;;;;;;;;;;;;x;
SENTIMENT;ùÇ¡¹Ì:;;;;;;;;;;;;x;
GRAZING_LAND;¥· ¨³ÎëÆÌ è»É†ˆ¬È¡³ ±ÈÐë‰²³¥³;;;;;;;;;;;;x;
CLAN_OPINION;“Èì»É ¬·Ýª·;;;;;;;;;;;;x;
MARRIAGE_TIES;¡¹Ðñ»Ì ¡¹Ðê»É;;;;;;;;;;;;x;
WEAK;«µÉ²³Ø;;;;;;;;;;;;x;
TOO_MUCH_COMPETITION;¢·èŠ ¨³ÎëÆÌ ¡¹Ý¬´Ý;;;;;;;;;;;;x;
CREATE_FEUD;$ACTOR$ù¼(ò¼) $RECIPIENT$ëÆÌ(åÆÌ) ¬´ÝùÇçÆÐ ªÈ¬³É²³Ð ¡·Û«È¥³;;;;;;;;;;;;x;
opinion_built_temple;ª³ùÂÌ ¡·Ìª·Ð;;;;;;;;;;;;x;
FORM_BLOOD_OATH_INTERACTION_TITLE;²¹Ð¨´ÝëÆÐ ¨´ÞåÆÌ¥³;;;;;;;;;;;;x;
INTERACTION_NO_BLOOD_BROTHER;§Y$CLAN$§!ëÆÌ(åÆÌ) ²¹Ð¨´ÝëÆÐ ¨´Þ¬È è»Û²³Ø;;;;;;;;;;;;x;
HAS_BLOOD_OATH_WITH;§Y$CLAN$§!ù¼(ò¼) ²¹Ð¨´ÝëÆÐ ¨´ÞëÆØ;;;;;;;;;;;;x;
NOT_HAS_BLOOD_OATH_WITH;§Y$CLAN$§!ù¼ ²¹Ð¨´ÝëÆÐ ¨´Þ¬È «³Î¥³;;;;;;;;;;;;x;
declare_feud;¬´ÝùÇçÆÐ ª·Ìðˆ²³Ì¥³;;;;;;;;;;;;x;
opinion_feud;¬´ÝùÇ;;;;;;;;;;;;x;
BLOOD_BROTHER;²¹Ð¨´Ý;;;;;;;;;;;;x;
EVTDESC505;¢³åÆÌ ëŠ¦È¡³ ±Èçˆ èÁÊ«ÈÌ ²¹Ý¬¸¡³ ô¿Ð ¡·Û«È¦³äˆ ¨´Ýª¸²³Ù¢È¥³!;;;;;;;;;;;;x;
EVTDESC506;¢³åÆÌ ¥³ÝªÈÌùÇ ²¹Ð¨´Ý ¬¸«³ÌëÆÐ ¡·¬·Ð²³Ì¥³.;;;;;;;;;;;;x;
INTERACTION_CANT_DOW_BLOOD_BROTHER;²¹Ð¨´Ý«È «³¢ÈØ;;;;;;;;;;;;x;
